"Year","pheno","Predicted"
1995,125,132.291666666667
1998,116,129.416666666667
1999,121,128.083333333333
2000,118,124.041666666667
2001,126,133.166666666667
2002,110,122.291666666667
2005,116,119
2006,127,127.083333333333
2007,112,116.416666666667
2008,123,132.916666666667
2020,115,109.958333333333
2021,98,84.125
2023,64,60.4583333333333
2024,49,54.2916666666667
2025,64,61.25
2026,50,59.4166666666667
2029,95,84.125
2030,53,50.5833333333333
2031,113,109.916666666667
2033,130,122.083333333333
2035,53,50.375
2038,112,105.333333333333
2040,65,65.75
2041,53,51.375
2045,67,67.2916666666667
2046,113,107.125
2047,70,71.2916666666667
2049,99,91.125
2050,71,72.2916666666667
2053,112,114.208333333333
2054,94,84.2083333333333
2058,101,96.9166666666667
2060,66,59.0416666666667
2062,133,131.041666666667
2063,73,64.25
2064,94,95
2066,97,94.0416666666667
2067,77,75.3333333333333
2068,91,82.375
2069,112,112.125
2071,126,114.958333333333
2072,108,108.333333333333
2073,112,114.25
2074,73,70.3333333333333
2075,48,35.25
2079,112,109.916666666667
2082,91,91.0416666666667
2083,98,92.9166666666667
2084,112,114.958333333333
2085,70,62.875
