"Year","pheno","Predicted"
1961,97,99.8333333333333
1962,129,127.041666666667
1963,125,125.958333333333
1964,120,126.291666666667
1965,125,126.916666666667
1968,112,112.916666666667
1970,130,132.291666666667
1971,120,126.875
1973,126,135.083333333333
1974,101,102.375
1977,115,115.458333333333
1978,119,125.125
1981,103,101.375
1982,126,132.041666666667
1985,132,127.708333333333
1986,129,130.083333333333
1987,119,119.5
1988,115,121.166666666667
1989,105,115.166666666667
1990,90,91.2083333333333
1993,112,111.25
1994,113,116.291666666667
1999,109,109.916666666667
2002,93,92.375
2003,108,104.166666666667
2005,107,97.9583333333333
2006,123,116.875
2007,105,103.416666666667
2008,114,117.875
2009,105,107.666666666667
2010,114,115.916666666667
2011,96,100.041666666667
2012,107,115.958333333333
2013,121,116.166666666667
2015,111,116.083333333333
2016,111,112.25
2017,95,100.125
2018,109,107.208333333333
2019,101,104.083333333333
2023,106,91
2027,43,33.7916666666667
2029,46,37.2916666666667
2032,85,68.0416666666667
2033,43,35.8333333333333
2038,43,35.25
2039,98,97.9583333333333
2042,98,86.2083333333333
2044,87,94.25
2046,60,54.125
2052,87,78.0833333333333
