"Year","pheno","Predicted"
1959,104,106.104166666667
1960,110,284.923611111111
1962,129,128.109375
1964,120,101.147569444444
1965,125,94.9496527777778
1968,112,90.1493055555556
1969,123,150.277777777778
1970,130,112.217013888889
1971,120,111.921875
1972,119,73.9583333333333
1973,126,114.074652777778
1974,101,94.1770833333333
1975,117,119.024305555556
1977,115,132.234375
1978,119,115.083333333333
1979,132,129.15625
1980,122,134.121527777778
1984,130,117.008680555556
1986,129,145.923611111111
1990,90,90.15625
1992,114,115.288194444444
1993,112,108.911458333333
1994,113,119.946180555556
1998,104,63.0729166666667
1999,109,118.315972222222
2002,93,90.2413194444444
2003,108,68.1666666666667
2006,123,108.267361111111
2007,105,89.0121527777778
2008,114,115.961805555556
2009,105,101.272569444444
2010,114,109.168402777778
2014,93,79.0954861111111
2015,111,119.248263888889
2016,111,94.1753472222222
2017,95,87.109375
2018,109,97.9149305555556
2023,106,142.083333333333
2024,85,105.333333333333
2026,57,62.6666666666667
2027,43,50.375
2028,57,63
2029,46,53.3333333333333
2032,85,105.291666666667
2033,43,54.2916666666667
2039,98,151.208333333333
2042,98,118.208333333333
2044,87,101.5
2052,87,97.375
2053,77,102.083333333333
