Cultivar,Year,Beginning_of_bloom,Full_bloom,End_of_bloom
Elstar,1995,1995-05-02,1995-05-05,1995-05-20
Elstar,1996,1996-05-03,,
Elstar,1997,1997-04-24,1997-04-29,1997-05-11
Elstar,1998,1998-04-24,1998-04-26,1998-05-04
Elstar,1999,1999-04-28,1999-05-01,1999-05-06
Elstar,2000,2000-04-26,2000-04-27,2000-05-05
Elstar,2001,2001-05-04,2001-05-06,2001-05-12
Elstar,2002,2002-04-16,2002-04-20,2002-05-01
Elstar,2003,2003-04-26,2003-04-28,2003-05-04
Elstar,2004,2004-04-26,2004-04-28,2004-05-05
Elstar,2005,2005-04-24,2005-04-26,2005-05-01
Elstar,2006,2006-05-05,2005-05-07,2006-05-14
Elstar,2007,2007-04-18,2007-04-22,2007-04-26
Elstar,2008,2008-04-29,2008-05-02,2008-05-08
Elstar,2009,2009-04-20,2009-04-22,2009-04-29
Elstar,2010,2010-04-27,2010-04-29,2010-05-05
