"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,83.2585329657097,6521.00222795895,298
"2002/2003",2003,120,120,100,85.4842119713809,3206.4579291238,601
"2003/2004",2004,120,120,100,89.1594827163963,4684.72502718132,232
"2004/2005",2005,121,121,100,82.6702110946202,8058.06360329367,232
"2005/2006",2006,120,120,100,86.0407955959766,5220.53221855435,402
"2006/2007",2007,120,120,100,85.3014329463996,4999.00364452478,292
"2007/2008",2008,120,120,100,85.6346575685675,2628.01975484949,472
"2008/2009",2009,121,121,100,84.2760206087066,7406.26339043141,296
"2009/2010",2010,120,120,100,87.248178499075,5095.95968079951,177
"2010/2011",2011,120,120,100,86.6440571818023,4696.71991469327,248
"2011/2012",2012,120,120,100,78.0875526372379,4931.36096270953,606
"2012/2013",2013,121,121,100,89.3056771868785,4298.82120896864,316
"2013/2014",2014,120,120,100,77.7400948661391,3943.56885142683,830
"2014/2015",2015,120,120,100,85.8036016877682,5539.29958462471,304
"2015/2016",2016,120,120,100,81.901658887773,5563.93508161639,446
"2016/2017",2017,121,121,100,82.1276801482522,6493.6453620675,363
"2017/2018",2018,120,120,100,80.6470381475297,4244.53738736408,513
"2018/2019",2019,120,120,100,85.356047687585,4629.6685716908,389
"2019/2020",2020,120,120,100,82.9098335879135,7505.50513643282,248
"2020/2021",2021,121,121,100,84.255532461123,3485.00636507943,596
"2021/2022",2022,120,120,100,79.1204536219557,6153.6915173796,459
"2022/2023",2023,120,120,100,89.4886944356981,4721.83042122913,207
"2023/2024",2024,120,120,100,86.6804277023912,7419.89196994668,73
"2024/2025",2025,121,121,100,86.3756656625192,4772.02850969648,245
"2025/2026",2026,120,120,100,74.4828487260879,2783.29488194617,942
"2026/2027",2027,120,120,100,86.7669328531852,6179.6361665302,218
"2027/2028",2028,120,120,100,83.6550124809446,2684.44852864882,539
"2028/2029",2029,121,121,100,84.2735428834662,5829.97587858979,345
"2029/2030",2030,120,120,100,85.8913540249837,4877.58004540717,395
"2030/2031",2031,120,120,100,85.9068252811294,4474.60140519054,387
"2031/2032",2032,120,120,100,88.5525358007335,6235.74437904358,261
