"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,80.8947687268938,6456.78462121904,460
"2002/2003",2003,120,120,100,83.0885217286001,2631.88352784807,722
"2003/2004",2004,120,120,100,88.0185076652219,3985.97810961187,323
"2004/2005",2005,121,121,100,85.9769083048309,6915.79018368543,311
"2005/2006",2006,120,120,100,82.6754608105683,4904.70839346107,459
"2006/2007",2007,120,120,100,84.2911638833709,4743.29476411757,451
"2007/2008",2008,120,120,100,82.8726072224299,2308.01615301991,539
"2008/2009",2009,121,121,100,82.9640125756982,6487.5734880832,401
"2009/2010",2010,120,120,100,86.6836179288289,4229.74847894209,230
"2010/2011",2011,120,120,100,85.143148261787,4118.74230691639,366
"2011/2012",2012,120,120,100,74.305569890962,4679.47147246206,729
"2012/2013",2013,121,121,100,86.673779776889,3962.74171029625,424
"2013/2014",2014,120,120,100,74.4739363502838,4347.3531357185,1024
"2014/2015",2015,120,120,100,80.5674549424959,5383.90854281571,428
"2015/2016",2016,120,120,100,79.7642628185617,5286.71361882798,564
"2016/2017",2017,121,121,100,79.0788210703126,6117.6201181584,487
"2017/2018",2018,120,120,100,77.6785169674254,4268.12574613583,668
"2018/2019",2019,120,120,100,83.795245293898,4339.63825736241,486
"2019/2020",2020,120,120,100,83.6043113908891,6513.1118483725,326
"2020/2021",2021,121,121,100,82.8047097986882,3273.59959857212,752
"2021/2022",2022,120,120,100,75.1006868896211,6397.91903857002,656
"2022/2023",2023,120,120,100,85.95706645159,4597.3679685886,321
"2023/2024",2024,120,120,100,85.6325222725909,6730.66543350858,150
"2024/2025",2025,121,121,100,87.4497719897631,3756.84973549121,340
"2025/2026",2026,120,120,100,74.1298245959938,2324.55976846069,1030
"2026/2027",2027,120,120,100,84.682117464612,5635.58584435098,304
"2027/2028",2028,120,120,100,81.7614167117172,2375.07886736421,775
"2028/2029",2029,121,121,100,81.7345362850283,5808.13149025943,493
"2029/2030",2030,120,120,100,83.4894882828548,4518.1478512967,541
"2030/2031",2031,120,120,100,85.3312274300747,4074.64339207485,524
"2031/2032",2032,120,120,100,85.7032292433551,5627.70670946781,379
"2032/2033",2033,121,121,100,82.7040884255948,2709.37678471813,731
"2033/2034",2034,120,120,100,76.0378066015646,4792.99826820102,674
"2034/2035",2035,120,120,100,77.3436821905325,5343.49830303155,630
"2035/2036",2036,120,120,100,83.2356992045479,4702.6519549042,494
"2036/2037",2037,121,121,100,82.955964861836,3285.50088994252,716
