"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,80.7421802741915,6355.06494355264,434
"2002/2003",2003,120,120,100,83.5245264387836,2632.37602952703,700
"2003/2004",2004,120,120,100,87.3180635936865,4142.30432707671,339
"2004/2005",2005,121,121,100,84.2342750926468,7012.70526210818,307
"2005/2006",2006,120,120,100,82.732730081043,4764.11838711874,451
"2006/2007",2007,120,120,100,84.053016012419,4835.36687862064,439
"2007/2008",2008,120,120,100,82.3338359082732,2355.98639692017,564
"2008/2009",2009,121,121,100,82.9816942432765,6428.30851860135,385
"2009/2010",2010,120,120,100,88.180692187291,4178.28155289136,224
"2010/2011",2011,120,120,100,85.8049123039593,4152.56275798462,359
"2011/2012",2012,120,120,100,76.947380531102,4511.78658673551,714
"2012/2013",2013,121,121,100,87.5782398542613,4007.79423203401,419
"2013/2014",2014,120,120,100,72.6096226825864,4287.66851954127,1016
"2014/2015",2015,120,120,100,81.7453998250112,5403.71515677834,395
"2015/2016",2016,120,120,100,79.3460658528325,5109.13952046481,537
"2016/2017",2017,121,121,100,79.3560260819977,6219.88750993833,468
"2017/2018",2018,120,120,100,78.3723405233936,4219.02074111532,655
"2018/2019",2019,120,120,100,84.5836351269286,4348.56573188421,494
"2019/2020",2020,120,120,100,83.4385658114325,6570.8625084972,314
"2020/2021",2021,121,121,100,82.5053428884839,3173.88836811669,731
"2021/2022",2022,120,120,100,73.9835859020359,6307.30074446322,633
"2022/2023",2023,120,120,100,87.7907517176886,4404.94152138638,309
"2023/2024",2024,120,120,100,86.5863448366708,6871.9517716351,180
"2024/2025",2025,121,121,100,87.1469204289879,3935.69198573427,340
"2025/2026",2026,120,120,100,74.0388562853836,2575.96917755599,1052
"2026/2027",2027,120,120,100,86.8331850357058,5688.18637253833,307
"2027/2028",2028,120,120,100,82.2156135288628,2247.42740405863,705
"2028/2029",2029,121,121,100,81.3268748709015,5685.86510417238,474
"2029/2030",2030,120,120,100,82.785584236778,4583.08786834474,556
"2030/2031",2031,120,120,100,84.7941408031379,4095.13183452305,496
"2031/2032",2032,120,120,100,85.9520123913371,5619.20774184586,357
"2032/2033",2033,121,121,100,81.9097134221156,2726.96971006505,730
"2033/2034",2034,120,120,100,77.2628055694977,4754.68964505056,686
"2034/2035",2035,120,120,100,77.8430227649915,5304.12642450677,623
"2035/2036",2036,120,120,100,83.4767871936447,4820.10751288338,485
"2036/2037",2037,121,121,100,82.78202552113,3252.83008474996,678
"2037/2038",2038,120,120,100,82.046800873346,5468.36731167557,450
"2038/2039",2039,120,120,100,88.0156548970908,6624.08769688942,201
"2039/2040",2040,120,120,100,82.9503761909482,5108.86704878975,279
"2040/2041",2041,121,121,100,88.2122901858065,4824.7737114667,280
"2041/2042",2042,120,120,100,82.3464707282601,7351.74991786387,302
"2042/2043",2043,120,120,100,84.5890543984451,2630.93366302643,648
"2043/2044",2044,120,120,100,86.51459221807,4919.67464225786,267
"2044/2045",2045,121,121,100,79.9049755973492,2839.00829633465,764
"2045/2046",2046,120,120,100,79.4331938704563,5171.04797357554,585
"2046/2047",2047,120,120,100,79.7434353990247,4351.9444918083,656
"2047/2048",2048,120,120,100,87.3555936853436,3314.86742422823,411
"2048/2049",2049,121,121,100,84.8622748981552,3032.35967301065,640
"2049/2050",2050,120,120,100,83.6609816682749,1721.53228405165,648
