"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,80.4726428708206,6541.41571751561,453
"2002/2003",2003,120,120,100,82.0430493539273,2768.96806057198,713
"2003/2004",2004,120,120,100,89.4156769448573,4053.17346266008,301
"2004/2005",2005,121,121,100,86.2916583082266,6827.9825195006,272
"2005/2006",2006,120,120,100,83.644108642039,4850.65382450382,440
"2006/2007",2007,120,120,100,84.4660442286046,4807.44955966587,440
"2007/2008",2008,120,120,100,82.5369287903815,2399.37794678815,547
"2008/2009",2009,121,121,100,83.9803711687839,6442.55274689838,373
"2009/2010",2010,120,120,100,88.0117758541755,4177.23680393654,209
"2010/2011",2011,120,120,100,86.3352720374996,4113.18310734315,346
"2011/2012",2012,120,120,100,75.8653242261857,4680.70381476125,719
"2012/2013",2013,121,121,100,87.3082007532123,3957.14559724112,400
"2013/2014",2014,120,120,100,74.3978682188581,4312.47409751173,1018
"2014/2015",2015,120,120,100,81.8224983635662,5433.99792485393,418
"2015/2016",2016,120,120,100,80.095637397254,5184.23514414032,532
"2016/2017",2017,121,121,100,79.5276196578129,6251.66471427516,468
"2017/2018",2018,120,120,100,78.9676082282572,4226.06616202137,628
"2018/2019",2019,120,120,100,83.7278128813809,4350.64002336026,467
"2019/2020",2020,120,120,100,84.3853205464279,6547.02627143217,297
"2020/2021",2021,121,121,100,82.7074774838134,3266.16168535687,705
"2021/2022",2022,120,120,100,76.5677199674351,6291.54096069722,617
"2022/2023",2023,120,120,100,86.4812386436161,4558.21479447582,285
"2023/2024",2024,120,120,100,86.3863139890741,6866.16683727177,161
"2024/2025",2025,121,121,100,88.1866473990399,3897.33117806329,335
"2025/2026",2026,120,120,100,74.0570886820433,2426.4255749071,1032
"2026/2027",2027,120,120,100,85.7094777375378,5699.27736457135,284
"2027/2028",2028,120,120,100,81.3519499651579,2238.25843331823,697
"2028/2029",2029,121,121,100,81.2017691272013,5710.17571677617,465
"2029/2030",2030,120,120,100,81.7200483068491,4697.21842095512,550
"2030/2031",2031,120,120,100,85.4228582356454,4226.07751506218,525
"2031/2032",2032,120,120,100,85.3761491090163,5594.29050915688,348
"2032/2033",2033,121,121,100,83.094927998558,2720.56345742336,723
"2033/2034",2034,120,120,100,77.652422956925,4719.3980806875,656
"2034/2035",2035,120,120,100,78.7572295317823,5351.53962963866,556
"2035/2036",2036,120,120,100,83.4979180335986,4764.05387150776,465
"2036/2037",2037,121,121,100,82.844276627804,3206.54205908626,679
"2037/2038",2038,120,120,100,79.7464548512289,5529.73227605969,417
"2038/2039",2039,120,120,100,88.5319150802543,6704.7136792657,195
"2039/2040",2040,120,120,100,84.96515896859,5175.06904852903,286
"2040/2041",2041,121,121,100,88.1202931665302,4994.25215656264,274
"2041/2042",2042,120,120,100,82.8507773055917,7389.61892275698,315
"2042/2043",2043,120,120,100,84.0101773347606,2785.21089514485,645
"2043/2044",2044,120,120,100,87.5315108614377,4906.15518012922,274
"2044/2045",2045,121,121,100,79.3221348620182,2869.38651436428,754
"2045/2046",2046,120,120,100,80.2364966832647,5161.62372598937,601
"2046/2047",2047,120,120,100,78.2668598963455,4473.97077668179,655
"2047/2048",2048,120,120,100,86.5589191792242,3397.23302677507,409
"2048/2049",2049,121,121,100,83.7608572644476,3143.22448714916,645
"2049/2050",2050,120,120,100,82.2504056730477,1698.62078705756,627
"2050/2051",2051,120,120,100,79.7545480823119,5322.45042184927,427
"2051/2052",2052,120,120,100,81.4898731579706,6567.24086853117,334
"2052/2053",2053,121,121,100,84.5958187925517,5899.28171763802,308
"2053/2054",2054,120,120,100,83.7660397357913,6174.61633142456,271
"2054/2055",2055,120,120,100,84.5646913815763,4254.78809366468,441
"2055/2056",2056,120,120,100,76.5580524238485,6541.67005036538,337
"2056/2057",2057,121,121,100,81.9895671677223,3811.16583877383,624
"2057/2058",2058,120,120,100,85.4958664157512,5028.25666737789,239
"2058/2059",2059,120,120,100,80.042069963336,3056.83066086844,686
"2059/2060",2060,120,120,100,77.5429507029494,6484.98850407684,537
"2060/2061",2061,121,121,100,79.5017145224492,7706.05004549259,390
"2061/2062",2062,120,120,100,80.6986797131794,2375.17934426386,679
"2062/2063",2063,120,120,100,83.4718276287367,3133.62618427444,535
"2063/2064",2064,120,120,100,81.3500303778637,4670.71084471978,618
"2064/2065",2065,121,121,100,88.5719897548133,4155.54786499683,304
"2065/2066",2066,120,120,100,90.2387067537747,4216.03007063735,233
"2066/2067",2067,120,120,100,78.799386469238,2783.84586946666,790
"2067/2068",2068,120,120,100,85.1099703625769,7326.07715285756,394
"2068/2069",2069,121,121,100,83.2200452078287,4507.94751938339,544
"2069/2070",2070,120,120,100,83.8810785581645,4762.65174325835,490
"2070/2071",2071,120,120,100,84.046414155282,4915.7934280131,326
"2071/2072",2072,120,120,100,78.906149141998,4498.16149240173,676
"2072/2073",2073,121,121,100,85.9760368529896,7661.86279888637,289
"2073/2074",2074,120,120,100,73.9656279834035,6388.33479650598,688
"2074/2075",2075,120,120,100,82.9834775533309,6432.59543600772,425
"2075/2076",2076,120,120,100,86.0414100067519,6607.12558239233,172
"2076/2077",2077,121,121,100,84.1049455945667,2606.07433982473,584
"2077/2078",2078,120,120,100,84.60478647938,2772.55441516172,560
"2078/2079",2079,120,120,100,84.1593708002965,4178.49594477564,408
"2079/2080",2080,120,120,100,87.5732568821222,5571.70614359807,215
"2080/2081",2081,121,121,100,80.9315903386232,5726.954912127,618
"2081/2082",2082,120,120,100,80.8209106409267,5774.03433159925,364
"2082/2083",2083,120,120,100,83.4339196357796,5925.29196005128,417
"2083/2084",2084,120,120,100,84.4773674680055,3170.75455193315,491
"2084/2085",2085,121,121,100,81.5837959436485,4028.49208066519,559
"2085/2086",2086,120,120,100,81.1403034904615,4820.34098140988,589
"2086/2087",2087,120,120,100,82.9470044552472,3900.28117949329,546
"2087/2088",2088,120,120,100,80.9923009980648,4684.41150066257,634
"2088/2089",2089,121,121,100,84.9488403550604,4516.09101111535,545
"2089/2090",2090,120,120,100,84.5612241630333,2819.80139661022,563
"2090/2091",2091,120,120,100,79.9230776355671,4334.91163164657,706
"2091/2092",2092,120,120,100,84.6372101955913,2857.20304577146,550
"2092/2093",2093,121,121,100,84.0535253767321,5924.22235343792,446
"2093/2094",2094,120,120,100,76.5666531625193,5922.0541760847,783
"2094/2095",2095,120,120,100,87.338198519039,3891.0760400733,398
"2095/2096",2096,120,120,100,81.327425455871,6854.18759128451,246
"2096/2097",2097,121,121,100,71.6603555240908,8090.78525922354,496
"2097/2098",2098,120,120,100,79.601552328375,4728.48259947076,718
"2098/2099",2099,120,120,100,84.8959428944927,4546.33759272471,458
"2099/2100",2100,120,120,100,86.9445202637962,4795.7338029081,218
"2100/2101",2101,120,120,100,84.4040471470653,5173.77521432191,476
