"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,78.5537598346843,8151.11896178252,277
"2002/2003",2003,120,120,100,86.3328790585097,3850.88327923068,512
"2003/2004",2004,120,120,100,87.871635651327,5781.21657660446,184
"2004/2005",2005,121,121,100,83.4392648257022,9106.97459556803,146
"2005/2006",2006,120,120,100,82.8555930112483,6279.15392772376,379
"2006/2007",2007,120,120,100,84.4398351461116,6331.09655985696,256
"2007/2008",2008,120,120,100,86.7848491064029,3421.72131593304,424
"2008/2009",2009,121,121,100,83.2963655088722,8305.79923698318,211
"2009/2010",2010,120,120,100,89.2977404736205,5790.86393685592,113
"2010/2011",2011,120,120,100,87.7069825922738,5740.2983940366,215
"2011/2012",2012,120,120,100,78.3633275796415,5785.68059512111,508
"2012/2013",2013,121,121,100,89.3259193720419,5422.08608728775,280
"2013/2014",2014,120,120,100,75.6103538460072,5322.958061732,773
"2014/2015",2015,120,120,100,84.1517125586904,7014.73812843079,277
"2015/2016",2016,120,120,100,83.0732184632166,6576.52662798529,389
"2016/2017",2017,121,121,100,79.5254404098828,7981.3762561942,307
"2017/2018",2018,120,120,100,80.34754110006,5370.23012799886,473
"2018/2019",2019,120,120,100,85.7046444520347,5855.13362566079,299
"2019/2020",2020,120,120,100,83.5631386889272,8669.49869735842,200
"2020/2021",2021,121,121,100,84.7575720906448,4256.72485445649,463
"2021/2022",2022,120,120,100,73.8352093528897,7602.81701038522,407
"2022/2023",2023,120,120,100,89.7778893128316,5884.43341143965,166
"2023/2024",2024,120,120,100,84.0071319558419,9004.89467470697,63
"2024/2025",2025,121,121,100,88.6237858199365,5633.02317716973,193
"2025/2026",2026,120,120,100,76.4595953411517,3553.1086501372,853
"2026/2027",2027,120,120,100,84.7500994164147,7543.60563827888,188
"2027/2028",2028,120,120,100,85.8432788318551,3115.87059807894,434
"2028/2029",2029,121,121,100,81.64830028712,7059.28177723475,306
"2029/2030",2030,120,120,100,83.3080188141075,6132.72948447801,333
"2030/2031",2031,120,120,100,84.7636149569284,5539.65942855878,347
"2031/2032",2032,120,120,100,86.0292345417934,7413.44244233612,204
"2032/2033",2033,121,121,100,85.6909013027043,3831.83355249651,512
"2033/2034",2034,120,120,100,79.7345655467343,5872.985208306,458
"2034/2035",2035,120,120,100,79.0310892778971,6661.75780011481,395
"2035/2036",2036,120,120,100,84.7732231911796,6433.69379834365,329
"2036/2037",2037,121,121,100,84.830764698816,4319.69866106426,453
"2037/2038",2038,120,120,100,81.0763287986229,7028.50691565359,314
"2038/2039",2039,120,120,100,87.214296075007,8924.24085436761,92
"2039/2040",2040,120,120,100,84.3105103548814,6684.45183065254,126
"2040/2041",2041,121,121,100,88.534909881957,6508.89449149044,171
"2041/2042",2042,120,120,100,78.2042347649558,9495.93021034542,218
"2042/2043",2043,120,120,100,85.6553685861991,3550.98435408249,349
"2043/2044",2044,120,120,100,87.9749142471192,6467.11471320642,173
"2044/2045",2045,121,121,100,83.0194247748041,3694.81723800395,594
"2045/2046",2046,120,120,100,81.5526771394152,6431.05646272888,374
"2046/2047",2047,120,120,100,81.1687798727426,5654.1181869884,547
"2047/2048",2048,120,120,100,89.7995634829094,4553.07708494971,242
"2048/2049",2049,121,121,100,86.9591745250327,4076.04948891653,368
"2049/2050",2050,120,120,100,87.6338330167046,2474.3933884888,386
"2050/2051",2051,120,120,100,79.0513667758651,6803.28423062759,254
"2051/2052",2052,120,120,100,79.1559511948535,8435.63298802171,235
"2052/2053",2053,121,121,100,83.1426127522955,7854.9527973216,235
"2053/2054",2054,120,120,100,86.9898779061077,7869.8835830153,149
"2054/2055",2055,120,120,100,86.5679691431351,5531.27300959034,296
"2055/2056",2056,120,120,100,78.1467870576216,7973.8564679604,191
"2056/2057",2057,121,121,100,81.5622048575815,5318.14356623916,435
"2057/2058",2058,120,120,100,86.9409488592937,6520.67736807792,138
"2058/2059",2059,120,120,100,84.2798653736909,3928.88949408848,426
"2059/2060",2060,120,120,100,79.5675955170163,8032.24216552079,369
"2060/2061",2061,121,121,100,79.1959535388496,9563.1549160406,208
"2061/2062",2062,120,120,100,85.5229697476252,3216.26149755809,447
"2062/2063",2063,120,120,100,87.847154576486,4105.51747249067,315
"2063/2064",2064,120,120,100,81.8601696722581,5875.33276563976,445
"2064/2065",2065,121,121,100,88.8763689818279,5914.187774444,187
"2065/2066",2066,120,120,100,91.522526457944,5746.07800652459,68
"2066/2067",2067,120,120,100,81.9555080302634,3876.18294927198,634
"2067/2068",2068,120,120,100,80.9320426525464,9751.41879504174,277
"2068/2069",2069,121,121,100,84.5388230601766,5933.5706455633,412
"2069/2070",2070,120,120,100,85.1343576759664,6274.83085029572,382
"2070/2071",2071,120,120,100,84.8099922264973,6522.66870590765,198
"2071/2072",2072,120,120,100,82.2006559402744,5709.38128037471,396
"2072/2073",2073,121,121,100,83.2114334522266,10025.7588230213,237
"2073/2074",2074,120,120,100,73.9346892429148,7777.47749904916,515
"2074/2075",2075,120,120,100,80.4087301437758,8399.19305890892,284
"2075/2076",2076,120,120,100,84.8374371670234,8720.34375125263,66
"2076/2077",2077,121,121,100,88.6208307887409,3530.3563511055,365
"2077/2078",2078,120,120,100,86.3784551591561,3871.21246604156,399
"2078/2079",2079,120,120,100,86.4932720758443,5672.0878195269,283
"2079/2080",2080,120,120,100,84.941300070981,7640.38474756293,106
"2080/2081",2081,121,121,100,82.1459545085381,7077.97798139416,454
"2081/2082",2082,120,120,100,80.474349852695,7176.02670401987,214
"2082/2083",2083,120,120,100,83.8772116752225,7574.8069068864,264
"2083/2084",2084,120,120,100,87.163751969294,4571.4606018858,326
"2084/2085",2085,121,121,100,82.2622078323384,5461.93318792898,387
"2085/2086",2086,120,120,100,84.055951794091,5958.01082096901,371
"2086/2087",2087,120,120,100,85.4110755854526,4964.37390763499,299
"2087/2088",2088,120,120,100,81.3051110038814,5888.31048440095,445
"2088/2089",2089,121,121,100,85.7001634228673,5673.40324154496,326
"2089/2090",2090,120,120,100,86.2007963971992,3914.08565158956,389
"2090/2091",2091,120,120,100,82.9122125943468,5356.69840638805,449
"2091/2092",2092,120,120,100,88.0338545747964,3797.13081820402,285
"2092/2093",2093,121,121,100,81.3983508695565,7850.10736344196,355
"2093/2094",2094,120,120,100,78.2844721665006,7175.01647202577,497
"2094/2095",2095,120,120,100,88.4186989146965,5080.07584531792,193
"2095/2096",2096,120,120,100,82.7456974479774,8397.30695243832,133
"2096/2097",2097,121,121,100,73.2136094474063,9643.88681662083,280
"2097/2098",2098,120,120,100,80.8530648807209,5888.98594543897,465
"2098/2099",2099,120,120,100,84.9970532092557,5963.47294582147,321
"2099/2100",2100,120,120,100,87.3301434745463,6371.06390692573,85
"2100/2101",2101,120,120,100,84.8089869407631,6672.72175063659,341
