"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,81.8182878556076,5991.66768291921,430
"2002/2003",2003,120,120,100,83.0398919305285,2533.98762123825,726
"2003/2004",2004,120,120,100,88.7117057105036,3966.11002042374,351
"2004/2005",2005,121,121,100,84.7491888021992,6948.07456849518,330
"2005/2006",2006,120,120,100,83.2307796577111,4585.81384526053,456
"2006/2007",2007,120,120,100,84.8066832307206,4578.5563776085,444
"2007/2008",2008,120,120,100,83.1816992922974,2236.3375286269,579
"2008/2009",2009,121,121,100,84.1642113606761,6346.62885047588,406
"2009/2010",2010,120,120,100,87.5942305567714,4155.51467263617,243
"2010/2011",2011,120,120,100,85.7296561349528,4018.60070143919,365
"2011/2012",2012,120,120,100,76.8206741410506,4347.52590385114,745
"2012/2013",2013,121,121,100,87.393216602949,3827.77964584646,429
"2013/2014",2014,120,120,100,74.0626310671557,3959.39295408921,1014
"2014/2015",2015,120,120,100,83.5430733054338,5106.53154937353,397
"2015/2016",2016,120,120,100,79.5350916050284,4963.64077909535,543
"2016/2017",2017,121,121,100,82.068414942813,5892.17074272048,459
"2017/2018",2018,120,120,100,78.2002621537658,3961.30954132043,655
"2018/2019",2019,120,120,100,84.2141871964059,4137.82278576959,517
"2019/2020",2020,120,120,100,83.3831270512883,6436.7160603744,319
"2020/2021",2021,121,121,100,83.4469100857627,3068.94713285659,752
"2021/2022",2022,120,120,100,75.2049434379114,6007.35580665036,629
"2022/2023",2023,120,120,100,87.0646734946413,4202.01352076232,314
"2023/2024",2024,120,120,100,85.7530328381895,6600.0231868194,182
"2024/2025",2025,121,121,100,87.8372510062704,3816.90875373594,348
"2025/2026",2026,120,120,100,73.850742302142,2418.61307637906,1048
"2026/2027",2027,120,120,100,87.1138810865418,5439.6525760612,318
"2027/2028",2028,120,120,100,80.463182817412,2229.10918636387,727
"2028/2029",2029,121,121,100,82.0272380764,5458.70471413434,480
"2029/2030",2030,120,120,100,83.1107329431397,4313.44864745252,559
"2030/2031",2031,120,120,100,84.8739548127514,3881.08152392274,495
"2031/2032",2032,120,120,100,86.6727323384503,5463.9324729701,368
"2032/2033",2033,121,121,100,82.0309862867116,2610.06945013348,754
"2033/2034",2034,120,120,100,77.5415284436813,4494.80123487674,695
"2034/2035",2035,120,120,100,76.4806415368157,4994.53462646669,625
"2035/2036",2036,120,120,100,85.0010364593218,4521.8348002173,487
"2036/2037",2037,121,121,100,80.9078169445156,3141.20566365588,713
"2037/2038",2038,120,120,100,81.163382927698,5283.48292325623,467
"2038/2039",2039,120,120,100,89.0241163989613,6333.23744531348,199
"2039/2040",2040,120,120,100,85.5103118298675,4789.65569596272,281
"2040/2041",2041,121,121,100,87.6107380568537,4611.91622773837,282
"2041/2042",2042,120,120,100,83.0908120110325,7106.94238589099,304
"2042/2043",2043,120,120,100,83.7902216054354,2520.04917870881,644
"2043/2044",2044,120,120,100,87.1690255364965,4729.37278350815,272
"2044/2045",2045,121,121,100,80.8285785268645,2635.28009818587,755
"2045/2046",2046,120,120,100,78.2971885264824,4899.54299204331,581
"2046/2047",2047,120,120,100,78.2412195493562,4142.94579428993,660
"2047/2048",2048,120,120,100,88.0430226858789,3188.21545295371,426
"2048/2049",2049,121,121,100,84.133683618149,2883.04106197832,656
"2049/2050",2050,120,120,100,83.3538797515766,1623.63483123528,662
"2050/2051",2051,120,120,100,81.2636935468863,5055.90386242652,469
"2051/2052",2052,120,120,100,81.1859224059062,6154.05799951684,332
"2052/2053",2053,121,121,100,84.4475665458094,5609.01781807374,320
"2053/2054",2054,120,120,100,85.5656095683153,5885.21222978551,276
"2054/2055",2055,120,120,100,84.6824572309924,3914.82166269282,445
"2055/2056",2056,120,120,100,78.1388365136872,6215.11194450781,341
"2056/2057",2057,121,121,100,79.2057231386079,3713.03954382148,658
"2057/2058",2058,120,120,100,85.2249110597022,4780.54232178768,251
"2058/2059",2059,120,120,100,80.7978430585699,2780.38863738021,708
"2059/2060",2060,120,120,100,79.3803362920917,6209.1036596545,532
"2060/2061",2061,121,121,100,79.2627983880575,7472.09801860852,421
"2061/2062",2062,120,120,100,80.444521576801,2297.78997932514,699
"2062/2063",2063,120,120,100,83.69903261324,2815.07499351073,537
"2063/2064",2064,120,120,100,81.2837757560683,4533.66430792538,675
"2064/2065",2065,121,121,100,88.4689790399698,4166.31382936146,345
"2065/2066",2066,120,120,100,89.9858016587805,3929.9139035251,227
"2066/2067",2067,120,120,100,78.7463075702326,2809.64013006445,833
"2067/2068",2068,120,120,100,84.9145097775236,7337.78432307765,419
"2068/2069",2069,121,121,100,83.1663030289019,4343.42754557449,568
"2069/2070",2070,120,120,100,82.6141008275008,4662.95159602351,511
"2070/2071",2071,120,120,100,86.8525079195388,4560.67695099488,344
"2071/2072",2072,120,120,100,79.5373037575791,4160.25884873141,697
"2072/2073",2073,121,121,100,84.2563629422348,7539.15149229951,298
"2073/2074",2074,120,120,100,72.6175653414793,6115.86347821821,683
"2074/2075",2075,120,120,100,82.1904648283962,6069.0085260421,434
"2075/2076",2076,120,120,100,86.0481643293515,6503.01040767971,205
