"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,83.1687763493033,5040.74800775351,480
"2002/2003",2003,120,120,100,80.9905271124655,2039.93168039467,789
"2003/2004",2004,120,120,100,88.5739024606589,3366.37031713131,449
"2004/2005",2005,121,121,100,85.3139430842956,6090.60032151191,395
"2005/2006",2006,120,120,100,84.3565212663912,3746.02706663957,499
"2006/2007",2007,120,120,100,82.4108112957206,3926.59926116135,544
"2007/2008",2008,120,120,100,80.6607060771223,1811.82433416112,675
"2008/2009",2009,121,121,100,83.7878125519624,5427.81882542098,445
"2009/2010",2010,120,120,100,86.9908964527726,3421.05701866467,312
"2010/2011",2011,120,120,100,84.2507932242604,3349.62487669219,410
"2011/2012",2012,120,120,100,77.9373105776335,3583.20574478793,833
"2012/2013",2013,121,121,100,86.445951102748,3196.35095701856,489
"2013/2014",2014,120,120,100,74.9215222676712,3346.96155262366,1085
"2014/2015",2015,120,120,100,83.7281840094643,4368.08428452071,450
"2015/2016",2016,120,120,100,80.8206323650211,4176.17678775568,596
"2016/2017",2017,121,121,100,80.6674828444493,5165.17709829728,548
"2017/2018",2018,120,120,100,78.1324012425407,3303.11460450548,746
"2018/2019",2019,120,120,100,82.5166103736783,3504.34263549396,613
"2019/2020",2020,120,120,100,84.6205603576755,5636.97666508495,384
"2020/2021",2021,121,121,100,81.0567801046236,2519.73746889946,829
"2021/2022",2022,120,120,100,74.0070679222458,5285.19526797836,675
"2022/2023",2023,120,120,100,87.9501043480373,3371.81112088077,352
"2023/2024",2024,120,120,100,87.2267470904958,5774.54541211366,256
"2024/2025",2025,121,121,100,86.1014146291773,3260.06573414057,416
"2025/2026",2026,120,120,100,71.5357590952203,2204.18485989538,1203
"2026/2027",2027,120,120,100,87.2365981232715,4661.63061920577,393
"2027/2028",2028,120,120,100,80.1069544866182,1745.49468301493,796
"2028/2029",2029,121,121,100,83.0140250042741,4617.88562856778,573
"2029/2030",2030,120,120,100,83.5390905684135,3680.00630680146,651
"2030/2031",2031,120,120,100,83.9536365387667,3221.20573996985,541
"2031/2032",2032,120,120,100,86.7397919838777,4653.73121543881,436
"2032/2033",2033,121,121,100,82.2963123818545,2114.47461512033,822
"2033/2034",2034,120,120,100,76.4821935635846,3855.73073632806,786
"2034/2035",2035,120,120,100,76.5439876745677,4282.98031041119,709
"2035/2036",2036,120,120,100,84.0875520952623,3856.3195513431,581
"2036/2037",2037,121,121,100,81.0825019260255,2658.14827399002,806
"2037/2038",2038,120,120,100,83.3659271039969,4391.45416120021,510
"2038/2039",2039,120,120,100,89.3723322315873,5388.40370255942,237
"2039/2040",2040,120,120,100,86.504789273692,4086.67129209032,347
"2040/2041",2041,121,121,100,88.9767899748604,3770.35186618613,342
"2041/2042",2042,120,120,100,85.1384396345256,6012.55047115497,343
"2042/2043",2043,120,120,100,82.5197264795788,1924.99903059239,737
"2043/2044",2044,120,120,100,87.1603440609369,3892.29557150137,318
"2044/2045",2045,121,121,100,79.9529291489916,2027.46110661514,838
"2045/2046",2046,120,120,100,80.1491651940014,4250.7794381706,637
"2046/2047",2047,120,120,100,79.8693233775275,3393.82293143682,700
"2047/2048",2048,120,120,100,85.0992348174113,2507.31572646927,490
"2048/2049",2049,121,121,100,82.9891133959454,2264.10590856941,726
"2049/2050",2050,120,120,100,80.170434486804,1280.04315744247,776
"2050/2051",2051,120,120,100,79.7613455843084,4471.52224075422,584
"2051/2052",2052,120,120,100,81.7006382371337,5399.45084273582,402
"2052/2053",2053,121,121,100,83.6336456805357,4842.12855248433,370
"2053/2054",2054,120,120,100,85.615348941752,4947.83491785172,340
"2054/2055",2055,120,120,100,84.0858840350338,3202.51521284226,527
"2055/2056",2056,120,120,100,77.911629019989,5666.87026227592,454
"2056/2057",2057,121,121,100,78.5258173616894,3183.52729435032,734
"2057/2058",2058,120,120,100,87.9335338527144,3934.52388777584,301
"2058/2059",2059,120,120,100,79.1972586407719,2223.80107946694,816
"2059/2060",2060,120,120,100,78.6786386894437,5263.64121912653,559
"2060/2061",2061,121,121,100,79.9931810234884,6545.15691204788,490
"2061/2062",2062,120,120,100,77.4987890269167,1823.48381631076,764
"2062/2063",2063,120,120,100,83.1372061121656,2289.54714789754,617
"2063/2064",2064,120,120,100,80.2556642589043,3692.30938746128,750
"2064/2065",2065,121,121,100,86.4072351889481,3603.59986990457,441
"2065/2066",2066,120,120,100,89.017440123851,3174.28415600583,283
"2066/2067",2067,120,120,100,77.3692406694681,2369.69484461984,913
"2067/2068",2068,120,120,100,84.8260290651797,6434.43051228672,474
"2068/2069",2069,121,121,100,83.4206765746021,3659.40230612503,638
"2069/2070",2070,120,120,100,83.6878627237747,3808.90618777601,547
"2070/2071",2071,120,120,100,83.3716503249325,3958.17871965189,438
"2071/2072",2072,120,120,100,81.5494595023247,3388.85768396873,754
"2072/2073",2073,121,121,100,83.6871264671772,6587.77597903181,341
"2073/2074",2074,120,120,100,72.5127630102361,5476.98922907654,754
"2074/2075",2075,120,120,100,81.640350051006,5299.2629719805,513
"2075/2076",2076,120,120,100,87.3614700394555,5586.31114670355,250
"2076/2077",2077,121,121,100,83.5363138377488,1882.28608404938,673
"2077/2078",2078,120,120,100,82.4914215093449,2201.99410767388,709
"2078/2079",2079,120,120,100,85.3302949320441,3300.85207106359,461
"2079/2080",2080,120,120,100,86.2225934651888,4678.75848477427,330
"2080/2081",2081,121,121,100,82.0341791768296,4466.14158245083,692
"2081/2082",2082,120,120,100,82.8737608256688,4586.30981078185,448
"2082/2083",2083,120,120,100,83.4315959749019,4725.73379874416,482
"2083/2084",2084,120,120,100,83.5185656956146,2607.62851283606,621
"2084/2085",2085,121,121,100,79.2731827544085,3218.47754667979,626
"2085/2086",2086,120,120,100,82.0099324351777,3671.32158514485,670
"2086/2087",2087,120,120,100,82.0224212810044,2992.34551353287,634
"2087/2088",2088,120,120,100,79.2923954922117,3678.39115385246,740
"2088/2089",2089,121,121,100,85.2289311859058,3395.24098195415,599
"2089/2090",2090,120,120,100,81.9123355081429,2275.94250687771,684
"2090/2091",2091,120,120,100,81.0010848922175,3271.55677345861,760
"2091/2092",2092,120,120,100,83.6836685171893,2121.47230197955,639
"2092/2093",2093,121,121,100,84.5448551502195,4958.27139391005,552
"2093/2094",2094,120,120,100,79.6285397679421,4586.1407071352,825
"2094/2095",2095,120,120,100,86.8884639941043,2934.9694430707,501
"2095/2096",2096,120,120,100,81.6002971047801,5524.66740698833,304
"2096/2097",2097,121,121,100,71.0943587308429,6902.08563886955,579
"2097/2098",2098,120,120,100,79.1108265775238,3698.66801720113,817
"2098/2099",2099,120,120,100,83.6824396185148,3454.936082826,565
"2099/2100",2100,120,120,100,85.6987573468141,3853.23926566821,284
"2100/2101",2101,120,120,100,83.7304661857743,4142.45226306003,572
