"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,81.9967917976422,4402.67358308352,525
"2002/2003",2003,120,120,100,81.006990367124,2060.4397236987,854
"2003/2004",2004,120,120,100,88.3871212038069,2781.74762219499,459
"2004/2005",2005,121,121,100,87.9045849985879,5043.26998939234,340
"2005/2006",2006,120,120,100,83.44709927325,3076.15226903721,539
"2006/2007",2007,120,120,100,82.6349946463866,3201.26426117629,536
"2007/2008",2008,120,120,100,77.0890228963524,1592.14190506324,778
"2008/2009",2009,121,121,100,84.4271787171397,4689.44585369225,459
"2009/2010",2010,120,120,100,87.6888105738753,2779.79156824027,297
"2010/2011",2011,120,120,100,85.4841742128999,2679.58827042906,363
"2011/2012",2012,120,120,100,75.7671671771275,3132.91895778675,861
"2012/2013",2013,121,121,100,87.0415126988783,2496.93447520176,475
"2013/2014",2014,120,120,100,73.061786034111,2545.38371725893,1134
"2014/2015",2015,120,120,100,83.8425539891796,3650.65466087312,482
"2015/2016",2016,120,120,100,82.3474966766257,3282.80116990395,651
"2016/2017",2017,121,121,100,82.7516221732412,4639.11048748146,628
"2017/2018",2018,120,120,100,79.3468121423102,2630.20314252086,738
"2018/2019",2019,120,120,100,84.8000767508079,2821.70385838405,599
"2019/2020",2020,120,120,100,84.682443989087,4802.03266307851,375
"2020/2021",2021,121,121,100,81.9890239882457,1994.067380263,815
"2021/2022",2022,120,120,100,78.5421708926692,4159.99724542815,637
"2022/2023",2023,120,120,100,86.9478031929407,2690.50809731148,309
"2023/2024",2024,120,120,100,87.4229816183706,5050.85678661498,236
"2024/2025",2025,121,121,100,84.3172927415462,3031.54774575774,506
"2025/2026",2026,120,120,100,70.5706503079032,1918.35789758363,1276
"2026/2027",2027,120,120,100,87.9522841690032,3989.99215907347,421
"2027/2028",2028,120,120,100,79.0704686979234,1180.83045881125,750
"2028/2029",2029,121,121,100,83.023310873672,3651.305414984,562
"2029/2030",2030,120,120,100,80.3724345418595,3462.83946816972,665
"2030/2031",2031,120,120,100,82.5183827427809,3017.48268258874,653
"2031/2032",2032,120,120,100,87.7248367067195,3697.48571402207,388
"2032/2033",2033,121,121,100,80.1356931854998,1766.39461116446,904
"2033/2034",2034,120,120,100,77.6349660654769,2997.34392525302,733
