"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,80.5536226576425,5362.81905238669,575
"2002/2003",2003,120,120,100,81.5325090978895,2054.01272548319,825
"2003/2004",2004,120,120,100,86.8728168381597,3100.49322031366,440
"2004/2005",2005,121,121,100,86.5896996906152,5517.19715320747,355
"2005/2006",2006,120,120,100,84.0413298717469,3809.39095425641,516
"2006/2007",2007,120,120,100,83.9187496940524,3846.82956696645,560
"2007/2008",2008,120,120,100,80.816662696828,1768.60014447157,671
"2008/2009",2009,121,121,100,84.0179170942288,5197.90585922654,440
"2009/2010",2010,120,120,100,87.6375177627172,3125.44652580551,259
"2010/2011",2011,120,120,100,85.9405971911722,3099.74577958183,432
"2011/2012",2012,120,120,100,74.6024881621834,3790.5049400127,849
"2012/2013",2013,121,121,100,86.4035283060082,3039.44912100921,490
"2013/2014",2014,120,120,100,73.8713992338478,3576.83260482759,1128
"2014/2015",2015,120,120,100,81.3033296542974,4441.12741649512,484
"2015/2016",2016,120,120,100,79.6448333322132,4134.03498619306,620
"2016/2017",2017,121,121,100,80.1519769384449,5256.8493103357,604
"2017/2018",2018,120,120,100,77.3482211963446,3471.51464678696,764
"2018/2019",2019,120,120,100,83.7734079803108,3425.11204234301,590
"2019/2020",2020,120,120,100,85.6192252330293,5256.80766011006,374
"2020/2021",2021,121,121,100,81.3018402611137,2459.8071252557,843
"2021/2022",2022,120,120,100,74.5554172321572,5395.66631426313,727
"2022/2023",2023,120,120,100,84.7832075379738,3529.37461588182,373
"2023/2024",2024,120,120,100,86.5900972554091,5606.25314130262,237
"2024/2025",2025,121,121,100,86.7844296056101,2993.72100874851,432
"2025/2026",2026,120,120,100,72.6355316612189,1980.31011870247,1183
"2026/2027",2027,120,120,100,86.3640506106003,4567.22213173634,376
"2027/2028",2028,120,120,100,80.6457517508593,1596.72929254663,826
"2028/2029",2029,121,121,100,81.5239217175827,4712.51004906581,570
"2029/2030",2030,120,120,100,83.4487636536651,3807.02788808336,699
"2030/2031",2031,120,120,100,84.4019807489449,3305.23611129471,605
"2031/2032",2032,120,120,100,86.9073001760762,4400.85388265504,423
"2032/2033",2033,121,121,100,79.6544667893932,2063.25313342572,828
"2033/2034",2034,120,120,100,75.9458630080962,3934.94634651043,776
"2034/2035",2035,120,120,100,76.401621730387,4476.54889506614,745
"2035/2036",2036,120,120,100,82.5138056371597,3838.39625770645,583
"2036/2037",2037,121,121,100,81.0287463452023,2454.7469566199,816
"2037/2038",2038,120,120,100,82.751570562401,4421.76989907026,492
"2038/2039",2039,120,120,100,90.6869762830202,5381.38981148275,254
"2039/2040",2040,120,120,100,84.5527354068945,4206.49163911305,387
"2040/2041",2041,121,121,100,86.8577484893867,3963.54400502844,364
"2041/2042",2042,120,120,100,85.020351608624,5950.03607642325,369
"2042/2043",2043,120,120,100,81.84087937394,2113.35775355855,836
"2043/2044",2044,120,120,100,86.4927242166714,3839.50794307981,339
"2044/2045",2045,121,121,100,78.9855431744772,2231.663925895,903
"2045/2046",2046,120,120,100,77.2361620140455,4299.10949948803,701
"2046/2047",2047,120,120,100,78.7083652985993,3527.94982393365,723
"2047/2048",2048,120,120,100,85.5400559026293,2527.9379109838,541
"2048/2049",2049,121,121,100,81.8126351236206,2362.15833755117,790
"2049/2050",2050,120,120,100,82.3692894873348,1207.63091743737,803
"2050/2051",2051,120,120,100,80.0539651375593,4468.95411688089,593
"2051/2052",2052,120,120,100,82.0163301502944,5422.05086014373,408
"2052/2053",2053,121,121,100,84.733867415538,4802.50656655291,368
"2053/2054",2054,120,120,100,86.0283808490676,4948.6505247457,362
"2054/2055",2055,120,120,100,82.8804230167698,3337.61074361112,560
