"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,82.1430399928312,4224.43146172212,573
"2002/2003",2003,120,120,100,77.9864318964614,1665.4231575023,873
"2003/2004",2004,120,120,100,86.3537472381774,2596.50782645601,520
"2004/2005",2005,121,121,100,85.6967767956943,5050.31738672915,437
"2005/2006",2006,120,120,100,84.0218699558937,3023.02602416725,551
"2006/2007",2007,120,120,100,80.9988666469281,3154.76960886962,623
"2007/2008",2008,120,120,100,76.6327865624061,1383.30122099584,767
"2008/2009",2009,121,121,100,83.3881710769144,4522.15636199317,498
"2009/2010",2010,120,120,100,87.1199441338711,2647.29428831337,336
"2010/2011",2011,120,120,100,83.2185357347948,2574.89310618246,466
"2011/2012",2012,120,120,100,76.3620490623721,2945.13638040063,907
"2012/2013",2013,121,121,100,85.0677765950238,2501.30346251267,543
"2013/2014",2014,120,120,100,72.2246947112569,2745.00758464623,1172
"2014/2015",2015,120,120,100,82.3855774517845,3593.21790007909,524
"2015/2016",2016,120,120,100,81.2264494669162,3388.28606695926,693
"2016/2017",2017,121,121,100,81.3216656306695,4436.67967796954,653
"2017/2018",2018,120,120,100,77.8053935078729,2639.16525914706,811
"2018/2019",2019,120,120,100,81.6392276797801,2835.77482163208,696
"2019/2020",2020,120,120,100,83.5675239612724,4701.85564760678,443
"2020/2021",2021,121,121,100,81.2606621026157,1987.86573929014,929
"2021/2022",2022,120,120,100,76.147014955231,4484.23638877808,740
"2022/2023",2023,120,120,100,87.7489790981731,2608.34722192166,389
"2023/2024",2024,120,120,100,86.8682220421711,4799.3595871774,278
"2024/2025",2025,121,121,100,86.3631924060064,2642.94034643611,526
"2025/2026",2026,120,120,100,71.2677909567451,1825.23224791675,1320
"2026/2027",2027,120,120,100,86.229604067029,3883.38878443441,477
"2027/2028",2028,120,120,100,77.9187586403273,1259.36153489863,876
"2028/2029",2029,121,121,100,83.0937240315284,3786.002887649,654
"2029/2030",2030,120,120,100,81.8370856601155,3171.11639312236,746
"2030/2031",2031,120,120,100,85.1526761668374,2680.11361510423,648
"2031/2032",2032,120,120,100,86.7426144003521,3729.40136578353,485
"2032/2033",2033,121,121,100,78.2884055260538,1678.63578255544,935
"2033/2034",2034,120,120,100,75.5060349415153,3138.39620424341,852
"2034/2035",2035,120,120,100,75.9520870272245,3664.43289675424,808
"2035/2036",2036,120,120,100,82.6538853313132,3143.05097932043,671
"2036/2037",2037,121,121,100,79.5768832540116,2081.78109486029,917
"2037/2038",2038,120,120,100,82.3646880607803,3474.97730692988,553
"2038/2039",2039,120,120,100,90.2513670576127,4476.06334874639,271
"2039/2040",2040,120,120,100,85.1379316876964,3371.59456333425,438
"2040/2041",2041,121,121,100,86.4198823796178,3063.86290917732,410
"2041/2042",2042,120,120,100,85.5446232995182,4887.89334520698,369
"2042/2043",2043,120,120,100,79.2858160257929,1534.12119782204,864
"2043/2044",2044,120,120,100,85.5172420433855,3034.60173135158,372
"2044/2045",2045,121,121,100,78.1802404882073,1537.8961538244,922
"2045/2046",2046,120,120,100,79.5435940692159,3523.15909948805,725
"2046/2047",2047,120,120,100,79.4803874531017,2731.80009724153,747
"2047/2048",2048,120,120,100,84.7079142527327,1865.32698216941,570
"2048/2049",2049,121,121,100,81.6849493161744,1805.53356728749,811
"2049/2050",2050,120,120,100,80.4237937421804,917.91222760966,899
"2050/2051",2051,120,120,100,79.537187588121,3744.26747443853,682
"2051/2052",2052,120,120,100,80.6156846757758,4549.33691635728,465
"2052/2053",2053,121,121,100,83.5222066967553,4160.13621612033,450
"2053/2054",2054,120,120,100,85.7960643324905,4022.72825003415,391
"2054/2055",2055,120,120,100,82.6582540118197,2524.58540994441,575
"2055/2056",2056,120,120,100,76.5733123558239,4957.97479302809,571
"2056/2057",2057,121,121,100,77.5110874574575,2536.91285758885,791
"2057/2058",2058,120,120,100,88.3677551293549,3139.10293324012,348
"2058/2059",2059,120,120,100,76.5308628592466,1710.64921236644,899
"2059/2060",2060,120,120,100,81.7061730437545,4265.86546683591,607
"2060/2061",2061,121,121,100,80.6860421464371,5413.15211811941,523
"2061/2062",2062,120,120,100,76.4698030788859,1421.04433856392,905
"2062/2063",2063,120,120,100,81.4251602731147,1952.6600364428,753
"2063/2064",2064,120,120,100,80.3563090382995,2927.61293289717,822
"2064/2065",2065,121,121,100,85.9658972332054,2930.27650007606,554
"2065/2066",2066,120,120,100,89.6557231128409,2448.1087607271,342
"2066/2067",2067,120,120,100,77.5482140285239,1807.46015705913,998
"2067/2068",2068,120,120,100,86.3908158103659,5244.52485761512,502
"2068/2069",2069,121,121,100,82.4364517897029,2900.07463668287,714
"2069/2070",2070,120,120,100,81.8059661018669,2934.1365458779,594
"2070/2071",2071,120,120,100,82.0688640060125,3420.57062040083,567
"2071/2072",2072,120,120,100,77.2276477628147,2883.89613082819,823
"2072/2073",2073,121,121,100,87.2624202906118,5465.34528088756,368
"2073/2074",2074,120,120,100,72.596501924254,4704.20740472712,818
"2074/2075",2075,120,120,100,82.8654180574194,4541.86214861181,589
"2075/2076",2076,120,120,100,87.9524058677525,4571.63530323282,289
"2076/2077",2077,121,121,100,81.3337028631249,1554.97306014597,812
"2077/2078",2078,120,120,100,80.3018616529534,1660.80218643881,810
"2078/2079",2079,120,120,100,84.1612899445536,2532.07701672427,506
"2079/2080",2080,120,120,100,85.8013864315544,3898.50543148722,412
"2080/2081",2081,121,121,100,82.5538929575487,3463.04049921595,729
"2081/2082",2082,120,120,100,83.5802121276538,3703.73154716473,487
"2082/2083",2083,120,120,100,83.1235917170579,3834.97485995106,525
"2083/2084",2084,120,120,100,82.3899087746995,2076.90940617677,713
"2084/2085",2085,121,121,100,79.9002077339392,2509.88102388103,708
"2085/2086",2086,120,120,100,83.1384349393538,2863.57747596037,713
"2086/2087",2087,120,120,100,81.8188749541023,2346.28579012398,704
"2087/2088",2088,120,120,100,79.3244294630531,2922.70709627401,797
"2088/2089",2089,121,121,100,84.3181453183734,2710.92845065147,654
"2089/2090",2090,120,120,100,80.8204230793726,1704.23466993868,755
