"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,81.2361230267869,6043.2332002793,487
"2002/2003",2003,120,120,100,81.5547982870839,2452.7495681904,765
"2003/2004",2004,120,120,100,87.1014254235878,3908.99625227292,387
"2004/2005",2005,121,121,100,85.6794709011668,6773.66045892501,355
"2005/2006",2006,120,120,100,83.0654091210547,4612.26981439831,476
"2006/2007",2007,120,120,100,82.3911007304162,4568.26874855784,506
"2007/2008",2008,120,120,100,83.1450694107831,2191.56874257087,585
"2008/2009",2009,121,121,100,82.8855920308667,6282.25163297658,426
"2009/2010",2010,120,120,100,86.7172981610859,4110.55179327878,282
"2010/2011",2011,120,120,100,83.8475540007371,3960.51908143819,401
"2011/2012",2012,120,120,100,74.6107900116276,4451.13909348135,798
"2012/2013",2013,121,121,100,85.1279242844396,3796.30390151893,472
"2013/2014",2014,120,120,100,73.63423364096,4062.34736314532,1036
"2014/2015",2015,120,120,100,82.4846701912882,5121.2723160825,442
"2015/2016",2016,120,120,100,79.1148959894608,5010.27758882532,571
"2016/2017",2017,121,121,100,80.0496537114386,5827.94507895922,515
"2017/2018",2018,120,120,100,77.5328302773191,4104.73154899268,718
"2018/2019",2019,120,120,100,81.9747658286115,4081.98583181575,555
"2019/2020",2020,120,120,100,83.8492471096979,6275.14837691281,350
"2020/2021",2021,121,121,100,83.0990268204346,3078.67131252331,807
"2021/2022",2022,120,120,100,75.1077721393849,6119.3465765221,677
"2022/2023",2023,120,120,100,86.5623516320634,4321.20672617434,357
"2023/2024",2024,120,120,100,88.0371653433067,6492.3727305918,205
"2024/2025",2025,121,121,100,86.5599391066303,3633.66681188927,374
"2025/2026",2026,120,120,100,72.0910279507493,2291.7859283369,1080
"2026/2027",2027,120,120,100,86.2448909388095,5330.88566379598,337
"2027/2028",2028,120,120,100,81.1231862260952,2288.42985853646,816
"2028/2029",2029,121,121,100,80.1739717246378,5577.19645026862,562
"2029/2030",2030,120,120,100,82.4123625859565,4194.08461400471,570
"2030/2031",2031,120,120,100,85.356731774802,3820.32673341339,543
"2031/2032",2032,120,120,100,85.5878743391995,5422.31226726016,417
"2032/2033",2033,121,121,100,82.0296924916747,2560.10441506049,797
"2033/2034",2034,120,120,100,75.1371217403776,4617.3998233974,730
"2034/2035",2035,120,120,100,77.537183338567,5000.29070895165,663
"2035/2036",2036,120,120,100,84.2939320100913,4463.84170655254,553
"2036/2037",2037,121,121,100,82.6597439082416,3135.494540432,777
"2037/2038",2038,120,120,100,80.141257791327,5406.47771989787,493
"2038/2039",2039,120,120,100,88.8270156918979,6191.25055148033,219
"2039/2040",2040,120,120,100,87.1676025725747,4787.57473781891,318
"2040/2041",2041,121,121,100,86.438287733873,4657.62267718092,329
"2041/2042",2042,120,120,100,83.5448192971198,7136.81441212166,353
"2042/2043",2043,120,120,100,82.10448623499,2605.21415826213,729
"2043/2044",2044,120,120,100,85.5414165455541,4822.79542149184,337
"2044/2045",2045,121,121,100,80.7710994488561,2780.67789317993,812
"2045/2046",2046,120,120,100,77.8894028044006,4978.24596623052,627
"2046/2047",2047,120,120,100,78.7011983175871,4221.01021673065,693
"2047/2048",2048,120,120,100,84.9554746164986,3254.51592160435,476
"2048/2049",2049,121,121,100,83.031684854067,2914.80072457902,737
"2049/2050",2050,120,120,100,82.9656018469532,1614.08150320593,733
"2050/2051",2051,120,120,100,79.1693719436616,5012.26297201263,524
"2051/2052",2052,120,120,100,80.5514365858508,6078.32405068958,354
"2052/2053",2053,121,121,100,84.3392747170228,5412.86759539694,345
"2053/2054",2054,120,120,100,83.3875885639936,5959.11912417598,351
"2054/2055",2055,120,120,100,84.5082094863819,3987.31417768123,501
"2055/2056",2056,120,120,100,77.9185941613241,6212.75690594176,407
"2056/2057",2057,121,121,100,78.7955660548305,3612.03009652486,698
"2057/2058",2058,120,120,100,86.0760189936955,4814.61048141308,305
"2058/2059",2059,120,120,100,80.0608305971809,2872.44586776802,782
"2059/2060",2060,120,120,100,77.5474441565439,6353.9813840217,587
"2060/2061",2061,121,121,100,78.2838847427429,7563.45548452949,467
"2061/2062",2062,120,120,100,79.3178420164204,2344.74340851419,774
"2062/2063",2063,120,120,100,82.451498313294,2753.31132156774,583
"2063/2064",2064,120,120,100,80.7753215149514,4644.96267200727,719
"2064/2065",2065,121,121,100,87.4388680251395,3995.61149087921,383
"2065/2066",2066,120,120,100,89.6611670593575,3965.47948082257,287
"2066/2067",2067,120,120,100,78.3597184830724,2769.81327192392,839
"2067/2068",2068,120,120,100,84.3685846003773,7189.70275774598,460
"2068/2069",2069,121,121,100,82.5570725936032,4376.38689513691,592
"2069/2070",2070,120,120,100,82.1644870979289,4713.20971639268,534
"2070/2071",2071,120,120,100,84.1408190994443,4389.63823373336,378
"2071/2072",2072,120,120,100,80.0534621439256,4149.10612758249,736
"2072/2073",2073,121,121,100,84.9736587789994,7412.63025789708,331
"2073/2074",2074,120,120,100,71.8513982397544,6155.92982880026,729
"2074/2075",2075,120,120,100,83.5121034217791,5875.50684531312,468
"2075/2076",2076,120,120,100,86.933400449725,6416.14403479453,246
"2076/2077",2077,121,121,100,83.3989392053645,2379.53769357502,633
"2077/2078",2078,120,120,100,82.6748676079733,2723.77687640861,644
"2078/2079",2079,120,120,100,83.1982183981072,4083.16776669025,451
"2079/2080",2080,120,120,100,86.8670310204052,5299.83859966137,321
"2080/2081",2081,121,121,100,79.5238172079098,5758.14519326761,716
"2081/2082",2082,120,120,100,80.0167398439735,5608.03842360806,456
"2082/2083",2083,120,120,100,82.9476928549357,5640.97743577138,467
"2083/2084",2084,120,120,100,84.5450804671345,2931.86817576457,561
"2084/2085",2085,121,121,100,80.6458091186723,3819.91864270251,610
"2085/2086",2086,120,120,100,80.1887799655742,4691.73735588416,672
"2086/2087",2087,120,120,100,82.1752713335227,3775.9394886652,609
"2087/2088",2088,120,120,100,78.3347376741622,4578.50776071101,724
"2088/2089",2089,121,121,100,83.224220134427,4329.76978437975,620
"2089/2090",2090,120,120,100,83.8178818833239,2797.57691223267,658
"2090/2091",2091,120,120,100,79.6250306645161,4254.3144507315,786
"2091/2092",2092,120,120,100,83.5050712600405,2821.64984444529,622
"2092/2093",2093,121,121,100,83.12431639842,5667.64225428086,500
"2093/2094",2094,120,120,100,74.789067165937,5726.4423291022,848
"2094/2095",2095,120,120,100,85.3806831818965,3801.84601000883,505
"2095/2096",2096,120,120,100,79.8210848481394,6531.70118935406,324
"2096/2097",2097,121,121,100,70.3561671913194,7636.38026797492,556
"2097/2098",2098,120,120,100,78.0357359719928,4555.83995882794,786
"2098/2099",2099,120,120,100,82.1460568181319,4281.12384084892,544
"2099/2100",2100,120,120,100,85.7675788766446,4621.15046175942,305
"2100/2101",2101,120,120,100,81.9061729821478,5160.92965382989,560
