"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,82.2562605233812,6350.14028407532,381
"2002/2003",2003,120,120,100,83.9239237841783,2724.05358789882,680
"2003/2004",2004,120,120,100,88.5321309957675,4260.31948191827,303
"2004/2005",2005,121,121,100,84.6731511857566,7358.9525140441,294
"2005/2006",2006,120,120,100,84.187871893723,4946.00550733117,446
"2006/2007",2007,120,120,100,83.8096572234866,4805.7169888257,390
"2007/2008",2008,120,120,100,83.4310229235075,2391.11783582257,535
"2008/2009",2009,121,121,100,82.5569876528709,6767.34625557717,383
"2009/2010",2010,120,120,100,87.350062965593,4503.03183970263,214
"2010/2011",2011,120,120,100,85.198912230298,4339.13343754807,347
"2011/2012",2012,120,120,100,76.5675676294122,4676.90247294086,691
"2012/2013",2013,121,121,100,86.7762164029734,4100.83840738446,391
"2013/2014",2014,120,120,100,74.5884125133261,4184.01658746856,969
"2014/2015",2015,120,120,100,83.0274759134993,5410.2388432055,366
"2015/2016",2016,120,120,100,79.2770500523129,5287.91652341711,502
"2016/2017",2017,121,121,100,81.7777569367372,6162.93233091233,426
"2017/2018",2018,120,120,100,78.7130241357954,4274.54452564172,606
"2018/2019",2019,120,120,100,85.4133464122397,4378.20426723012,464
"2019/2020",2020,120,120,100,83.5652347131586,6771.07195146708,290
"2020/2021",2021,121,121,100,81.1069954399609,3257.94221117813,702
"2021/2022",2022,120,120,100,76.6257152034323,6314.68252570904,610
"2022/2023",2023,120,120,100,87.3894938233534,4562.9044541684,296
"2023/2024",2024,120,120,100,87.0156733535778,6940.84786919667,142
"2024/2025",2025,121,121,100,85.9054718865946,4083.67447428964,316
"2025/2026",2026,120,120,100,75.5380885690738,2484.12462268118,978
"2026/2027",2027,120,120,100,87.3274599940855,5731.34059620858,278
"2027/2028",2028,120,120,100,82.6072974062004,2475.30797157343,697
"2028/2029",2029,121,121,100,81.2178939559194,5814.01312517049,431
"2029/2030",2030,120,120,100,84.6095900303835,4504.60639310745,473
"2030/2031",2031,120,120,100,85.2307581622626,4113.49240998924,462
"2031/2032",2032,120,120,100,85.5919665294477,5802.10233189655,333
"2032/2033",2033,121,121,100,82.2843337597142,2809.09466839815,721
"2033/2034",2034,120,120,100,77.1833150183584,4769.9961970076,646
"2034/2035",2035,120,120,100,78.6741089867692,5249.58336554421,575
"2035/2036",2036,120,120,100,86.233776589751,4778.70068389922,445
"2036/2037",2037,121,121,100,83.7274703175526,3345.6253748876,653
"2037/2038",2038,120,120,100,80.2463886988371,5688.99988431716,452
"2038/2039",2039,120,120,100,87.3105998206238,6746.86395963375,181
"2039/2040",2040,120,120,100,86.952047301239,5063.53339149524,247
"2040/2041",2041,121,121,100,88.2469409606747,4995.57146186754,254
"2041/2042",2042,120,120,100,83.1876269072791,7622.35495553026,288
"2042/2043",2043,120,120,100,83.4765068306124,2749.25266956119,570
"2043/2044",2044,120,120,100,86.2268389031033,5123.64792251633,256
"2044/2045",2045,121,121,100,80.0587325303504,2919.1041335389,729
"2045/2046",2046,120,120,100,79.9556597977044,5176.72622987581,537
"2046/2047",2047,120,120,100,79.7341658365967,4440.059737287,645
"2047/2048",2048,120,120,100,86.475809140099,3507.91485792678,386
"2048/2049",2049,121,121,100,85.480832326356,3100.81858636998,608
"2049/2050",2050,120,120,100,83.1464728658684,1770.79836102528,591
"2050/2051",2051,120,120,100,80.6697218400286,5261.90184775228,402
"2051/2052",2052,120,120,100,81.6042203869674,6447.07234847313,304
"2052/2053",2053,121,121,100,84.0568065302778,5880.86916470993,293
"2053/2054",2054,120,120,100,84.3379953038429,6284.22166615538,245
"2054/2055",2055,120,120,100,85.518573835544,4196.20873116888,411
"2055/2056",2056,120,120,100,78.5136224547423,6430.5172554669,307
"2056/2057",2057,121,121,100,80.5642940349535,3954.83509439649,616
"2057/2058",2058,120,120,100,87.1563773223861,5125.31997875124,222
"2058/2059",2059,120,120,100,80.0867019576926,2995.89313197229,639
"2059/2060",2060,120,120,100,78.8250524351333,6623.28217551857,515
"2060/2061",2061,121,121,100,79.1013157866983,7886.39918855624,387
"2061/2062",2062,120,120,100,79.5168281072292,2550.84485360701,652
"2062/2063",2063,120,120,100,84.454088106515,2968.80266349716,478
"2063/2064",2064,120,120,100,80.9258556234454,4922.03473216761,633
"2064/2065",2065,121,121,100,87.694002944856,4420.46514850063,296
"2065/2066",2066,120,120,100,90.0933635713027,4281.03865919402,194
"2066/2067",2067,120,120,100,78.2433571470119,2998.43312998489,800
"2067/2068",2068,120,120,100,84.7783665232055,7753.52921117097,389
"2068/2069",2069,121,121,100,83.2951296790343,4644.68106605578,538
"2069/2070",2070,120,120,100,83.5744291691371,5081.57103704382,505
"2070/2071",2071,120,120,100,86.967993030572,4760.26222935878,311
"2071/2072",2072,120,120,100,80.9462373303886,4480.83018746879,651
"2072/2073",2073,121,121,100,85.4492314523304,7965.90318854339,280
"2073/2074",2074,120,120,100,73.0669367717583,6379.51319585927,639
"2074/2075",2075,120,120,100,82.7461763969022,6366.04645934235,398
"2075/2076",2076,120,120,100,87.936356267508,6888.7725556381,172
"2076/2077",2077,121,121,100,84.879187180697,2592.52093654592,558
"2077/2078",2078,120,120,100,83.1979960699846,2971.11169377342,558
"2078/2079",2079,120,120,100,84.6845061528202,4408.88889989909,401
"2079/2080",2080,120,120,100,86.5644370573864,5875.07372481376,225
"2080/2081",2081,121,121,100,80.1265809973884,6025.23159319162,626
"2081/2082",2082,120,120,100,81.8814891400434,5837.0411512712,342
"2082/2083",2083,120,120,100,83.5845493528359,5956.90746877063,368
"2083/2084",2084,120,120,100,85.3111053261,3253.78769164905,465
"2084/2085",2085,121,121,100,81.9961342842125,4068.61862502433,511
"2085/2086",2086,120,120,100,80.6773124613028,4896.58128679171,558
"2086/2087",2087,120,120,100,83.1151997759443,3958.33053303696,501
"2087/2088",2088,120,120,100,78.1957917653253,4793.2422578251,637
"2088/2089",2089,121,121,100,83.90616505461,4534.03745315876,504
"2089/2090",2090,120,120,100,83.7610457289575,3006.60978360847,570
"2090/2091",2091,120,120,100,80.4818677599724,4417.55406658072,677
"2091/2092",2092,120,120,100,84.271386425813,2981.26958796848,504
"2092/2093",2093,121,121,100,83.9607256894506,6047.1978712054,427
"2093/2094",2094,120,120,100,76.5331356413335,5928.04192418512,724
"2094/2095",2095,120,120,100,86.8944824067949,4014.52172781993,368
"2095/2096",2096,120,120,100,80.9993558418046,6783.57298098318,225
"2096/2097",2097,121,121,100,72.335600103288,7871.52314414084,433
"2097/2098",2098,120,120,100,79.0563659410818,4723.01504896581,678
"2098/2099",2099,120,120,100,83.9887148193829,4594.43783755042,452
"2099/2100",2100,120,120,100,86.7718877420157,4910.12701703329,198
"2100/2101",2101,120,120,100,81.8067268881859,5480.24401423894,478
