"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,82.7194455774125,6485.52476184221,387
"2002/2003",2003,120,120,100,83.9759698804199,2928.51657864157,664
"2003/2004",2004,120,120,100,88.2225565372216,4335.89622264134,273
"2004/2005",2005,121,121,100,86.237986961824,7221.56875975491,233
"2005/2006",2006,120,120,100,84.904674142965,4821.2450461273,417
"2006/2007",2007,120,120,100,85.6610086212203,4896.30113148072,376
"2007/2008",2008,120,120,100,84.4709006612638,2489.76520017663,530
"2008/2009",2009,121,121,100,83.6771719213755,6670.60855144809,320
"2009/2010",2010,120,120,100,89.2441550040919,4385.66374095122,183
"2010/2011",2011,120,120,100,87.140110095072,4269.38795122388,264
"2011/2012",2012,120,120,100,78.0729951416442,4649.12611220253,659
"2012/2013",2013,121,121,100,88.0232467447386,4028.57087809814,353
"2013/2014",2014,120,120,100,74.7338214572217,4118.05494249193,952
"2014/2015",2015,120,120,100,85.1888577156917,5471.89106438286,349
"2015/2016",2016,120,120,100,81.743766121831,5131.44900073938,473
"2016/2017",2017,121,121,100,80.3464612701041,6431.64886834763,413
"2017/2018",2018,120,120,100,80.2262955590563,4190.69309694762,577
"2018/2019",2019,120,120,100,84.4199652776342,4416.01075243787,437
"2019/2020",2020,120,120,100,83.340605216275,6858.36924832407,263
"2020/2021",2021,121,121,100,84.9057542927344,3215.34544302546,627
"2021/2022",2022,120,120,100,76.57631350571,6130.97834345093,521
"2022/2023",2023,120,120,100,88.422063630077,4449.15325906361,230
"2023/2024",2024,120,120,100,87.8561776265492,7132.87346757646,138
"2024/2025",2025,121,121,100,87.4308683138479,4306.08843648224,282
"2025/2026",2026,120,120,100,74.984946783009,2708.58139437484,1003
"2026/2027",2027,120,120,100,86.3436186637023,5859.78562283702,249
"2027/2028",2028,120,120,100,83.4009048720136,2225.50538989576,577
"2028/2029",2029,121,121,100,83.359517782802,5610.18992643105,399
"2029/2030",2030,120,120,100,84.2514270188231,4812.60748161073,470
"2030/2031",2031,120,120,100,85.8006571324613,4309.11910846038,449
"2031/2032",2032,120,120,100,87.6687713229812,5726.21104998863,280
"2032/2033",2033,121,121,100,84.3040332196906,2826.84212000482,686
"2033/2034",2034,120,120,100,78.8555776582198,4623.73648734437,581
"2034/2035",2035,120,120,100,79.4171419035447,5263.97119527264,497
"2035/2036",2036,120,120,100,84.9764777413666,4898.35824063979,418
"2036/2037",2037,121,121,100,83.589854313861,3178.89858276816,601
