"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,78.0480889559592,8099.82529554502,316
"2002/2003",2003,120,120,100,84.4085413930036,3977.16180067195,591
"2003/2004",2004,120,120,100,88.0637596752939,5456.25450367967,197
"2004/2005",2005,121,121,100,85.2795247115764,8467.22798295005,115
"2005/2006",2006,120,120,100,82.2132605634389,6099.12642611557,371
"2006/2007",2007,120,120,100,87.4990983236712,6068.77060153912,300
"2007/2008",2008,120,120,100,86.4592815746935,3318.8026814129,436
"2008/2009",2009,121,121,100,82.2192596647333,8093.22879847337,237
"2009/2010",2010,120,120,100,89.0057323961585,5525.3314475267,119
"2010/2011",2011,120,120,100,86.3471902908659,5370.92388635618,204
"2011/2012",2012,120,120,100,76.879483340482,5810.2860203794,572
"2012/2013",2013,121,121,100,89.538884307141,5096.6881470707,279
"2013/2014",2014,120,120,100,76.6802653136722,5090.10014661564,859
"2014/2015",2015,120,120,100,84.1900180622943,6777.68624175782,308
"2015/2016",2016,120,120,100,82.5641429736554,6305.18333161343,429
"2016/2017",2017,121,121,100,79.816104085276,7834.97061665915,349
"2017/2018",2018,120,120,100,82.7372776265011,5213.36764503713,500
"2018/2019",2019,120,120,100,85.3389558281156,5506.83095080638,316
"2019/2020",2020,120,120,100,83.4178767436852,8249.42697658669,214
"2020/2021",2021,121,121,100,83.5787884201131,4135.09594315663,510
"2021/2022",2022,120,120,100,78.0611931148974,7129.41551302839,393
"2022/2023",2023,120,120,100,87.839617867925,5669.29345094389,164
"2023/2024",2024,120,120,100,85.2639661859025,8587.74691032688,79
"2024/2025",2025,121,121,100,88.2343927731413,5486.48868440674,213
"2025/2026",2026,120,120,100,76.331731553687,3345.48761417996,871
"2026/2027",2027,120,120,100,86.1974349443199,7248.00836582133,196
"2027/2028",2028,120,120,100,85.793705592348,2872.65551091102,428
"2028/2029",2029,121,121,100,82.125824328049,6785.04982865765,327
