"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,76.817882378719,9596.14057280537,216
"2002/2003",2003,120,120,100,87.2930289637641,4799.5304472057,436
"2003/2004",2004,120,120,100,86.9723225602476,7242.14369962906,132
"2004/2005",2005,121,121,100,77.8409443977624,10798.2798376903,100
"2005/2006",2006,120,120,100,83.0406260204201,7628.72248562792,336
"2006/2007",2007,120,120,100,82.9652327765073,7676.48094061506,182
"2007/2008",2008,120,120,100,86.907264212281,4414.70405677601,372
"2008/2009",2009,121,121,100,79.2078699021854,9844.24659362447,171
"2009/2010",2010,120,120,100,89.1786313571608,7217.23932564084,50
"2010/2011",2011,120,120,100,85.9344194102962,7183.56161754916,185
"2011/2012",2012,120,120,100,76.9369168370056,6890.21678228339,408
"2012/2013",2013,121,121,100,88.1340827300155,6750.85752788698,232
"2013/2014",2014,120,120,100,75.6440130038645,6307.54095723841,665
"2014/2015",2015,120,120,100,81.2947846916456,8409.08663997159,222
"2015/2016",2016,120,120,100,80.5899991546314,7820.61568693654,330
"2016/2017",2017,121,121,100,80.5612206074015,9343.34202957898,246
"2017/2018",2018,120,120,100,81.2281187197505,6556.73833297961,375
"2018/2019",2019,120,120,100,83.4713812514019,7102.63087712554,232
"2019/2020",2020,120,120,100,82.3676168584498,10234.8729280026,158
"2020/2021",2021,121,121,100,84.6659630384579,5205.0031257472,365
"2021/2022",2022,120,120,100,74.3217634994453,8826.06923019025,339
"2022/2023",2023,120,120,100,87.5819515912485,7293.86959864595,128
"2023/2024",2024,120,120,100,79.6899291569443,10709.9752011653,36
"2024/2025",2025,121,121,100,85.9874582465504,6939.99792181398,139
"2025/2026",2026,120,120,100,77.821243731124,4346.80063375179,731
"2026/2027",2027,120,120,100,82.9646270776939,9023.93552710046,148
"2027/2028",2028,120,120,100,85.4069018845412,4040.64871726371,319
"2028/2029",2029,121,121,100,79.4713132566026,8376.14591862098,238
"2029/2030",2030,120,120,100,80.8895422954133,7296.33418073971,251
"2030/2031",2031,120,120,100,83.5085627049116,6746.15541827399,289
"2031/2032",2032,120,120,100,82.4538536865057,8931.0106651797,149
"2032/2033",2033,121,121,100,86.9320989905273,4826.38295304449,431
"2033/2034",2034,120,120,100,78.5639015975294,7039.73275631014,391
"2034/2035",2035,120,120,100,76.7019169947007,7844.63445886644,324
"2035/2036",2036,120,120,100,82.2484775369903,7785.49510738393,271
"2036/2037",2037,121,121,100,83.2907511459089,5336.71563460864,378
"2037/2038",2038,120,120,100,79.4537124601702,8508.42746514874,278
"2038/2039",2039,120,120,100,82.9442744754024,10669.1955160443,51
"2039/2040",2040,120,120,100,84.9011601157699,8048.86745614093,97
"2040/2041",2041,121,121,100,87.4944786230717,7943.52081850357,131
"2041/2042",2042,120,120,100,75.1624653182007,11256.9915973539,192
