"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,80.1462731617402,4533.44887711215,647
"2002/2003",2003,120,120,100,78.4870084576784,1543.63421890183,895
"2003/2004",2004,120,120,100,87.0167040365114,2442.35265794871,489
"2004/2005",2005,121,121,100,87.7274894777617,4515.7169675761,387
"2005/2006",2006,120,120,100,83.4948279947803,3003.57965611672,552
"2006/2007",2007,120,120,100,80.6449483583554,3161.90331952827,613
"2007/2008",2008,120,120,100,75.2528807831296,1360.67876772227,801
"2008/2009",2009,121,121,100,84.162654671587,4156.89891060104,463
"2009/2010",2010,120,120,100,86.209647370825,2307.22553004837,281
"2010/2011",2011,120,120,100,84.2831000709034,2426.15558755561,459
"2011/2012",2012,120,120,100,73.4794565802729,3067.42847172369,912
"2012/2013",2013,121,121,100,85.6217679076567,2402.51873180899,542
"2013/2014",2014,120,120,100,71.130080814956,3107.32010508771,1214
"2014/2015",2015,120,120,100,79.3013252544411,3806.38086923596,524
"2015/2016",2016,120,120,100,79.3034487039404,3371.68685669242,703
"2016/2017",2017,121,121,100,80.4640792781011,4571.21850511094,690
"2017/2018",2018,120,120,100,74.6693711095527,2908.9610541549,826
"2018/2019",2019,120,120,100,82.0390792546841,2856.81606746954,645
"2019/2020",2020,120,120,100,85.8893133142492,4352.09781319555,422
"2020/2021",2021,121,121,100,80.7057675828823,1887.34584905021,919
"2021/2022",2022,120,120,100,73.7888852428591,4816.76436697948,787
"2022/2023",2023,120,120,100,85.8860164075645,2803.26348039112,433
"2023/2024",2024,120,120,100,85.4220780003452,4771.58906152588,277
"2024/2025",2025,121,121,100,85.2350813534276,2366.97629660112,520
"2025/2026",2026,120,120,100,70.4337378947112,1688.7748483438,1273
"2026/2027",2027,120,120,100,86.0767769433251,3767.00102395657,434
"2027/2028",2028,120,120,100,78.4518181715421,1094.12620457564,895
"2028/2029",2029,121,121,100,80.5623737889155,3926.98369749077,636
"2029/2030",2030,120,120,100,81.4950521996034,3204.699953818,763
"2030/2031",2031,120,120,100,83.9555024873334,2655.94361048657,656
"2031/2032",2032,120,120,100,86.4525444244464,3522.99776001484,459
"2032/2033",2033,121,121,100,77.2008765970331,1551.80454371916,913
"2033/2034",2034,120,120,100,73.4228582241949,3364.23201827914,861
"2034/2035",2035,120,120,100,74.795452726541,3898.64457222051,814
"2035/2036",2036,120,120,100,82.4370041831544,3207.41234143544,671
"2036/2037",2037,121,121,100,78.5678441018999,1972.00584086217,928
"2037/2038",2038,120,120,100,82.6867253942692,3578.89220736967,547
"2038/2039",2039,120,120,100,89.905938047059,4479.83015428111,291
"2039/2040",2040,120,120,100,83.9542084684672,3627.91556387348,444
