"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,41.9457517581876,204.994718572566,69.9142509413333,51.8853517624069,90.7556328430166,1870.34892299689,1668.5,1609.28255445838,1724,1672.5,1374,1649,82.7373773118748
"2002/2003",2003,120,120,100,50.591450274982,222.376240678049,79.5761394711598,67.2485686954818,99.8074715297699,1893.958644781,1643,1461.20962782357,1773.5,1595,1623,1588.5,82.0686370847686
"2003/2004",2004,120,120,100,58.2591565262503,263.358936194936,68.0082835595713,68.3591248264588,96.0048977208171,2108.25863308245,1859,1770.85365839114,1949,1887,1614,1880,87.7670208737499
"2004/2005",2005,121,121,100,46.4654303513879,219.738130092278,63.5644033426977,57.1399638285152,91.5706113372697,1928.19496405034,1769,1671.67815083786,1779.5,1778,1385,1737.5,85.8242342669452
"2005/2006",2006,120,120,100,48.7699805028227,223.586719191114,72.4800965157713,56.3450446778965,92.011037086388,1954.56519009112,1816,1701.41547473568,1839.5,1798,1520,1791.5,84.9976760066718
"2006/2007",2007,120,120,100,49.3032180407867,269.374037161639,68.4949133507034,62.4031078668299,95.758599808688,1935.83859620482,1704.5,1568.67831016348,1816,1662.5,1511,1654,83.6107082915146
"2007/2008",2008,120,120,100,56.4647874383391,240.055103262059,80.8589667381607,69.7082741343872,99.4793645056665,2009.88040808664,1746.5,1511.1567312713,1898.5,1679,1774,1677.5,80.5713826350549
"2008/2009",2009,121,121,100,46.6714429737138,242.459061558783,66.2093379411274,55.1547602857421,91.6517947432841,1936.22707292488,1754,1635.15509942903,1783.5,1782,1437,1733,84.4977249660096
"2009/2010",2010,120,120,100,58.8675083651577,258.397828334602,68.5579340539074,68.6832922670491,95.5193336281378,2209.24687514557,2004,1832.91058152322,2039,1991,1727,1982,87.4685688982624
"2010/2011",2011,120,120,100,56.8633679548215,253.444769177696,70.7295790101713,65.0172723477334,94.49827083592,2117.28871782291,1931.5,1805.33480915693,1991,1934.5,1659,1929,84.8086925989528
"2011/2012",2012,120,120,100,41.4489666931255,185.716505622192,79.2410602865674,55.7931542596529,96.0323489992003,1725.71472226018,1476.5,1336.28410589332,1589,1447.5,1364,1425.5,75.9342556571448
"2012/2013",2013,121,121,100,57.218116723282,263.08584386732,71.6863134581139,68.1279700671884,96.8162849075982,2087.41896107318,1895.5,1740.49665063062,1952.5,1882.5,1679,1874.5,86.9838196426244
"2013/2014",2014,120,120,100,32.5781351523644,148.001579424302,84.2222414700937,50.2775436715507,96.4243576917517,1493.54983423933,1263,1180.55592344835,1385,1234,1086,1221.5,75.9281558272776
"2014/2015",2015,120,120,100,50.1410225186659,221.377935449734,70.3571810475658,60.2723056183375,93.4989806355707,1989.33929024846,1822,1661.06921713441,1872.5,1805.5,1590,1782,83.9954125257491
"2015/2016",2016,120,120,100,42.9423137363686,190.245159272204,73.0608375936358,55.6686813982704,94.3634434749919,1830.10142517673,1647.5,1512.26664807467,1740,1614.5,1437,1608.5,80.8076337236225
"2016/2017",2017,121,121,100,44.116862195206,221.838407026293,69.0421835118515,57.3426858022543,94.0016300782073,1848.14712789236,1629,1494.56631219942,1720.5,1610,1452,1560.5,81.7500586588767
"2017/2018",2018,120,120,100,48.1362339932617,209.314937430955,79.272025812664,62.7491972199706,96.0964678309563,1818.62910401972,1571,1419.29641341895,1691.5,1531,1480,1519,78.4962437514328
"2018/2019",2019,120,120,100,47.2652344253714,188.372470715487,74.8892600053178,61.7761549916485,96.3159643671207,1945.8496263591,1676,1594.12184915118,1793.5,1670,1514,1656.5,83.4445579885814
"2019/2020",2020,120,120,100,44.041624222873,210.068606072147,64.3265049260602,53.7967628880958,90.9768928399381,1946.11387306833,1806,1710.88488405761,1808,1818.5,1427,1782.5,84.831112311449
"2020/2021",2021,121,121,100,51.8683095586687,228.037224147294,77.7465228275633,69.4533833301484,100.82702987176,1843.87569341676,1565.5,1397.75671057429,1712.5,1503,1519,1499,83.7726177721638
"2021/2022",2022,120,120,100,43.8629120306903,183.974986177872,74.3406021933094,55.8842056680638,92.9205012159255,1738.90612818451,1506.5,1334.45370180881,1565.5,1505.5,1351,1433.5,76.4163221662802
"2022/2023",2023,120,120,100,55.7818254806613,216.391719615507,70.1638105599118,67.0428873999348,95.87074482908,2173.64862400571,2026,1834.63910323415,2039.5,1991.5,1764,1989,88.3626673537683
"2023/2024",2024,120,120,100,49.8627443713277,248.058089043859,61.566676432088,57.6639468706131,90.489144995241,2067.19312949061,1921,1789.93131477102,1924,1914.5,1555,1867.5,86.4392287559085
"2024/2025",2025,121,121,100,55.7746029489299,243.119440167952,72.9961232018147,68.823912956267,97.3630594991485,2117.83893913872,1880,1720.08760752244,1986.5,1828,1760,1821,85.7627989332473
"2025/2026",2026,120,120,100,36.2446111932466,186.223553744103,90.218368102523,51.9144600644593,98.2122392786916,1501.8820097901,1204,1049.40158539097,1383,1130,1244,1126.5,72.440648741494
"2026/2027",2027,120,120,100,46.7650982548679,239.548535923804,65.3690922908762,59.184494376155,93.5634654492846,1999.48832499604,1807.5,1734.38461297462,1860.5,1819,1491,1808.5,87.6424137642907
"2027/2028",2028,120,120,100,53.0863736055296,199.394499374824,83.679290588374,70.1401203943679,100.752262957931,1932.46485140148,1618.5,1419.05449807165,1790,1546,1690,1545.5,80.494892493311
"2028/2029",2029,121,121,100,46.9682982079433,242.361438680333,70.0889846191524,61.4785079523489,95.864317823888,1864.42027361956,1632.5,1472.59633410491,1742.5,1578,1505,1557.5,83.4596780765924
"2029/2030",2030,120,120,100,46.6532539943731,220.297816152467,74.0297564941649,60.8822281150551,96.2691558685544,1895.138281133,1656.5,1514.02790281249,1755.5,1627,1444,1607,82.5346263941292
"2030/2031",2031,120,120,100,57.5666297489283,275.599958118253,70.5376305561305,68.6407783710893,96.2434336757445,1975.38649170772,1754.5,1618.25932718166,1830.5,1737,1597,1728,83.5338397501628
"2031/2032",2032,120,120,100,49.5060344866509,245.391854087762,65.0122033597725,60.2667878177202,92.9452983202743,1981.74493808513,1840.5,1734.45562090891,1872,1830,1481,1819,86.7975344348124
"2032/2033",2033,121,121,100,50.1520218362722,206.662115500247,81.6671755274793,66.1108968399056,100.557031087214,1870.46264967333,1611.5,1445.09019391735,1729,1539,1540,1539,81.3811467497353
"2033/2034",2034,120,120,100,44.2278408084533,219.047566695388,78.0117262850379,59.3689824429173,95.63905465375,1762.20400321945,1538,1325.69280811245,1643,1471.5,1432,1440.5,77.2620450660243
"2034/2035",2035,120,120,100,44.2113595414073,191.032827930849,75.981599033738,57.2168974341081,95.0015792014325,1793.45268746924,1545.5,1398.41396556748,1658,1528,1414,1490.5,78.1478138223438
"2035/2036",2036,120,120,100,47.3219393770401,213.255955501407,73.5132671551841,58.6978581154864,93.9575751083028,1916.14507583526,1687.5,1633.69021975048,1763.5,1709,1438,1700,84.3762129644429
"2036/2037",2037,121,121,100,45.8493665890731,206.941705515517,79.8187801220369,64.0389508364248,99.6137563959192,1862.29119335895,1563.5,1410.61090361579,1730.5,1518.5,1563,1505.5,82.9662356988865
"2037/2038",2038,120,120,100,47.797589418245,203.435129124081,71.7892104478809,56.7405505592367,92.6102252348024,1912.62652623164,1769.5,1646.70336146521,1797.5,1747,1469,1736,83.0829188595681
"2038/2039",2039,120,120,100,41.4167257901755,216.839661443232,62.8549862291075,50.655019487095,89.8593158722435,2072.00279883579,1978.5,1920.66510602371,1958.5,1983.5,1486,1974.5,89.7251262731825
"2039/2040",2040,120,120,100,59.3810229596474,248.017701132868,67.6813381113307,69.2310322453855,95.2329623145722,2120.0877639548,1893,1719.05350393191,1957.5,1884,1693,1858,86.4303749374585
"2040/2041",2041,121,121,100,55.2165225816668,247.809151529774,68.5798352639874,65.9784378956535,95.9086050771333,2155.09535726998,1974.5,1804.34916558637,2021.5,1948.5,1729,1942,89.1073657077941
"2041/2042",2042,120,120,100,38.8104501225309,148.626227988328,70.2094278952024,45.5100960270839,86.7872861224223,1924.66225959995,1818.5,1801.75575150188,1758.5,1863,1253,1833.5,85.6643864512052
"2042/2043",2043,120,120,100,55.0582978013383,239.892237902983,78.0513447352682,73.8975883780276,101.888537205646,1937.05541507204,1593,1390.77842216774,1815.5,1509,1674,1506,83.9395814612462
"2043/2044",2044,120,120,100,54.7169680913041,250.899761043077,67.6782284410641,62.469914639499,93.8090018673209,2132.54540022265,1957,1826.95837419009,1992,1938.5,1701,1922.5,87.3926545514823
"2044/2045",2045,121,121,100,51.4237100440823,221.192837508338,84.7344463981806,64.5658497497605,98.672395210885,1857.18550273014,1610.5,1437.40289473139,1732,1556,1581,1552,81.3543816537649
"2045/2046",2046,120,120,100,47.1308361825572,227.368675321899,72.7930988469062,60.6801032124386,95.3179230757198,1842.77342879778,1591,1418.91683666604,1685.5,1575.5,1510,1525,79.3664339263214
"2046/2047",2047,120,120,100,44.7027560375528,203.445698964256,81.78275249096,53.5662758188808,92.257353513334,1825.03584547827,1670.5,1534.98837077277,1700,1659.5,1420,1646,80.5555013939502
"2047/2048",2048,120,120,100,57.4436305498362,226.025463058526,74.1904434016792,70.8771472528525,98.6349812177063,2119.80194096974,1876,1699.21375374217,1975.5,1830.5,1740,1829,87.0285454722398
"2048/2049",2049,121,121,100,54.7387538103446,246.141248521711,75.4569768854693,71.4656027920279,101.508155983994,1979.61179929203,1692.5,1537.74178335132,1831,1658.5,1622,1658,84.5840501594976
"2049/2050",2050,120,120,100,60.9424285006592,253.410493772982,80.5964809515658,79.3170598847939,103.341915756479,1976.45487367944,1609.5,1378.64515430872,1840.5,1515.5,1786,1515.5,82.7534688552787
"2050/2051",2051,120,120,100,50.6972118416494,225.047992262434,71.9861418885228,65.4139782065691,96.4088196433743,1854.02765531297,1580.5,1382.3247446893,1729.5,1491,1497,1467.5,82.2301535196139
"2051/2052",2052,120,120,100,47.539134661513,224.410525740588,70.3190322226525,55.4849247305664,89.6160143861936,1945.88912922028,1794,1651.65026839192,1803,1797,1479,1756,81.9218780909487
"2052/2053",2053,121,121,100,47.1274079372358,209.510663707425,70.5043071421202,57.2677342399548,92.3452461603422,2011.76571022862,1850.5,1741.70388935107,1879,1842.5,1548,1824,85.1647309477203
"2053/2054",2054,120,120,100,44.8409195620305,208.911431939902,66.695780028902,56.6498247302095,92.784380685317,2022.09818302671,1850,1730.54159292825,1880.5,1834.5,1529,1817.5,86.5331484787339
"2054/2055",2055,120,120,100,52.3114456020495,225.568041217278,72.4420434221296,64.8290740464053,96.504357349251,2037.27783236714,1813.5,1675.95477212688,1880,1797.5,1590,1794.5,84.6526884481473
"2055/2056",2056,120,120,100,52.8131233135976,222.281223034529,70.1379057577117,67.0810206747035,94.5425862102911,1939.84899059121,1614.5,1374.2063192019,1718.5,1625,1648,1516,78.3460461820268
"2056/2057",2057,121,121,100,44.3311407680295,205.098625976325,79.4076899051407,57.46523816111,96.87195313286,1890.76778019444,1667.5,1524.78478157494,1761.5,1643,1517,1636.5,78.9735590383916
"2057/2058",2058,120,120,100,61.2094416078559,257.942101205682,67.2351514149352,70.3399795838584,94.959708161933,2139.98812634108,1952.5,1803.73154928721,2008.5,1930,1688,1914,86.5867638813797
"2058/2059",2059,120,120,100,52.3503783598933,237.356052308423,79.9121246733092,69.8887578150627,99.4629244335804,1871.6455306178,1569,1388.53587576941,1749.5,1508.5,1560,1504.5,80.1406577529142
"2059/2060",2060,120,120,100,42.4922287103361,197.471466008145,71.3573163044339,50.0843567317658,90.0108837601223,1804.7616637871,1649,1563.19961864439,1659,1655,1335,1625,79.9525333774927
"2060/2061",2061,121,121,100,43.7046901433221,215.848674898375,65.1650851454211,52.6527344030311,90.4388331743778,1810.65993005954,1640.5,1534.31326122534,1664.5,1650,1296,1593,81.0502285434432
"2061/2062",2062,120,120,100,47.2510541695083,202.925613624882,84.6997562482366,66.8229371828189,100.133949148522,1912.87506649282,1599.5,1381.82282662443,1782,1531.5,1682,1527.5,77.9027306041553
"2062/2063",2063,120,120,100,56.4830704967086,256.898015842561,75.6705211337687,72.27495047527,100.260454526265,2026.52334914755,1739.5,1480.4655442982,1907.5,1651.5,1784,1641,83.9154646265415
"2063/2064",2064,120,120,100,39.6714128237613,181.684953493216,76.7451167420858,56.6889266025238,95.7862034283617,1758.32376562973,1532.5,1437.99270323539,1641.5,1505,1335,1489,81.7848379626685
