"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,39.4146814178994,182.762562885634,70.667107005912,49.3248413912756,89.9408828119897,1834.42999888723,1638.5,1600.91435071295,1687.5,1642.5,1305,1619.5,81.4624881083092
"2002/2003",2003,120,120,100,48.6648345949846,207.815787020088,80.2117426405342,64.7843313998189,99.0994318712354,1902.75554859163,1654,1492.1782464624,1777.5,1608.5,1595,1602,82.4445805205511
"2003/2004",2004,120,120,100,59.0732005510526,254.194610278565,68.3605194823654,68.4046601775417,95.6319887174397,2149.13613474283,1911,1824.93222193428,1980,1942.5,1639,1938.5,89.0324401405256
"2004/2005",2005,121,121,100,47.1495321002601,210.833316251005,63.7979510097654,57.338453705563,91.3602458466883,1971.83449288861,1812.5,1734.65634446583,1834,1820.5,1405,1787.5,85.7970086202802
"2005/2006",2006,120,120,100,47.9409782502422,209.221153540659,72.9806489227456,55.7940279998837,91.8012476442478,1954.65133359745,1832,1715.27045167913,1849.5,1804.5,1537,1798.5,83.3527513091037
"2006/2007",2007,120,120,100,48.5679087884503,255.842908484918,69.0115339558944,61.3327938303176,95.2341904448439,1953.81176294967,1734,1607.30472738985,1841,1694,1533,1687.5,84.0568834152518
"2007/2008",2008,120,120,100,54.9210791919528,224.384934308102,81.3012635192694,68.5203954481762,99.3418100051839,2032.21065374561,1778.5,1541.89827014238,1915.5,1713.5,1772,1712,82.7840358995844
"2008/2009",2009,121,121,100,45.2283093340006,226.328561443266,66.6236918873074,53.6334624635101,91.1643398673722,1962.93393403129,1798.5,1689.28136946978,1821,1820,1423,1780.5,85.0907138936373
"2009/2010",2010,120,120,100,58.9762240486923,245.443131424188,68.8753623938963,68.1904580421499,95.1423881266395,2258.91188288716,2075.5,1901.29830750166,2091,2075.5,1774,2069,87.6792173074166
"2010/2011",2011,120,120,100,56.0519468373603,238.355086185346,70.9514774905995,64.7779441084911,94.406182804766,2142.77247637598,1963,1844.08809636992,2020,1974,1661,1968.5,85.5178197304333
