"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,40.3260505449115,189.455524656035,70.788213849362,50.7930419969596,90.464163989918,1825.95023981919,1620.5,1565.11155644575,1681.5,1620,1327,1590.5,81.7154777978845
"2002/2003",2003,120,120,100,49.3107836902469,213.918274593391,80.1816637502037,66.7269553479436,99.8369645802994,1901.77462231933,1634,1472.90071152267,1779,1610.5,1625,1605,81.3749184810057
"2003/2004",2004,120,120,100,55.276029485389,249.4760028846,68.6858198042981,66.20265196645,95.7239540504693,2094.22553433417,1842,1772.62318531873,1927,1877,1581,1872.5,88.1358523065721
"2004/2005",2005,121,121,100,43.6826677451873,204.682437540654,64.2509284763285,54.7564030418525,91.2550006423888,1901.16554924752,1738.5,1664.23689412757,1760.5,1746,1335,1708,85.7083043103457
"2005/2006",2006,120,120,100,47.2457828914049,211.446505313665,73.5328602431107,54.7855797026784,91.2803117529123,1938.77030476662,1814,1702.7442332166,1829,1792.5,1511,1786.5,83.5664671765633
"2006/2007",2007,120,120,100,47.3075357597185,251.535346226403,69.2595422820199,60.8079090144139,95.5458859820712,1899.38584560831,1667,1538.32613074891,1794,1613,1482,1604,82.4305918319377
"2007/2008",2008,120,120,100,55.3308675713889,228.338705529734,81.6077824971301,68.7513614219368,99.1973584757515,2007.06170497877,1751,1519.1555360048,1902.5,1688,1774,1687.5,81.4467244136063
"2008/2009",2009,121,121,100,47.0440585585255,233.911531507423,66.9785926253636,54.5201245752049,91.1091100477444,1932.21969655139,1773,1647.8236206073,1782,1782.5,1423,1737.5,84.9417070476507
"2009/2010",2010,120,120,100,57.1838503559382,246.334879530154,69.1873659428575,67.2152920469529,95.2349531489214,2209.07824260123,2004.5,1843.44850395422,2038.5,2002,1715,1995,87.9834014078592
"2010/2011",2011,120,120,100,54.6377624938819,239.152693293559,71.5649612187043,62.4182220465095,93.9244390855954,2093.00793297325,1929.5,1809.451908882,1965,1932.5,1619,1927,84.4839972588049
"2011/2012",2012,120,120,100,41.2310099982709,175.67419383824,80.0092866344401,55.3936692937654,95.5728026701784,1720.82422723529,1476,1335.12045142853,1588,1461,1345,1434,75.3758667606389
"2012/2013",2013,121,121,100,53.5517186111334,245.314976703633,72.584290067525,65.0339562115518,96.3847604251842,2059.13432679453,1882,1731.08519847857,1923.5,1853.5,1639,1845.5,87.2303089564982
"2013/2014",2014,120,120,100,31.2224815797728,138.661210574134,85.4914680214084,49.0139816949438,95.617349515745,1440.30080754915,1217,1130.20139520541,1333.5,1178.5,1055,1163.5,72.7802629560613
"2014/2015",2015,120,120,100,48.9868647857861,207.025983355655,71.1867386772652,59.3507236410849,93.2729095618072,1954.35122827178,1775,1611.31052075891,1823,1751.5,1558,1722,82.3414505187479
"2015/2016",2016,120,120,100,42.7843048651031,180.35977630437,73.9047133690333,54.891663083408,93.9473344421052,1813.88208900647,1636,1487.17705805447,1731.5,1601.5,1445,1591.5,80.5848864261698
"2016/2017",2017,121,121,100,44.2877596221485,211.677541098423,69.7855779779379,57.2721170044468,93.7572275278113,1828.08075668869,1606,1463.25113600781,1680.5,1580.5,1430,1522.5,79.108954963589
"2017/2018",2018,120,120,100,46.0025389239149,193.266528080965,80.3197516084627,61.2722305785952,95.6805100680739,1784.89836172885,1541.5,1388.96409841687,1655.5,1508,1417,1493.5,77.5144349632928
"2018/2019",2019,120,120,100,45.1150299060091,177.337719855375,75.6182425003577,59.8867040525639,96.0896093265029,1903.4624862817,1638.5,1556.1459231649,1775.5,1619,1483,1604.5,82.6365934307551
"2019/2020",2020,120,120,100,43.5797706767418,199.387346026827,64.9181684903759,53.793810045921,90.8275300967664,1940.3925436947,1781.5,1699.88362724684,1789.5,1809,1441,1767,84.3889035800444
"2020/2021",2021,121,121,100,50.3077319259977,216.183966099973,78.5943266760249,67.9363084339419,100.617235282276,1825.61340339553,1542.5,1382.68915412669,1685.5,1487.5,1487,1484,82.0776030401212
"2021/2022",2022,120,120,100,41.865437531589,170.744825005111,75.4683656107197,53.4078567285628,91.8928422288938,1683.19399928661,1459.5,1281.32692710948,1512,1471,1321,1389.5,74.6831673393617
"2022/2023",2023,120,120,100,52.8953486245183,196.719081719002,70.9375436110281,64.3784385639429,95.3066268382637,2136.02745530849,1988.5,1812.5329750106,1999.5,1957.5,1696,1954.5,87.7286982766959
"2023/2024",2024,120,120,100,47.7601902854547,230.12535321403,62.1959572451272,56.8596984412156,90.3130580229043,2031.61389010072,1880,1766.11325990387,1903.5,1877.5,1509,1837,86.0449363661428
