"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,38.1852772640147,194.176627167621,71.9240308792568,50.1418759952933,91.1634271739307,1753.25039743442,1521,1482.00529778347,1611.5,1542,1258,1512,80.6807663732985
"2002/2003",2003,120,120,100,47.6201749395416,218.701809896377,81.3194751451917,65.1086556245389,100.20817109637,1833.79993954517,1578,1397.3192961745,1721.5,1538.5,1548,1533,80.7571735298505
"2003/2004",2004,120,120,100,56.2928884649804,263.506939228223,69.431285480096,67.9554705327952,97.2493395968312,2057.54267362104,1810,1694.00435878401,1909,1823,1588,1819,86.3726702116816
"2004/2005",2005,121,121,100,43.3329476838782,220.318870066872,64.9411344652241,55.5552679997217,92.7388556596975,1903.06139007546,1717.5,1641.39031023206,1745,1725,1363,1693,86.1997998990303
"2005/2006",2006,120,120,100,47.8582073055746,221.899635526663,74.5087505680688,56.2471953280894,91.8424404548061,1899.19203534248,1741.5,1621.99373615184,1794.5,1707.5,1507,1701.5,83.4356789091282
"2006/2007",2007,120,120,100,47.2710528808299,257.674586202791,70.1225960548588,61.9465830137606,96.7744845011764,1817.73549548,1559,1438.59150145818,1705,1501,1410,1490.5,80.3322362381631
"2007/2008",2008,120,120,100,54.0351865946758,238.648081997127,82.8297579641253,69.8390976093875,100.238096284915,1930.21448607683,1622,1398.43577695822,1821,1541.5,1729,1541,80.7327110373805
"2008/2009",2009,121,121,100,48.3716923531874,251.699905818258,67.9396080081989,55.4990094383267,91.8804114485993,1909.49425816579,1737.5,1600.32996873485,1763,1736.5,1450,1694.5,84.8445186885851
"2009/2010",2010,120,120,100,58.9642249417097,261.840138223559,70.159968380974,69.2869424567674,96.5418507739526,2171.56897475488,1944,1757.75476375493,2012.5,1908.5,1761,1902,86.3774932799722
"2010/2011",2011,120,120,100,55.7679384398998,253.82980273433,72.5655605877683,64.5849819846355,95.2309751035189,2055.52046047218,1860.5,1729.29264983062,1934,1849,1632,1843.5,83.0991146708091
"2011/2012",2012,120,120,100,40.5756451410622,181.013038161636,81.4799988128741,54.6181510744982,95.6141360296587,1655.76399662669,1416.5,1271.61861617715,1524,1392.5,1299,1365,74.5970713548122
"2012/2013",2013,121,121,100,53.3606046823132,252.367572447163,73.4724598305409,66.4067593278437,97.5104907871478,2007.58795918246,1805,1647.37007245602,1878.5,1778,1620,1769.5,85.7953684380684
"2013/2014",2014,120,120,100,28.2532634178928,133.948222740256,86.8829504859228,45.7528165397283,95.1061107105265,1367.46962092339,1139,1077.94465300408,1260,1107.5,1012,1092.5,71.839458299394
"2014/2015",2015,120,120,100,49.3737205679186,218.749531506623,72.3506136896726,60.1450208753928,94.0407746042275,1900.12278919568,1695.5,1528.0025128393,1776,1665.5,1546,1636,81.2962656580391
"2015/2016",2016,120,120,100,42.4358827117155,188.649201613974,74.9008906282827,55.03096046676,94.3428593701143,1763.28583480058,1576.5,1418.48514026403,1678,1516,1415,1507,78.5085391504208
