"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,37.6286776692769,178.785592320846,68.7145270129161,47.2404149341353,88.7210752389063,1789.52493768443,1608,1560.11720768352,1637,1602,1235,1566,80.7421802741915
"2002/2003",2003,120,120,100,48.5206299411066,215.58509364816,77.800390114269,64.5623450889739,98.549574218143,1924.05401662414,1678,1537.60014208922,1796.5,1650,1609,1643.5,83.5245264387836
"2003/2004",2004,120,120,100,54.9108303216156,254.17250655376,66.4666982166527,64.3957314638078,94.1292843317183,2104.16567130543,1873,1819.75739815368,1939.5,1906,1568,1898.5,87.3180635936865
"2004/2005",2005,121,121,100,44.0107655242524,208.525578349335,62.0976722578116,53.7484655703943,89.7229299650994,1909.52489628396,1756,1688.749997619,1759,1777.5,1314,1731.5,84.2342750926468
"2005/2006",2006,120,120,100,44.9224754628238,204.210772339596,71.20999560542,51.3005977143241,90.0196085696504,1910.57709458924,1819.5,1715.52436862129,1803.5,1800,1447,1791,82.732730081043
"2006/2007",2007,120,120,100,46.271141652188,255.154869369492,67.0787979335385,59.1108620329635,94.1783964315208,1915.96552234961,1710,1578.96683573914,1819,1664.5,1481,1651,84.053016012419
"2007/2008",2008,120,120,100,54.734655018514,228.997638456333,79.1047380934914,66.934186831605,98.254546198125,2044.8227733988,1827,1592.00284263607,1938.5,1741.5,1767,1740,82.3338359082732
"2008/2009",2009,121,121,100,42.9220421629721,224.900242463319,64.862401428227,50.43585397905,89.4772922322917,1916.24089345585,1768.5,1666.48726903248,1771,1793,1369,1735,82.9816942432765
"2009/2010",2010,120,120,100,55.3120997630952,244.320209291694,66.9985785801142,64.485852497745,93.6714473064583,2218.62058141204,2050,1908.71203586793,2051.5,2062,1684,2054,88.180692187291
"2010/2011",2011,120,120,100,52.1902982560345,235.502612091357,69.1805831437923,59.243575705605,92.6562202577083,2090.51954939941,1941,1847.60065637967,1966.5,1951,1567,1944,85.8049123039593
"2011/2012",2012,120,120,100,40.9349258223768,175.905197501284,77.7349008689468,53.6786466725655,94.2209091181458,1729.82145353615,1486.5,1364.11798885157,1592.5,1474.5,1347,1440.5,76.947380531102
"2012/2013",2013,121,121,100,53.4086030888629,246.341158831479,70.2083622504239,63.4817014302985,94.9193523366042,2065.76501515479,1888,1776.40813823439,1915,1898,1591,1888.5,87.5782398542613
"2013/2014",2014,120,120,100,31.0444225228654,141.491977962683,82.7835838673563,48.7610439843485,94.8987964293969,1452.68844817404,1257,1155.23732998507,1364,1197.5,1062,1179.5,72.6096226825864
"2014/2015",2015,120,120,100,47.7360895159278,202.720626029103,69.0323060643972,56.64192029273,91.38112151125,1952.62070606816,1813.5,1655.74945260723,1812.5,1794.5,1494,1758.5,81.7453998250112
"2015/2016",2016,120,120,100,41.2006029252176,179.934411758001,71.5726988974482,53.4538562543085,92.8678288921458,1811.87011116467,1678.5,1520.1888444446,1725.5,1639,1409,1624,79.3460658528325
"2016/2017",2017,121,121,100,42.0610754972496,208.552863941219,67.6494856855844,54.603088117665,92.2241188333333,1823.96029734769,1615,1482.40704382966,1675,1602.5,1420,1535,79.3560260819977
"2017/2018",2018,120,120,100,47.2071464454433,196.598917826999,77.8059442804942,61.058317397525,94.613728504375,1800.97666809944,1575.5,1421.94962494331,1669.5,1534.5,1421,1512,78.3723405233936
"2018/2019",2019,120,120,100,46.0699414472085,182.433182696861,73.2953732431693,59.56869689947,94.7742454695833,1929.00950722628,1691,1606.26421552505,1788.5,1668.5,1476,1650.5,84.5836351269286
"2019/2020",2020,120,120,100,42.2676271933498,193.027669154953,62.8607167500809,51.5591239537,89.34273105,1930.70199023069,1782.5,1721.63344580259,1764.5,1821,1351,1771.5,83.4385658114325
"2020/2021",2021,121,121,100,51.9894669899836,224.414110347804,76.2083211166003,67.93460190808,99.158710145,1861.38042913789,1589.5,1453.42889003396,1724,1556.5,1479,1550.5,82.5053428884839
"2021/2022",2022,120,120,100,41.1165809027094,172.007138099996,73.0435444673653,53.2482474318635,91.2891063569375,1695.84784649589,1465,1296.44838178152,1528.5,1487,1309,1391,73.9835859020359
"2022/2023",2023,120,120,100,52.1671011803366,193.323173128075,68.7375890061814,62.924828110875,93.9644140152083,2124.30505952836,1994.5,1836.36176977274,1977.5,1977.5,1625,1972.5,87.7907517176886
