"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,34.2655435422466,142.476349186564,64.6007794364273,41.166461928025,84.851990602358,1761.29961600154,1644,1613.37829851793,1616.5,1675,1097,1620.5,78.5537598346843
"2002/2003",2003,120,120,100,46.7574308527841,193.46683176373,73.3968531890067,59.7182752094823,95.2838592692194,1995.40806608977,1774.5,1689.61895135646,1814.5,1789,1477,1776,86.3328790585097
"2003/2004",2004,120,120,100,49.2970870113453,217.737788183679,62.7337745224214,54.1901399703777,89.2605594550768,2088.10039385394,1951.5,1947.38306209713,1948.5,1985,1432,1968,87.871635651327
"2004/2005",2005,121,121,100,42.7260855271487,183.074729177388,58.532707625059,47.5258144799546,84.6919393023225,1843.15754069587,1754.5,1706.47660116107,1703,1790.5,1194,1720,83.4392648257022
"2005/2006",2006,120,120,100,39.3114697364474,159.72655703501,66.7760856632337,44.169364023322,86.7790166923878,1870.86344760869,1823,1795.50443060053,1758.5,1858,1239,1844.5,82.8555930112483
"2006/2007",2007,120,120,100,41.6791654528088,222.523283240818,63.3831451915803,50.8643877051598,89.7280979839368,1948.79800509264,1841.5,1729.07628503371,1869.5,1807.5,1436,1788,84.4398351461116
"2007/2008",2008,120,120,100,48.96821571621,193.048945525425,74.4006792134127,59.2852533444401,94.8391722321897,2102.59532052137,1932.5,1804.11582697508,1963.5,1936,1666,1929.5,86.7848491064029
"2008/2009",2009,121,121,100,36.1868243200653,182.778115465229,61.0212457547714,43.5334577744288,85.5032080301066,1860.19655606525,1727.5,1708.51839951455,1692,1802,1242,1728.5,83.2963655088722
"2009/2010",2010,120,120,100,47.6417953327212,200.071501211654,63.0169160565447,53.0161488731986,88.7987902389679,2169.50130971694,2066,2047.67308628799,2029.5,2125,1497,2110,89.2977404736205
"2010/2011",2011,120,120,100,44.7489863468796,186.51120686296,64.9808622465462,50.1253923802418,88.5041455998838,2060.41691242062,1973,1967.28331658984,1917,2015.5,1400,2003.5,87.7069825922738
"2011/2012",2012,120,120,100,39.8157473977476,157.521979567693,72.8524315262317,51.6934270453903,91.6881587697659,1799.0340622887,1577,1477.87320267339,1650,1584,1327,1540.5,78.3633275796415
"2012/2013",2013,121,121,100,49.4650867117226,215.398249007138,66.0289578114178,55.4194328453648,90.5693491994562,2073.20153216023,1952,1920.72529420023,1916.5,2011,1426,1995.5,89.3259193720419
"2013/2014",2014,120,120,100,35.4177679290055,147.145706163931,77.5229973989842,52.4355563254471,93.6114769763237,1563.47634099059,1363,1249.0521749504,1481.5,1300.5,1190,1276.5,75.6103538460072
"2014/2015",2015,120,120,100,41.7753315439245,164.818963353178,64.9323766348749,48.6644785453,87.4445252833333,1924.86843082752,1809.5,1753.73693175055,1754,1859.5,1309,1814,84.1517125586904
"2015/2016",2016,120,120,100,37.8529254228243,155.597414124695,67.2535951091153,50.12115540875,90.2469286895833,1829.65560585412,1741,1617.08900357764,1737.5,1699,1330,1672.5,83.0732184632166
"2016/2017",2017,121,121,100,37.4334708662562,171.808686112343,63.8895504043538,47.57086432051,88.3698355004167,1829.97162876176,1666,1554.88773711153,1636.5,1693,1261,1609,79.5254404098828
"2017/2018",2018,120,120,100,46.9285906795977,179.99593464334,73.0562337955766,56.651615778275,91.299025578125,1889.86831011326,1725.5,1596.42193525054,1761.5,1725,1397,1693.5,80.34754110006
"2018/2019",2019,120,120,100,45.4254177224138,161.374126717794,68.8748832736278,54.21314793709,90.6397997391667,1955.24254519579,1783.5,1736.11549056702,1820,1813,1407,1789.5,85.7046444520347
"2019/2020",2020,120,120,100,35.2389927889163,153.912375287971,59.3171079120186,42.89393330934,84.5935234683333,1830.70444104855,1739,1727.7789137835,1640.5,1788,1120,1719,83.5631386889272
"2020/2021",2021,121,121,100,55.3681584462233,227.581698758974,71.8023836214085,65.7114755834,95.50726081875,1979.48109572256,1777,1638.40284098617,1859.5,1746,1557,1734,84.7575720906448
"2021/2022",2022,120,120,100,40.5205563905172,163.180754774503,68.3363930906906,51.74344984536,88.7738158058333,1777.83890480147,1578,1424.50373976912,1585,1595,1378,1480,73.8352093528897
"2022/2023",2023,120,120,100,49.1937925581691,166.08836217624,64.4837404463782,55.555314650485,89.3733402702083,2117.28574167105,2024,1981.25044615808,1965,2063,1480,2049.5,89.7778893128316
"2023/2024",2024,120,120,100,38.9223668988218,178.1336774173,56.8828953343333,43.0633160612935,82.9179695561042,1926.72725501526,1843,1813.58628012982,1752.5,1915.5,1238,1836.5,84.0071319558419
"2024/2025",2025,121,121,100,48.3814950715579,187.064475571399,67.1102175913539,56.1611988891433,90.9884225255521,2118.64135794849,1996,1920.2681387178,1966,2018,1505,2005.5,88.6237858199365
"2025/2026",2026,120,120,100,38.5641595898604,164.511515095308,83.307711963485,54.075558221615,95.6925051197917,1680.89588466864,1419,1278.65713436366,1564,1382.5,1350,1371,76.4595953411517
"2026/2027",2027,120,120,100,42.6914008704844,190.247605932396,60.3804707167238,49.106018084575,86.831530553125,1910.13945702773,1842.5,1800.50048219552,1781.5,1857.5,1253,1824.5,84.7500994164147
"2027/2028",2028,120,120,100,54.4229162049672,185.511179938197,76.643610521349,67.43527846458,96.6969288991667,2130.17009380968,1892,1742.9092769109,2003.5,1874.5,1713,1871,85.8432788318551
"2028/2029",2029,121,121,100,47.1197127696634,206.643871035717,64.7284455408388,55.590607943655,89.8428668477083,1901.00467696358,1774,1618.18884129611,1779,1763,1420,1709.5,81.64830028712
"2029/2030",2030,120,120,100,43.3602097360837,177.798027188287,68.2795355792604,53.233341106105,90.4925811002083,1905.5410541563,1709,1642.03075887087,1766.5,1714,1416,1681,83.3080188141075
"2030/2031",2031,120,120,100,49.7838249999179,228.911909901063,65.3503106710844,56.20309109379,90.0984548245833,1983.32623067724,1852.5,1781.39837739712,1856.5,1872,1446,1842,84.7636149569284
"2031/2032",2032,120,120,100,41.6169846550657,197.613613452972,60.0698267192107,46.787243659723,86.535348599875,1911.99754470073,1805,1812.5966856882,1772,1858,1245,1834,86.0292345417934
"2032/2033",2033,121,121,100,48.6485416862479,191.346839229199,75.1304645629401,61.406726121655,96.1528263910417,1983.24426733809,1766.5,1679.00700924755,1847,1764.5,1510,1761.5,85.6909013027043
"2033/2034",2034,120,120,100,43.007652674179,191.218454455439,71.8310985911181,54.37966011514,91.1148411495833,1840.32959408629,1646.5,1502.05769973825,1685,1644.5,1423,1593,79.7345655467343
"2034/2035",2035,120,120,100,41.605689704023,158.593784765491,69.9307381413752,52.80891283027,90.1996425583333,1842.52762248706,1651,1515.97150402381,1660,1653.5,1349,1586,79.0310892778971
"2035/2036",2036,120,120,100,40.8084299807061,165.246718891908,67.7254875024095,47.77106501365,88.25360653125,1868.7776790615,1753.5,1721.62666977426,1740.5,1762.5,1260,1742,84.7732231911796
"2036/2037",2037,121,121,100,49.6033919388342,195.031492491556,73.4120194434167,62.099796400565,95.4956140472917,2000.19290323005,1777.5,1652.95582310919,1842,1763.5,1547,1741.5,84.830764698816
"2037/2038",2038,120,120,100,39.1831691180624,158.587375226733,65.9224833410503,46.95573620863,87.6927343133333,1861.95714955288,1778,1721.43758699282,1733,1794,1257,1768,81.0763287986229
"2038/2039",2039,120,120,100,32.2030483048851,133.950714357561,57.968865224246,37.187632436635,82.5838876722917,1857.09009069479,1838,1870.74206557822,1760.5,1884.5,1116,1853,87.214296075007
"2039/2040",2040,120,120,100,51.1157366655172,200.256324577663,62.4794559511247,56.75505878424,88.2265624233333,2063.91517284075,1935,1864.08829264829,1897,1976,1501,1930,84.3105103548814
"2040/2041",2041,121,121,100,47.3402204872742,186.504790201669,63.2137270203685,53.40699498725,88.7371562854167,2091.03490781882,2008.5,1950.39588417581,1942.5,2042,1426,2020.5,88.534909881957
"2041/2042",2042,120,120,100,28.1952311539409,100.211903687296,64.3488373168898,32.38577207055,80.4136442895833,1677.76057670184,1659,1722.85839600301,1562,1728,883,1668.5,78.2042347649558
"2042/2043",2043,120,120,100,54.7996964180213,222.349361051015,71.9239091615715,68.259619068265,97.0225344152083,2127.94001257162,1902.5,1714.87803183439,1993,1843.5,1743,1836.5,85.6553685861991
"2043/2044",2044,120,120,100,41.7069019733169,181.686026363913,62.2399750019881,47.56298364605,87.5865286604167,2053.4685902026,1980,1976.77567719297,1898.5,2049.5,1343,2026.5,87.9749142471192
"2044/2045",2045,121,121,100,48.7682308194376,188.465008668973,77.8440946048797,57.8689077713575,94.4686354815625,1940.29934755308,1767.5,1670.1186422278,1809,1774,1489,1765,83.0194247748041
"2045/2046",2046,120,120,100,43.2668467700328,188.402834211826,67.1593182523687,53.54218435634,90.1067034433333,1897.0776067806,1679,1575.3749150246,1708.5,1730.5,1415,1659.5,81.5526771394152
"2046/2047",2047,120,120,100,36.5304621431445,148.902196706278,75.3058060271997,43.888915434615,87.990809674375,1774.22385370612,1678.5,1648.15312588128,1649.5,1712,1221,1683.5,81.1687798727426
"2047/2048",2048,120,120,100,51.357285113711,192.203109253181,68.1476898422493,60.51444674075,92.7525232520833,2167.79038767488,2009,1937.73071287483,1999.5,2022,1560,2019.5,89.7995634829094
"2048/2049",2049,121,121,100,53.413777956486,232.721384223111,69.5890624640882,65.4637724633,96.0524406875,2107.28427053144,1878,1784.79996996408,1975.5,1884,1645,1877,86.9591745250327
"2049/2050",2050,120,120,100,63.4916500548481,243.982096025855,74.2711243681169,74.6850959713695,98.3714137829375,2208.76187934037,1997,1769.63136733863,2074.5,1935,1863,1933.5,87.6338330167046
"2050/2051",2051,120,120,100,49.4225387877668,204.619288177285,66.4626806332696,58.83580422675,90.52215524375,1921.57066230502,1780,1551.6650918378,1818,1734,1531,1676,79.0513667758651
"2051/2052",2052,120,120,100,36.0732704156814,159.047340331122,64.9905700758394,41.33108025247,83.0528050220833,1823.37613642079,1723,1677.04336033869,1653,1795,1205,1712,79.1559511948535
"2052/2053",2053,121,121,100,39.5118750771757,146.996652916343,64.933173042763,44.62026596015,85.8364209895833,1896.84515541379,1835.5,1786.14721406266,1754,1882,1224,1838,83.1426127522955
"2053/2054",2054,120,120,100,39.9120914786535,156.176359969357,61.3222506380755,47.6121815786,86.1407973375,1940.34655603464,1872,1810.64097124143,1818,1891,1302,1850.5,86.9898779061077
"2054/2055",2055,120,120,100,46.5800219474138,178.559845897532,66.7822119766327,54.105198276755,90.7006853585417,2015.25227340095,1876.5,1836.55673316777,1878.5,1907,1407,1895.5,86.5679691431351
"2055/2056",2056,120,120,100,50.6842678715107,187.09219525669,64.6205578839662,60.033228319,88.0986250666667,2007.13020399882,1773,1549.18116870244,1731.5,1851,1585,1679,78.1467870576216
"2056/2057",2057,121,121,100,39.8571062832512,165.588233896702,72.9078093318893,51.71657251,92.0641314229167,1934.6257352269,1742.5,1679.97642125498,1790,1765,1410,1747,81.5622048575815
"2057/2058",2058,120,120,100,50.2984798349754,207.301591345623,61.9458032519664,54.0508460817,87.6883023708333,2078.71538590733,2031.5,1969.05490256852,1970,2059.5,1469,2028.5,86.9409488592937
"2058/2059",2059,120,120,100,51.6766664687192,220.595025325446,73.9471588771129,63.64404069574,94.52641346,2005.0316597654,1795.5,1659.19825035197,1880,1762,1619,1754,84.2798653736909
"2059/2060",2060,120,120,100,33.8453528512726,147.272568542103,65.5324124621948,41.11046891748,85.2409989133333,1733.74196930861,1618.5,1579.36887650497,1576,1661.5,1104,1606,79.5675955170163
"2060/2061",2061,121,121,100,37.1346670520115,176.360442420554,60.0026248607114,44.213452679165,84.5471712722917,1775.73830042547,1620.5,1543.58633952618,1591.5,1670.5,1202,1558,79.1959535388496
"2061/2062",2062,120,120,100,52.1616363208949,183.747001247406,77.5579753982091,65.815738081735,96.4075822514583,2090.77018486554,1898.5,1706.68948335042,1976.5,1861,1725,1849.5,85.5229697476252
"2062/2063",2063,120,120,100,52.3757559926601,217.60094798044,69.9332554738171,62.845381349476,94.5930718960833,2147.54856402031,1933.5,1780.38338638252,1995.5,1923,1755,1899,87.847154576486
"2063/2064",2064,120,120,100,43.4023883842775,168.961796984933,70.4564879003707,54.999506138355,91.158184973125,1815.20165534265,1687,1584.23433662696,1717,1659.5,1348,1633.5,81.8601696722581
"2064/2065",2065,121,121,100,47.9123416989327,198.455270418867,65.1983264604532,56.50268696337,90.88670120125,2091.42492409673,1992,1889.00059172517,1989.5,1970,1549,1956.5,88.8763689818279
"2065/2066",2066,120,120,100,52.780240977422,221.707826805944,60.9095513361272,55.63407682555,88.3360463354167,2200.133971876,2091.5,2106.89056308783,2025,2159.5,1492,2149.5,91.522526457944
"2066/2067",2067,120,120,100,43.2864861005337,183.939928579015,77.0171249086721,55.260704754495,93.576326726875,1868.45338346099,1671,1585.22095786011,1710.5,1674,1419,1662,81.9555080302634
"2067/2068",2068,120,120,100,31.2890582344007,148.247725771445,57.9591405482077,37.82789202465,82.8116280354167,1616.66322572174,1558,1579.27958593514,1506.5,1567,892,1505.5,80.9320426525464
"2068/2069",2069,121,121,100,46.1391192130952,184.436083905418,67.9196068686001,54.842044342155,91.5077583960417,1905.88270933653,1786.5,1685.21153664527,1793.5,1761,1356,1740.5,84.5388230601766
"2069/2070",2070,120,120,100,33.0060704802545,155.621452976933,66.2249693566144,40.263338082545,87.2541467685417,1862.72550375198,1770.5,1800.89766941457,1712,1839.5,1181,1824,85.1343576759664
"2070/2071",2071,120,120,100,48.4332046316913,184.008081624349,64.7817129045111,57.68249018734,90.1771338183333,2012.8037961977,1893,1738.69656022498,1891,1890.5,1523,1850,84.8099922264973
"2071/2072",2072,120,120,100,41.3184348550903,162.46715028555,70.8772303324035,54.54529689625,92.0262256104167,1889.87096088694,1675.5,1596.80472735635,1744.5,1661.5,1407,1639.5,82.2006559402744
"2072/2073",2073,121,121,100,28.0430953809524,138.728178497061,59.3877376674804,30.7572307533,80.6480110770833,1680.55094334309,1623.5,1677.02178369659,1526,1732,910,1654,83.2114334522266
"2073/2074",2074,120,120,100,38.6431060980706,155.17046028622,71.4953803414611,48.044480526115,86.7980091560417,1689.64274408037,1459.5,1334.94823580759,1428.5,1544,1230,1398,73.9346892429148
"2074/2075",2075,120,120,100,38.0901375133826,168.09395293656,62.0727531294503,46.08759711013,85.9669325970833,1773.18323941206,1635.5,1576.06229700773,1622.5,1667,1140,1591.5,80.4087301437758
"2075/2076",2076,120,120,100,40.2131975488916,184.356904575964,57.3432513310529,43.967054880095,83.3095813377083,1906.0928299558,1872.5,1859.39061018907,1781.5,1901.5,1213,1861.5,84.8374371670234
"2076/2077",2077,121,121,100,55.470076256486,224.695410134989,72.2249171646752,68.357455204723,97.3837151657083,2177.57963466714,1970,1780.84058436244,2057.5,1940,1773,1932.5,88.6208307887409
"2077/2078",2078,120,120,100,48.8756890487767,177.853440313625,73.343360340431,59.082415225869,93.6919186362917,2051.92904762819,1882.5,1777.37414533196,1908.5,1887,1567,1882.5,86.3784551591561
"2078/2079",2079,120,120,100,45.9007290204434,162.050906004647,68.5186404295937,52.58220009674,89.1605184891667,2020.07241110923,1898.5,1888.45552084671,1871.5,1964.5,1353,1944.5,86.4932720758443
"2079/2080",2080,120,120,100,41.1610784116585,164.780941285215,61.3113170643566,47.45050001376,86.0622154058333,1977.05281422747,1913.5,1869.65642158941,1853.5,1930,1308,1897.5,84.941300070981
"2080/2081",2081,121,121,100,29.7720649474548,125.454883580627,69.7213196078415,41.05661833915,88.57576141875,1713.75925862079,1584,1601.94621339529,1608,1620,1079,1591,82.1459545085381
