"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,43.2071379546018,204.667854917944,74.0655649234462,54.9260152644374,92.8630572967548,1876.67986296536,1648,1587.07685821561,1726,1645.5,1404,1631,81.730151052413
"2002/2003",2003,120,120,100,49.7744797076844,209.010807312561,84.2542609478926,66.8280584246713,100.853240380366,1829.11959958912,1554,1351.08755837804,1721.5,1493.5,1624,1489,78.5973372560451
"2003/2004",2004,120,120,100,61.2968631201842,261.035713491341,71.9089708290306,73.6529530684596,98.9581250873079,2123.3687618355,1867.5,1702.5373190324,1975,1848.5,1700,1845.5,87.1826819255726
"2004/2005",2005,121,121,100,48.0495807892582,219.888548620499,67.1624350908805,60.6192723004065,94.6177686429319,1978.4697747433,1793.5,1670.84996008455,1837.5,1784.5,1480,1762.5,87.0035587238717
"2005/2006",2006,120,120,100,51.3969856461471,223.871087926738,76.80293903768,61.7390066949472,94.1535336982823,1964.76588063124,1772.5,1633.43937340144,1856,1759.5,1577,1755.5,83.1595565702138
"2006/2007",2007,120,120,100,52.5857368951608,263.567687803278,72.4887634073111,65.7598457803563,97.9962357584759,1930.64259344159,1652,1514.54702878888,1795.5,1613.5,1524,1608.5,83.3538105140024
"2007/2008",2008,120,120,100,56.5014177907879,233.385603853563,85.4302153483433,72.2863292081492,101.289353907946,1939.34620886795,1621,1366.1043728666,1806,1520.5,1763,1520.5,78.3934583811315
"2008/2009",2009,121,121,100,49.5169052493418,243.740480406936,70.0320889250115,59.0954903662588,94.0189593166945,1958.17163919057,1769,1618.52546819569,1809.5,1757,1504,1732,84.0387660194865
"2009/2010",2010,120,120,100,63.2232318529336,260.045098504677,72.4307655436619,74.3576569401098,98.2693940216517,2214.24825576581,1963,1743.49876122025,2046.5,1887.5,1871,1883,86.663533074857
"2010/2011",2011,120,120,100,61.565184112443,255.801115188041,74.6531498190748,70.9222870572032,97.4902706950917,2130.52233882598,1897.5,1720.77129797208,1967,1873.5,1727,1870.5,83.5424837804937
"2011/2012",2012,120,120,100,41.2143532932557,180.724153529807,83.8570779628783,55.7950842532067,97.1572706978063,1682.91367913622,1431,1278.40573400518,1555.5,1381,1357,1369.5,74.2977588569424
"2012/2013",2013,121,121,100,60.596735237568,258.171927374278,75.7899592404681,73.4746492290862,99.5729352550012,2087.10702539147,1839,1648.82016309355,1964.5,1790.5,1768,1785.5,85.6155171947623
"2013/2014",2014,120,120,100,30.3793524945452,134.819642177788,89.1088760801467,47.4494403718573,96.9644093060775,1457.96806746193,1198.5,1140.19500772539,1315.5,1202,1080,1196,72.9883823761768
"2014/2015",2015,120,120,100,52.2623820427564,222.252881658069,74.4394889324594,64.121317672855,95.6901221296238,1998.83281992617,1802.5,1613.83627375076,1877,1762,1632,1749,82.5813552583063
"2015/2016",2016,120,120,100,44.5657323492686,183.474617229695,77.3260032632132,56.8152912498638,95.9506467466492,1811.750156665,1593,1455.42544600697,1710,1544.5,1433,1544.5,82.305513235925
"2016/2017",2017,121,121,100,44.5307703576044,214.527960215019,73.0953370190001,58.7249411502652,95.8801718351386,1835.34886184502,1606,1459.67861968881,1718.5,1577.5,1444,1549.5,81.4571001587105
"2017/2018",2018,120,120,100,46.6698438228433,200.382581894997,83.797673489477,63.6789050466847,97.8608013721562,1783.23394306863,1513,1341.40867531465,1674,1449.5,1488,1445.5,77.7075975928105
"2018/2019",2019,120,120,100,47.6689268952259,181.525903228249,79.1283618011213,63.7741007306377,98.3383797106238,1932.66030662396,1646.5,1524.87273220553,1773.5,1637,1519,1628.5,83.1215654828707
"2019/2020",2020,120,120,100,46.660361233224,214.766935657195,68.0737852598748,58.3666932793238,93.4207748066974,1988.54949143142,1837,1699.20117199691,1866.5,1828,1521,1801,85.9152119900427
"2020/2021",2021,121,121,100,48.9261301288996,210.774667579681,82.3454062544588,68.9187314547373,102.44868440303,1786.94220572115,1480,1301.07011380412,1650,1425.5,1505,1425,80.3071109684947
"2021/2022",2022,120,120,100,43.9995578076227,179.348717833907,78.5277764371416,57.5918210141439,94.8477203839384,1717.87776904306,1472.5,1276.50187969021,1556.5,1436.5,1386,1385.5,76.3388162638093
"2022/2023",2023,120,120,100,56.1795448226949,217.03553300257,74.1741573982555,71.6038567241772,98.7541176555179,2166.0842842092,1960.5,1728.04386302754,2049.5,1895,1865,1893.5,86.6429777742419
"2023/2024",2024,120,120,100,53.3181797948941,253.108897386643,65.1482461677549,64.0411385719724,93.5824920315693,2116.49304293928,1929,1772.19496284694,1972.5,1926.5,1674,1899.5,85.7041292097524
"2024/2025",2025,121,121,100,55.8937708439663,237.91927478142,77.1348088178719,71.2926493043172,99.7277381373439,2093.67013183866,1806,1633.76462504944,1970,1763.5,1779,1761,84.4437471207179
"2025/2026",2026,120,120,100,34.7447560194168,176.568291418694,95.349138981105,51.2325459213882,98.7308401771191,1422.7001891367,1118.5,968.593032227811,1326,1055.5,1193,1055,71.8307087475623
"2026/2027",2027,120,120,100,48.7032390395584,236.452741972384,69.244774005436,63.0798406915159,96.2372610436106,2022.91817812812,1811.5,1687.31596619586,1893,1779,1573,1774.5,86.4927933359354
"2027/2028",2028,120,120,100,51.4366505505612,188.885190730415,88.315068014953,70.7238687255513,102.411708441437,1851.84346487376,1514.5,1283.89970529389,1714.5,1426.5,1646,1426.5,78.2775041325367
"2028/2029",2029,121,121,100,47.0267034940985,234.269054468549,74.212957713952,62.9333101923453,97.9414950490059,1849.36140143749,1595.5,1421.38181459186,1744,1529.5,1528,1522.5,82.5034978524991
"2029/2030",2030,120,120,100,46.3712610189463,212.63960407315,78.3612344825428,63.0795801426223,98.0665331952988,1861.03550603104,1611.5,1445.84134008152,1729.5,1571.5,1461,1562,81.5844961551384
"2030/2031",2031,120,120,100,57.9124529259673,260.519271844734,74.8090645756753,71.5955799460375,98.5337022573515,1954.16248097741,1700.5,1535.05722122489,1814,1686,1603,1681.5,83.3724683335604
"2031/2032",2032,120,120,100,53.0579298573992,247.372672814226,68.859946711947,64.9288565981936,95.5730100961041,2016.37203184245,1841.5,1710.61038293242,1901,1809.5,1579,1805,88.016803036423
"2032/2033",2033,121,121,100,48.2569587768238,197.105831392505,86.3276170897982,67.0069134586057,101.936641717155,1807.32325600328,1498,1332.21466964527,1677.5,1446,1575,1446,79.104590278971
"2033/2034",2034,120,120,100,44.7470709785846,213.504756347317,82.3920456536205,60.871626559104,97.2348844553536,1720.72954395672,1462,1251.4346710452,1604,1368.5,1458,1348.5,77.1993479272714
"2034/2035",2035,120,120,100,43.8941155470999,182.70864097613,80.3741756753911,58.7471252048947,96.6852022786979,1759.1501357472,1506.5,1335.73849806195,1637.5,1453.5,1406,1428.5,78.0463440788762
"2035/2036",2036,120,120,100,49.2138317576296,211.957396295066,77.7671094739851,62.2964682400595,96.0329502037602,1932.24877693917,1692.5,1586.00194327464,1787.5,1686,1481,1683,83.0429871547576
"2036/2037",2037,121,121,100,44.7461789825842,195.682665676538,84.3167054488946,64.355502290914,101.319529426493,1802.32663386277,1478,1304.00843940496,1674,1435.5,1530,1427.5,79.9483190076771
"2037/2038",2038,120,120,100,51.3494153086742,205.377372949492,75.8039477844011,61.8269113464805,95.1504995689001,1928.38849373654,1742.5,1590.82603031062,1815,1697,1560,1691.5,82.7055369179297
"2038/2039",2039,120,120,100,45.8233620797719,225.554953286882,66.5057993791648,55.9623648955647,92.7018172995584,2130.16132326491,1980,1912.62169187074,1991,1999,1592,1995.5,89.747209690936
"2039/2040",2040,120,120,100,58.5923188793248,242.45071021951,71.6271908558295,72.7438319615608,98.0928120509626,2106.59168192511,1863.5,1636.15271025547,1969.5,1796,1768,1778.5,85.3749985632812
"2040/2041",2041,121,121,100,55.3107849586022,245.092323109295,72.5330518637262,69.8421689078568,98.5732177228295,2149.11803948489,1936.5,1726.7207646382,2022.5,1877,1790,1876.5,87.5646995377128
"2041/2042",2042,120,120,100,43.6929338065232,159.961859428668,74.1352585889846,50.9792804931924,89.188759535813,1997.71899192274,1859,1826.92410573707,1855,1882,1422,1868,86.0429544156486
"2042/2043",2043,120,120,100,50.9409538466882,221.454574816953,82.6068190691123,72.5609522999176,103.43041457549,1829.70822411324,1438.5,1255.17946975619,1708.5,1361,1608,1360,79.1285900396406
