"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,36.3400635888709,160.989357004937,67.3250983570767,44.1327390958139,87.2798543283415,1834.75826308829,1688,1651.24967844637,1691,1704,1196,1667,82.1588612656359
"2002/2003",2003,120,120,100,47.4821241412503,197.857559262494,76.706553594944,61.3929181006853,96.8173032973674,1944.56753637937,1719.5,1585.37017740227,1794.5,1710.5,1522,1696.5,84.783847907064
"2003/2004",2004,120,120,100,56.5469219377046,243.07314695292,65.1193712756202,62.9732333872768,92.5425392445339,2171.79827335676,1967,1941.13883449657,2009.5,2017.5,1590,2009.5,89.0525813582454
"2004/2005",2005,121,121,100,48.1062818590987,209.611303642073,60.6398483669125,54.3808251734478,88.0062327930254,1944.72264487557,1827.5,1764.13682857974,1819,1840,1341,1794,85.1569307946041
"2005/2006",2006,120,120,100,45.0440708264441,189.301660297599,69.2833629763377,51.2347886421551,89.710071757738,1937.20256185406,1858,1770.54098306135,1834,1848.5,1443,1840.5,84.3193117721876
"2006/2007",2007,120,120,100,46.397406694863,245.650640727728,65.7359209557276,56.287842668119,92.503194024236,2013.93077314903,1852,1739.44529397213,1911,1817.5,1521,1807,85.5058674709936
"2007/2008",2008,120,120,100,53.3905168447934,216.595156791185,77.3000224065852,65.789473537114,97.6789777061442,2106.1322951244,1902.5,1691.48232435412,1987.5,1860,1780,1855,84.6583444781843
"2008/2009",2009,121,121,100,39.9680695622887,203.197675797339,63.4009279674224,48.1473675290863,88.4661144785171,1904.32305706767,1750.5,1695.06282259113,1741,1790.5,1316,1739,84.2341064462901
"2009/2010",2010,120,120,100,54.1904069455202,227.340673589813,65.4760262962345,60.7780437183819,91.8420108195356,2234.91187022167,2096,1997.04662006146,2083,2141.5,1639,2133,88.9075721034135
"2010/2011",2011,120,120,100,53.718295179361,218.78541351507,67.3284828394914,60.1349705270338,91.9746856165637,2161.91709234867,2021,1951.49043657801,2032,2049,1626,2041.5,87.8176109155459
"2011/2012",2012,120,120,100,39.4621944483098,169.309977956948,76.0442475175821,52.5379721547445,93.4079310162764,1772.83704432638,1548.5,1426.68259241093,1641,1533.5,1305,1504.5,78.5722240436155
"2012/2013",2013,121,121,100,56.8497781951648,245.545159838609,68.4167999258092,63.3512035371691,93.8699731880118,2163.30399185487,2015.5,1904.82039097634,2011,2037,1637,2025,89.405375788682
"2013/2014",2014,120,120,100,32.4592075003737,142.163146817796,80.4711544968321,50.3495128063843,95.4147971841742,1569.94899664611,1335.5,1268.20295345368,1462.5,1312.5,1128,1299.5,76.7232339241857
"2014/2015",2015,120,120,100,45.1105129111594,188.679784764163,67.5432383438449,52.3990153885622,89.8056996250341,1994.39262754928,1865,1795.19695112267,1856.5,1900.5,1467,1869.5,85.1066409469863
"2015/2016",2016,120,120,100,38.9838317149335,165.197141896026,69.9520281649543,52.6309440717695,92.354015304165,1839.28252021997,1717,1604.85122367847,1753,1685,1370,1674,81.2263599328321
"2016/2017",2017,121,121,100,38.5042963788199,185.65555430267,66.3837556082233,50.0969913039309,90.9129024897466,1863.98078037474,1678,1570.83954299211,1702.5,1684,1363,1619,81.625158106096
"2017/2018",2018,120,120,100,48.8397535393778,195.978173410716,75.8702545271124,60.6313059918249,93.9547480783344,1922.03533060966,1733.5,1580.6197504419,1787.5,1699.5,1494,1684.5,80.7367606380085
"2018/2019",2019,120,120,100,48.333480700418,173.060236973507,71.6262140338304,58.7637293196624,93.2290497503276,2012.3172946193,1808.5,1741.9789499506,1853,1821,1439,1803,84.797641162284
"2019/2020",2020,120,120,100,38.6701301838732,170.639277132289,61.6448632286981,46.7860100326036,87.4439244290269,1911.75502205071,1795.5,1773.93099828699,1733.5,1839.5,1247,1791.5,85.5780439967175
"2020/2021",2021,121,121,100,54.6592592443238,229.364166760937,74.7913392559953,67.0668598145966,97.7083151491145,1958.22079514553,1735.5,1575.29063398806,1826.5,1693.5,1571,1685.5,84.1466879118489
