"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,41.1689542928609,190.768778590097,70.0188310909672,50.5238277207299,90.1213364447857,1878.48635914715,1687,1637.22129252663,1728.5,1680.5,1344,1656,81.4719840676887
"2002/2003",2003,120,120,100,49.6722576699369,210.758861367683,79.6952706314617,65.6858077516182,99.2023379586391,1911.65405977848,1658.5,1492.80168009083,1787,1627.5,1619,1621,82.7982413376251
"2003/2004",2004,120,120,100,59.0481864143626,255.292874501199,67.9752548946898,68.2501937114241,95.463028485108,2147.18024143621,1900.5,1826.6607626176,1981.5,1936,1635,1929.5,88.333255530059
"2004/2005",2005,121,121,100,47.1581007040582,213.006406609621,63.4448630398612,57.3689714727933,91.0856371562508,1953.48239077005,1799,1712.87832770084,1812.5,1808.5,1391,1771.5,85.327132727966
"2005/2006",2006,120,120,100,48.5789788144024,213.069270320633,72.4685078380352,56.0005284722872,91.8268749486014,1963.1262169445,1838.5,1724.7737440147,1854,1824,1522,1817.5,83.4455758642953
"2006/2007",2007,120,120,100,49.2367206734638,261.444463459815,68.5323680898209,61.522307089794,95.1147848908948,1974.05280656253,1756,1627.65526543977,1860,1722.5,1551,1715,84.5763107556697
"2007/2008",2008,120,120,100,55.2638386416134,227.584632168709,80.7318815266107,68.582990208973,99.2088024392507,2035.18730214868,1776.5,1553.26929140092,1922,1729.5,1773,1728,81.6627531364785
"2008/2009",2009,121,121,100,45.6103865158916,228.949944533586,66.090305285538,54.1260266939157,91.2147214530765,1954.66018921458,1778,1674.8088411723,1811,1805.5,1420,1765,85.5375573444398
"2009/2010",2010,120,120,100,59.0338869835677,248.605231296934,68.4217516445722,67.8576043548495,94.984220870833,2244.91768666973,2050.5,1890.65142643838,2088.5,2055.5,1759,2048.5,88.540584495129
"2010/2011",2011,120,120,100,56.4674042984275,241.7749535658,70.4897336734055,64.9383984608389,94.2627747586355,2141.49568073685,1963.5,1841.30795214083,2017.5,1972,1646,1966.5,85.7923186296082
"2011/2012",2012,120,120,100,40.9722320492892,181.268407297858,79.1558322857879,55.1687600439452,95.5761228720992,1753.8218682504,1503.5,1375.23829380396,1614.5,1481.5,1376,1462,78.8208311855251
"2012/2013",2013,121,121,100,57.9190593885234,255.995053241847,71.5878273014916,68.235531957626,96.4067906935969,2124.49491228355,1935,1779.71894196072,1986,1924,1721,1915.5,88.207711976647
"2013/2014",2014,120,120,100,31.9127727174416,142.120479390871,84.1095023920866,49.6356888751048,96.2991804911806,1510.51138404125,1280,1201.78089379877,1411.5,1258,1093,1246.5,74.5322393366391
"2014/2015",2015,120,120,100,49.8383690435322,209.990307135524,70.3704166714097,59.1830310389861,92.8029626776677,2011.70763125776,1862,1707.03368099971,1894.5,1854.5,1583,1830,83.1240645810146
"2015/2016",2016,120,120,100,41.7516527193845,180.663143096545,73.0598382451788,55.0625535760988,94.0389907867559,1839.27831742426,1662.5,1539.47995353255,1749,1643.5,1448,1638,81.3812510483012
"2016/2017",2017,121,121,100,42.6341143065232,208.074982198532,69.0855859912643,55.7146806241597,93.3918298445219,1864.71418626267,1657,1529.61652072155,1729,1633.5,1443,1584.5,81.6229462990132
"2017/2018",2018,120,120,100,49.0882940750553,205.038343723295,79.1443104897195,63.1964063448313,95.8330994677035,1869.32429014931,1632.5,1479.86492633527,1737.5,1598,1534,1588,80.2747393222589
"2018/2019",2019,120,120,100,48.2409017179621,180.26285042926,74.8148392186332,61.6908847046651,95.7342778195482,1974.29993560028,1728,1632.33355029472,1821.5,1720,1520,1705,84.0472988151964
"2019/2020",2020,120,120,100,43.5511345369619,196.788067545067,64.3469884638729,52.662071122637,90.4002212574212,1952.81101642035,1809.5,1734.49867547509,1813,1841.5,1407,1801.5,85.9775692571206
"2020/2021",2021,121,121,100,52.4920292052717,224.5840273911,77.8616779007068,69.3917908432909,100.296361902248,1879.81347915029,1596.5,1431.32818082834,1752,1536,1551,1532.5,82.488698025807
"2021/2022",2022,120,120,100,44.6228846560553,180.177801477051,74.0989378803539,56.9132364925805,93.0493757414569,1773.26087222245,1536,1360.36108991316,1607.5,1546,1382,1476,75.4815505674392
