"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,36.5958996317043,175.017328235114,73.0503027518582,48.3721962393407,90.5150844825769,1772.876468901,1556,1536.59233098823,1625,1580.5,1237,1557,80.5536226576425
"2002/2003",2003,120,120,100,47.56595180141,204.616688739447,82.5371621847669,63.7582750102366,99.4371897563753,1862.07456576071,1593,1440.30869629611,1742,1561.5,1592,1556,81.5325090978895
"2003/2004",2004,120,120,100,60.0570136871592,255.963052642689,70.2198290542698,71.1228525542997,97.1881117276596,2142.75573274674,1897.5,1773.12196475762,1992,1908,1675,1904,86.8728168381597
"2004/2005",2005,121,121,100,47.8144686625314,215.590749439462,65.4776365594044,59.2251025208758,93.0904545998421,2007.46749071165,1836.5,1737.79143949346,1866,1836.5,1442,1815.5,86.5896996906152
"2005/2006",2006,120,120,100,47.528959504763,208.350806559652,75.2624101591495,56.607902431308,92.5155522632996,1928.11584269936,1784,1654.54070047159,1823,1743.5,1528,1739.5,84.0413298717469
"2006/2007",2007,120,120,100,49.0485673449109,250.76059862516,71.0247752600194,62.5647391834639,96.3701424657506,1909.78833740731,1669,1541.09360907087,1786.5,1616.5,1481,1610.5,83.9187496940524
"2007/2008",2008,120,120,100,53.8866464588442,224.891272747633,83.6656524757816,69.5815295396202,100.31744498729,1981.96680829168,1684.5,1447.61489441177,1868.5,1603.5,1779,1602,80.816662696828
"2008/2009",2009,121,121,100,46.3006213812292,230.237667569314,68.646076022829,54.362474159314,92.0217510343545,1962.41199051206,1795,1677.83246836733,1822.5,1807.5,1474,1779.5,84.0179170942288
"2009/2010",2010,120,120,100,61.3258441923101,250.251386968856,70.763097813058,70.8560639842504,96.5816665424711,2260.12995723337,2064,1853.02177438387,2113.5,2018,1874,2014,87.6375177627172
"2010/2011",2011,120,120,100,57.4333363231313,241.532238324352,72.8926306051967,66.5953020999498,95.9011914437798,2134.08192976596,1925.5,1791.80379637191,1987,1932,1662,1929,85.9405971911722
"2011/2012",2012,120,120,100,40.6613545092939,172.312427674789,82.4719422359447,53.92614334353,95.3803780879165,1686.95577383032,1448,1307.50774852676,1554.5,1416.5,1322,1393,74.6024881621834
"2012/2013",2013,121,121,100,57.3104786600011,246.307129520931,74.099748363342,69.4723027962902,97.8947015388812,2084.73754058757,1858,1704.40244562687,1940.5,1840,1706,1833.5,86.4035283060082
"2013/2014",2014,120,120,100,27.3165437603526,123.47614745874,87.4858303419645,44.3684079406095,95.210964977625,1400.03069916363,1187,1116.998126387,1294.5,1154,1021,1141.5,73.8713992338478
"2014/2015",2015,120,120,100,50.4923757131238,206.077275252676,73.2177063422086,60.3499064836519,93.3103874394721,1956.61584348973,1804,1624.18304883963,1849,1772,1568,1749.5,81.3033296542974
"2015/2016",2016,120,120,100,42.3556245995606,175.629012258989,75.648410559522,55.2712788072258,94.6045869997296,1802.93906397095,1624.5,1479.49701558432,1714.5,1576.5,1436,1573,79.6448333322132
"2016/2017",2017,121,121,100,42.1976004893497,201.468382675375,71.7387985015868,55.4335026764623,94.1129649180772,1797.12190846877,1580,1443.33502420854,1667.5,1548.5,1405,1502,80.1519769384449
"2017/2018",2018,120,120,100,45.0819192094008,185.493759673608,82.3873915529445,61.7207961738055,96.4841184104323,1758.41192804045,1500.5,1341.29889630972,1638,1457,1423,1445.5,77.3482211963446
"2018/2019",2019,120,120,100,47.0321288258544,177.353235287279,77.5200058438174,62.2372541358958,96.9237515835398,1929.73827084548,1650.5,1556.14870458772,1787.5,1637,1519,1626,83.7734079803108
"2019/2020",2020,120,120,100,45.8583459856859,202.685067370022,66.4252399114707,56.7724036978135,92.2873150060523,1996.56823138567,1840.5,1737.18954145936,1858.5,1854.5,1505,1819.5,85.6192252330293
"2020/2021",2021,121,121,100,50.289372958134,210.798441139726,80.8554686892884,68.0590706627993,100.786440182413,1824.89120245194,1541,1382.47014597837,1699,1486.5,1489,1484.5,81.3018402611137
"2021/2022",2022,120,120,100,41.3058856577397,163.417203782867,77.0776902694741,55.3355836214733,93.5590906889046,1672.88907403797,1443,1234.20967324293,1513.5,1417.5,1317,1345,74.5554172321572
"2022/2023",2023,120,120,100,52.272855458414,195.043572670023,72.6663871115081,66.777165592355,97.0217604592351,2118.38216435205,1917,1731.69070441177,1994.5,1873.5,1731,1871,84.7832075379738
"2023/2024",2024,120,120,100,50.156067449007,231.178760442967,63.7738251113036,59.6087156503906,91.7222023217257,2077.99196082281,1904,1779.20986009184,1932.5,1910,1564,1874.5,86.5900972554091
"2024/2025",2025,121,121,100,56.6585703326486,234.15882837294,75.2777929445386,69.2855835535035,97.9980451760877,2140.62707610748,1893.5,1741.27630857841,2002.5,1854.5,1755,1851,86.7844296056101
"2025/2026",2026,120,120,100,37.3157167625693,176.131952408059,93.0364464553179,53.5212916586382,98.5125245046252,1500.70958656116,1208,1040.88875636775,1392.5,1137.5,1289,1134,72.6355316612189
"2026/2027",2027,120,120,100,47.4896431105982,227.974273706053,67.7483240367284,60.6249705959091,94.4400653989874,2008.63063674617,1827.5,1710.28299646291,1895,1804,1545,1794.5,86.3640506106003
"2027/2028",2028,120,120,100,52.0675612473482,185.959994931367,86.2652744620236,69.433143165236,101.19530413766,1915.55780589473,1606,1396.87037179008,1785,1546,1631,1546,80.6457517508593
"2028/2029",2029,121,121,100,45.4691739666539,222.488799941573,72.9935822274778,59.4580914380629,95.7643001377658,1826.99963140296,1589,1426.71966009539,1706,1532.5,1489,1510,81.5239217175827
"2029/2030",2030,120,120,100,43.7261821858661,195.783137752872,76.7259649462175,59.3034929556167,96.5079246002894,1836.95668432895,1598,1459.080484512,1724,1578,1387,1561,83.4487636536651
