"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,40.0389704845869,173.989580281271,70.0772516928436,49.1545348957495,89.5628920322599,1882.18406694766,1707.5,1661.25126457177,1728.5,1715.5,1295,1690.5,82.271382466591
"2002/2003",2003,120,120,100,49.938087460872,202.433023833055,79.6717132484896,65.7917052225983,98.9473515884939,1949.41938889882,1702.5,1538.00244554472,1819,1666,1634,1659.5,83.9791736993544
"2003/2004",2004,120,120,100,57.5808233783754,241.910268063632,68.0610042036028,66.8594389122544,94.7953075763963,2165.71537213332,1926.5,1868.53542701273,1995,1962.5,1649,1957,87.8344207750465
"2004/2005",2005,121,121,100,46.6285828900634,200.122050042709,63.5765243475402,56.4311995390488,90.3676686260301,1945.68246037926,1802.5,1722.16456291833,1814.5,1809,1374,1772,85.8200013585594
"2005/2006",2006,120,120,100,47.2026457930739,195.757147051556,72.6592320358837,53.9959299953142,91.0550524830757,1966.06148515078,1863.5,1767.98844133548,1866,1858.5,1501,1853.5,83.8727761739715
"2006/2007",2007,120,120,100,48.6009803537655,246.983911684532,68.647046017997,60.763020276276,94.6579431924937,1998.76125794181,1795.5,1671.04365088981,1882.5,1765,1547,1758,84.4661318590606
"2007/2008",2008,120,120,100,55.6486099210938,217.461416975619,80.663357087997,68.2046504195818,98.8516486876405,2074.8732611118,1847,1612.37358381199,1968,1789.5,1802,1788,82.5199066340757
"2008/2009",2009,121,121,100,44.1941494200591,211.651101677268,66.2996947141773,52.4186837478427,90.4512124545748,1948.47428971808,1777,1696.67143062365,1808,1816.5,1382,1775.5,84.4321077117563
"2009/2010",2010,120,120,100,57.7138059585615,232.747679673874,68.4158250715617,66.2496685819844,94.2936140693036,2254.65515384069,2074,1934.96393297524,2104,2098,1738,2091,89.9818023282689
"2010/2011",2011,120,120,100,55.2891974079649,224.975848954535,70.553299776302,62.9803919714657,93.5163053335545,2158.07953349713,1995.5,1893.66525389032,2024,2027.5,1631,2022,85.6222153779602
"2011/2012",2012,120,120,100,41.0637870983466,169.54349979863,79.1196416512976,55.0488663040263,95.1777852875982,1770.14609175915,1521.5,1397.24807531492,1629.5,1499,1361,1477,77.3408575425842
"2012/2013",2013,121,121,100,56.7607948432588,240.365875833172,71.7078710727995,66.5036694105271,95.6836345497755,2145.93489024506,1969,1834.5048631511,1997,1971.5,1692,1963,87.497076549022
"2013/2014",2014,120,120,100,32.8680105467712,138.500017754969,84.2551419688835,50.435284563556,95.915443831617,1533.11894484351,1301.5,1218.51082448878,1436.5,1267,1111,1254.5,75.573924670291
"2014/2015",2015,120,120,100,48.980154507943,196.199903911086,70.3729113146958,58.1304621197561,92.2459434684085,2018.8659082614,1877,1738.31068888291,1898.5,1868.5,1578,1844.5,82.9343318148972
"2015/2016",2016,120,120,100,41.5588579068247,169.228942905016,73.1117052237485,54.5708350237805,93.5448456432129,1851.27810554746,1695,1569.0797764243,1759.5,1664,1438,1657.5,81.3614769872593
"2016/2017",2017,121,121,100,42.3092875858906,194.857502496363,69.2213288503286,54.9942465997467,92.8928981568706,1875.7847973296,1674,1551.08371275253,1730.5,1657.5,1441,1607,82.0094712631185
"2017/2018",2018,120,120,100,48.7453706928975,192.269544170279,79.2742666602018,62.5105318109484,95.3453624870198,1879.24989813939,1652,1497.06808549639,1745,1613,1514,1601.5,79.4697458569281
"2018/2019",2019,120,120,100,47.6969543084242,170.452746564347,74.6921876621021,60.8457433981899,95.3384403792697,1989.5985608081,1751.5,1664.23859090607,1833.5,1736,1490,1724,84.1141766484284
"2019/2020",2020,120,120,100,42.572575788105,180.822454248147,64.3905373735214,51.3533232574922,89.7746442303211,1956.20973119967,1824,1765.719917658,1804,1860.5,1381,1823,85.8844226743963
"2020/2021",2021,121,121,100,53.3047291801991,218.158839192001,77.9158250024969,69.4482988620868,99.9074865276666,1919.87563220736,1646.5,1481.22882799012,1792.5,1591,1572,1588,82.9771283977007
"2021/2022",2022,120,120,100,43.5027326961362,167.630568331547,74.1591356505104,55.5840892729563,92.3764270449333,1774.84162847136,1554.5,1385.19670600946,1612.5,1562.5,1369,1490,76.1864406298982
"2022/2023",2023,120,120,100,55.7082871273016,192.702795185148,70.0250882811996,66.0405095702045,94.8352927896656,2210.41121888602,2073,1912.50330307641,2083,2058.5,1758,2056,88.4096074549939
"2023/2024",2024,120,120,100,48.6739680973377,217.989899473194,61.6380861164933,55.0563942250828,89.0715913480655,2090.94878309974,1975,1867.52356588408,1944.5,1983,1513,1942.5,87.2510508346845
"2024/2025",2025,121,121,100,54.597660669104,214.71150499316,72.8594389250052,66.1463361323882,96.1016992947667,2160.69176342794,1963.5,1811.50567529107,2025,1917,1726,1911,87.1948612042002
"2025/2026",2026,120,120,100,36.6325519932695,168.968563650075,90.2213213617018,52.0767833009322,97.7580518918659,1567.70481792303,1282.5,1130.16129373518,1447,1210.5,1305,1207,73.4100076201044
"2026/2027",2027,120,120,100,46.0902548458808,212.39298472225,65.5338686758062,57.7044619727071,92.3366882014942,2026.37698224366,1873.5,1799.27448069762,1888.5,1876.5,1468,1864,87.8703273888473
"2027/2028",2028,120,120,100,54.2256489981632,185.484080244242,83.309136706536,70.8975973894883,100.171524511525,2014.10989193947,1717.5,1508.82818981368,1877,1650,1734,1650,80.8281090776068
"2028/2029",2029,121,121,100,48.0900808438058,225.450534667735,70.2601389086608,61.0073269467918,94.6773827973282,1921.15833976441,1733.5,1553.65152253621,1802,1669,1535,1647.5,83.5576392399889
"2029/2030",2030,120,120,100,45.7743597255355,195.379559211429,74.0248620141378,58.7889245555805,95.1732433271934,1929.55085605771,1688,1578.22867117074,1784,1687,1465,1667,83.6463581107378
"2030/2031",2031,120,120,100,56.2856503625999,249.368793756096,70.8865041895396,66.1711639868359,95.0282039871073,2021.39666867333,1816,1702.22590502875,1878.5,1801.5,1608,1792.5,85.1942283797916
"2031/2032",2032,120,120,100,48.9130652038057,221.60052695886,65.1980289707186,57.8884854104612,91.6707076276112,2019.33554551152,1882,1810.59122083254,1875.5,1887.5,1430,1875.5,87.3650719325806
"2032/2033",2033,121,121,100,50.1365299919068,191.932046242792,81.5532203163128,65.3988513071629,99.9211883617071,1928.18403239665,1668.5,1518.11158724234,1782.5,1627,1547,1627,82.3428455627309
