"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,44.2113736486332,203.585742235295,74.6134563555772,55.7519729599709,93.1792403560276,1879.86163341013,1659.5,1578.95643202999,1731.5,1648.5,1428,1634,82.1430399928312
"2002/2003",2003,120,120,100,49.0177003582974,205.541611175966,84.911210009424,67.3432565653234,101.249570436005,1824.28119993127,1529,1330.43398798815,1711,1475,1621,1471,77.9864318964614
"2003/2004",2004,120,120,100,60.1996590205685,253.519362071345,72.5172902989976,73.1166848453287,98.9504485760007,2118.55365015462,1860.5,1703.74833794015,1962.5,1843,1715,1841,86.3537472381774
"2004/2005",2005,121,121,100,47.2232017764583,211.357425390154,67.7230948413853,60.5122272414136,94.7819058622421,1968.27417175471,1772.5,1665.80785807336,1825,1777.5,1458,1755,85.6967767956943
"2005/2006",2006,120,120,100,52.157315892502,221.645756561375,77.2639221936261,62.229269926141,94.2815709164017,1979.88019010245,1799.5,1646.29360312389,1872.5,1774,1609,1771,84.0218699558937
"2006/2007",2007,120,120,100,52.4170362917844,259.115978922097,73.1735804456098,65.1940169521961,97.8334533424713,1925.87831415607,1644.5,1516.95331901606,1804,1630.5,1529,1627.5,80.9988666469281
"2007/2008",2008,120,120,100,56.3700372160387,226.892469302171,86.0008883877114,71.9015957096553,101.275380552385,1932.737922014,1613.5,1362.40006835039,1804.5,1528,1752,1528,76.6327865624061
"2008/2009",2009,121,121,100,50.1563344737759,240.529829638034,70.5346969794303,60.015958622314,94.4128938736018,1969.61833343317,1781.5,1624.57823348707,1816,1765,1519,1744,83.3881710769144
"2009/2010",2010,120,120,100,64.0778073988222,257.146824489192,72.9046279998973,75.5091267884446,98.5427685030805,2229.19302008115,1969,1752.37491754959,2060.5,1897,1881,1892.5,87.1199441338711
"2010/2011",2011,120,120,100,61.1352889056004,248.066982686014,75.1677994179762,70.7560407568164,97.7061561360769,2131.96157072422,1895.5,1722.81105419916,1973,1868,1736,1865,83.2185357347948
