"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,35.9883433554194,165.833641783808,67.9147219270717,44.773323772449,87.313808722792,1748.59212035737,1578.5,1525.94566756091,1583,1570,1172,1523,78.3719216309293
"2002/2003",2003,120,120,100,46.2189838187637,208.10367484368,76.6994880985705,61.4924626274895,97.3952272655648,1923.97058568872,1697.5,1565.60741255138,1771.5,1664.5,1538,1654.5,83.8734931095449
"2003/2004",2004,120,120,100,54.9356931908526,249.314023229279,65.3852969038484,62.4093297874661,92.7070193013406,2103.80131145972,1883,1861.01011600199,1928.5,1947.5,1519,1937,89.1672499924692
"2004/2005",2005,121,121,100,45.4163984276722,210.396420641844,60.762282771522,53.4769341063677,88.6448715495188,1940.20762261084,1782.5,1750.20822913606,1790.5,1825.5,1327,1780.5,85.9561708729202
"2005/2006",2006,120,120,100,44.1017093488051,197.284349535965,69.7101288491258,51.0878186101272,89.7949455496288,1908.14097417283,1826,1717.90108043114,1808.5,1810,1428,1800,83.7541114620738
"2006/2007",2007,120,120,100,43.9647587951616,246.258618121643,66.1161993079707,55.2251131411491,92.5737237348193,1907.53572014229,1745,1608.30728616646,1811.5,1709.5,1465,1693.5,83.8280051333129
"2007/2008",2008,120,120,100,51.0922465531034,216.836485524453,77.8360131103804,63.3385581094352,97.2644794261742,2039.95852906658,1834.5,1622.51261409884,1925.5,1779,1713,1774.5,83.1789528099554
"2008/2009",2009,121,121,100,40.5338275467796,219.224809391322,63.5213010560249,48.5815796364505,88.7702442390182,1931.80884679034,1775,1704.98976112884,1785.5,1818.5,1341,1766,84.7342305815048
"2009/2010",2010,120,120,100,54.81453905953,240.180530283988,65.6569923337423,62.090397689491,92.5232631213215,2253.86409018036,2115.5,1987.65360319701,2090.5,2147,1686,2139.5,90.2127414263293
"2010/2011",2011,120,120,100,50.8237568587674,225.690052510979,67.742409321128,58.1614381546076,91.9830884496961,2098.72804217698,1954.5,1879.29030288876,1977.5,1962.5,1581,1956,86.7953348696547
"2011/2012",2012,120,120,100,39.8405669884327,173.306641877189,76.507793989444,52.5777190448701,93.2726111852681,1743.7460516679,1504,1388.48207880382,1583.5,1499,1330,1458,77.7286603386551
"2012/2013",2013,121,121,100,53.6714449714744,244.555409837061,68.8405221108879,62.9610341236467,94.1648304867562,2077.83384705675,1916.5,1795.00970156262,1931.5,1900.5,1580,1885.5,87.1863398688909
"2013/2014",2014,120,120,100,29.3582512565122,137.359944363981,81.2899769275264,47.540447914607,94.5658550721048,1440.53471275286,1243,1130.82638621997,1348.5,1179.5,1055,1153.5,72.8525324613086
"2014/2015",2015,120,120,100,45.9967013409691,193.592999703507,68.1080973291943,54.2150040264792,89.9886884693426,1931.56715449214,1794.5,1654.40764435709,1792.5,1803.5,1451,1758.5,83.3899105793696
"2015/2016",2016,120,120,100,40.0951932043437,177.815245251412,70.1984887024184,53.3743392117209,92.5486876192371,1836.50739207978,1713,1558.23111869857,1751,1664.5,1437,1646.5,80.4219276226436
"2016/2017",2017,121,121,100,38.604941875215,194.168564734764,66.7374036464545,51.0994642014544,90.8693389641998,1798.55127690297,1592.5,1470.22482432599,1628.5,1589.5,1331,1513,77.8266806771703
