"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,37.7447630677975,175.455071058447,68.3638645174199,46.9416557846482,88.4554192025279,1836.63355269394,1679,1616.59188799312,1688.5,1670,1262,1635.5,82.2562605233812
"2002/2003",2003,120,120,100,49.5138907859301,212.831185423542,77.509718696368,64.3454367977831,98.1443164953863,1948.44396384316,1707,1566.01137018537,1815.5,1683.5,1598,1676,83.9239237841783
"2003/2004",2004,120,120,100,54.5148134763876,247.860906716119,66.1799402608348,63.5029492188494,93.6664455328124,2121.2428855995,1903,1849.3584201642,1961,1920.5,1580,1914,88.5321309957675
"2004/2005",2005,121,121,100,44.0722988518519,204.943245510119,61.8945280127556,52.9102900799913,89.0194783453095,1885.15323745178,1737.5,1669.02965515573,1745.5,1759.5,1293,1714.5,84.6731511857566
"2005/2006",2006,120,120,100,44.3709880784913,200.100294990423,71.1386335401359,50.1127872546177,89.518879527525,1910.98805714251,1834,1726.27613507632,1794,1808,1419,1797,84.187871893723
"2006/2007",2007,120,120,100,47.171018622611,252.876677150072,66.6431740430928,59.6330028111156,94.0715988285493,1975.6097584737,1782.5,1639.45915291483,1871,1726,1528,1712.5,83.8096572234866
"2007/2008",2008,120,120,100,56.1170006058962,228.688820886968,78.6078367736945,67.194637221444,97.8939242594491,2076.99896908097,1881,1642.85750226713,1976.5,1804.5,1792,1804,83.4310229235075
"2008/2009",2009,121,121,100,41.7829431187688,216.855147219601,64.6369117537343,49.3321334223226,88.915770716314,1886.78178123034,1728.5,1641.64689960353,1736.5,1766,1329,1699.5,82.5569876528709
"2009/2010",2010,120,120,100,53.845022460032,237.257798349201,66.6818059595328,62.8768240449088,93.0449132170227,2190.85616884026,2018.5,1893.51811724064,2031.5,2041,1646,2029.5,87.350062965593
"2010/2011",2011,120,120,100,51.5264962880123,230.162511631797,68.914491107622,57.8521738655354,91.9629683402038,2096.75333286214,1957,1869.07036111329,1977.5,1982.5,1556,1971,85.198912230298
"2011/2012",2012,120,120,100,40.8076774968312,173.703829723573,77.4253023726323,53.6455721146866,93.9813030216143,1744.90122459367,1491.5,1368.45832847562,1598.5,1492,1342,1453.5,76.5675676294122
"2012/2013",2013,121,121,100,53.3811943567874,246.323154054766,69.9470505772892,62.5148139222642,94.3017973620412,2085.63803752517,1917,1809.50808548407,1929.5,1925.5,1590,1914.5,86.7762164029734
"2013/2014",2014,120,120,100,33.4305280061286,147.167184666663,82.4914971222891,50.7431894664332,95.0969992131841,1515.82705791989,1307.5,1207.12029777731,1410,1274.5,1092,1256.5,74.5884125133261
"2014/2015",2015,120,120,100,46.7684426918774,201.220876027169,68.6337905107015,55.3755578797134,90.9644251376238,1980.77788501307,1834,1707.23268825127,1841.5,1839,1511,1802,83.0274759134993
"2015/2016",2016,120,120,100,41.1361943989708,174.560284395035,71.4170764124226,53.1100457968324,92.5137997795605,1814.32382144785,1680.5,1525.40708811856,1737.5,1637.5,1419,1618.5,79.2770500523129
"2016/2017",2017,121,121,100,42.9944834869776,203.733837965766,67.1254735731516,54.5766225116011,92.0724522206809,1870.62667774071,1668,1549.6735786584,1700.5,1660,1421,1594.5,81.7777569367372
"2017/2018",2018,120,120,100,47.6405747546697,196.851285770163,77.5150527665095,61.0371867191774,94.262908716225,1833.91211000751,1619.5,1461.20434489241,1705,1579.5,1466,1559,78.7130241357954
"2018/2019",2019,120,120,100,46.070277675723,177.426065636637,72.8105368533146,59.5056367827003,94.5175956680158,1964.83336815662,1728,1653.41722364661,1814.5,1707.5,1476,1692,85.4133464122397
"2019/2020",2020,120,120,100,41.2313611234567,184.564934579621,62.5528306321374,50.2206627419523,88.7363164430854,1929.11511820643,1792.5,1736.08539839561,1769,1826,1341,1778,83.5652347131586
"2020/2021",2021,121,121,100,51.973334217973,225.965876333567,76.0387576777975,67.0094579275969,98.6439986004146,1891.29702930128,1626.5,1483.4483426361,1753,1598,1511,1589,81.1069954399609
"2021/2022",2022,120,120,100,40.5582192567228,169.067408195043,72.5631358719158,52.4477343429331,91.0243249168928,1722.05961198189,1501,1341.45495071039,1549,1533.5,1315,1445,76.6257152034323
"2022/2023",2023,120,120,100,51.8349671627372,190.424933961989,68.5202628380225,61.7746540048289,93.2556252048701,2139.67975455335,2015,1858.66429596931,2002,2012,1646,2003,87.3894938233534
"2023/2024",2024,120,120,100,47.1662872199059,224.236772753316,59.8770026067439,53.0486402574317,87.7818047180296,2051.79674216076,1934.5,1833.39260948794,1900,1953,1472,1898.5,87.0156733535778
"2024/2025",2025,121,121,100,55.6745127545923,227.100393932414,70.8168801676125,65.2063541175615,94.9620682363102,2154.5633694749,1976,1835.59710257721,2007,1939.5,1662,1934,85.9054718865946
"2025/2026",2026,120,120,100,38.8636522549511,178.713316793952,87.1556470506301,55.6022458472152,98.2218840688409,1626.03063205324,1343,1166.26431201687,1488,1254.5,1392,1247,75.5380885690738
"2026/2027",2027,120,120,100,45.7752490627054,220.806528003318,63.7038377691324,55.7136186967868,91.118120946016,1994.07868775078,1873,1786.87784779393,1862.5,1866,1435,1855,87.3274599940855
"2027/2028",2028,120,120,100,51.4951843636094,187.783319297518,81.4433524384231,66.5136973449555,98.6667493510454,1953.35771619968,1677,1505.05195062008,1829,1624,1618,1620,82.6072974062004
"2028/2029",2029,121,121,100,45.5845851025488,227.468275069929,68.6714350137674,58.0770554471931,93.3549568687688,1868.57341156082,1673.5,1485.47875341751,1732,1634,1499,1585.5,81.2178939559194
"2029/2030",2030,120,120,100,45.7682588999655,205.465102470464,71.8930592672763,57.8693665738046,94.4189994556149,1930.00560585452,1687.5,1595.14312752394,1777.5,1689,1490,1670,84.6095900303835
"2030/2031",2031,120,120,100,54.6586393084979,259.588558282415,68.9324063150566,63.8493668972884,93.8125713084655,1991.02608610076,1799,1707.47059198215,1856.5,1798.5,1541,1787,85.2307581622626
"2031/2032",2032,120,120,100,46.5328203005382,225.755333727395,63.4680473449362,55.3784869205604,90.5455809234244,1957.1183814572,1821.5,1756.0612022837,1816.5,1832.5,1371,1813.5,85.5919665294477
"2032/2033",2033,121,121,100,49.9950674958768,201.829732043403,79.4060613023289,63.9453137891816,98.869747727095,1913.34833837017,1656.5,1532.28818838857,1769,1634,1505,1634,82.2843337597142
"2033/2034",2034,120,120,100,44.8829099180627,211.562117703125,76.0548877544962,58.225444165704,94.0269992369929,1796.20362795486,1567,1364.4897582192,1664,1539.5,1439,1492,77.1833150183584
"2034/2035",2035,120,120,100,42.3157928182333,179.18284874703,74.0552784260311,54.7357401001946,92.9527783406929,1803.969644344,1582.5,1444.89235401835,1659.5,1561.5,1396,1512.5,78.6741089867692
"2035/2036",2036,120,120,100,46.1824178677068,198.902519503812,71.6476545442928,55.9560345926078,91.8084901250002,1934.15837795068,1744.5,1696.61013509439,1788.5,1747.5,1426,1730.5,86.233776589751
"2036/2037",2037,121,121,100,45.63621848704,200.036347699464,77.7514138365083,62.0889727324814,97.9766797387336,1899.88404212618,1622,1482.67907816813,1760,1581.5,1547,1564.5,83.7274703175526
"2037/2038",2038,120,120,100,44.125109989911,183.461371800385,70.1669502879389,52.1099722847329,90.2346149930273,1873.39224190869,1764.5,1639.69106289808,1749.5,1755,1369,1733.5,80.2463886988371
"2038/2039",2039,120,120,100,37.532500113722,183.86498798274,61.1324534986682,45.0849480444719,87.0942212561786,2011.74021630624,1950.5,1934.4588055895,1895,1967,1346,1955,87.3105998206238
"2039/2040",2040,120,120,100,56.8141411200686,230.155202151671,65.9024348005362,64.632774980723,92.5458694577034,2125.92548924463,1929.5,1783.40904069549,1948,1957,1617,1918,86.952047301239
"2040/2041",2041,121,121,100,51.9125504811378,222.526065421082,66.7909309089936,61.1328731771177,93.3052915774553,2137.07722072213,1980,1849.68289200889,1985.5,1987.5,1638,1973.5,88.2469409606747
"2041/2042",2042,120,120,100,32.9402734055267,122.20176793076,68.5781395793014,39.2858929014788,84.0488473549299,1803.17755948714,1711.5,1741.76493030434,1651,1785.5,1072,1750,83.1876269072791
"2042/2043",2043,120,120,100,53.9500684826411,229.760212284392,76.0996266107301,71.0553335272466,100.063702388326,1994.34080397838,1681,1476.43381088003,1880.5,1593.5,1724,1589.5,83.4765068306124
"2043/2044",2044,120,120,100,48.5001469109162,221.757154108696,66.1325209891882,55.6322421698519,91.1426632316685,2090.82825968982,1941.5,1852.43265097278,1925.5,1966.5,1544,1941.5,86.2268389031033
"2044/2045",2045,121,121,100,49.0529858250111,210.395167565829,82.9055413705203,60.5675951029391,96.4051430969959,1861.94698102152,1653.5,1501.86241001881,1730,1612,1519,1605.5,80.0587325303504
"2045/2046",2046,120,120,100,44.1250414609226,208.979554260497,71.0634463813454,56.4675921795863,93.238881864175,1855.08247228694,1616.5,1456.65728407854,1692,1603.5,1477,1542.5,79.9556597977044
"2046/2047",2047,120,120,100,40.1873135541808,182.581785256664,80.0949769680133,47.9413264504708,89.9680769112268,1789.4509930748,1668.5,1571.42749021472,1663.5,1673,1324,1650.5,79.7341658365967
"2047/2048",2048,120,120,100,53.579057964661,213.414739353906,72.2927349485964,65.275062424258,96.2424234043806,2114.40799186786,1893.5,1751.11047569389,1969,1867.5,1703,1864.5,86.475809140099
"2048/2049",2049,121,121,100,50.3182005226908,236.428795703774,73.7591565742538,65.964836176805,99.1777131341963,1986.42862597603,1699.5,1605.04180040806,1837,1693,1562,1691.5,85.480832326356
"2049/2050",2050,120,120,100,62.1287184976822,254.438955263119,78.4911176999133,77.2941673680268,101.289519855275,2060.57055982645,1747.5,1517.8027278884,1930,1667,1825,1665.5,83.1464728658684
"2050/2051",2051,120,120,100,50.9443148224818,220.239709149132,69.9177233959861,64.3495631857069,94.5086405238444,1910.54673108464,1660,1459.9244431822,1776.5,1603,1543,1567,80.6697218400286
"2051/2052",2052,120,120,100,44.2059822461407,201.343764553817,68.540395671023,50.320560595331,87.1370161462479,1937.48378660338,1802,1711.83485032,1786,1848,1414,1797.5,81.6042203869674
"2052/2053",2053,121,121,100,45.1148514651439,184.438953324233,68.235588359454,53.1651232771278,90.3964160161701,2002.27973228687,1907,1793.07149708044,1875.5,1886,1452,1864,84.0568065302778
"2053/2054",2054,120,120,100,43.1247116945275,184.888771869991,65.0590851237858,53.6944800538253,90.4715756716606,1986.14175879463,1812.5,1732.29765270053,1840,1834,1471,1798,84.3379953038429
"2054/2055",2055,120,120,100,48.7988947747618,205.172250631146,70.5772533156844,60.2721800436288,94.4272066977106,2037.68078543988,1839.5,1721.42466631645,1876.5,1839,1539,1831,85.518573835544
