"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,40.1100977495048,168.149401406661,68.8575913464788,47.8164373770841,88.7973423210762,1897.40469830288,1733.5,1700.9383026607,1737,1763,1287,1734.5,82.9046898962534
"2002/2003",2003,120,120,100,48.3512166583206,193.174603649084,78.6201009473387,63.3735831927241,97.9949052862023,1936.47901155889,1709.5,1547.10272940996,1788,1688,1546,1676,83.410942188262
"2003/2004",2004,120,120,100,58.8321133079817,242.074162203231,67.0835089037853,65.5461347287006,93.770118335703,2177.67304504201,1953.5,1903.26452299308,2004,2004.5,1624,1997,89.443788678775
"2004/2005",2005,121,121,100,49.8113940827391,209.01878548228,62.4074403135171,56.9931398998521,89.5978109892798,2001.0172171782,1857,1793.22481896405,1859,1878.5,1421,1835.5,87.5947615907656
"2005/2006",2006,120,120,100,48.2737922866023,200.369052375644,70.9641185407604,55.9020580935185,91.6540333369092,1998.76732056421,1881.5,1789.68584393197,1892.5,1876,1514,1871.5,83.9983264939292
"2006/2007",2007,120,120,100,47.308378612712,244.311933278786,67.6621715945568,57.3350651474749,93.3435987281527,2026.68269346913,1853,1749.42293670632,1901,1838.5,1526,1831.5,84.8105818204419
"2007/2008",2008,120,120,100,52.6562610180909,208.807591904577,79.4551801804713,66.0397514536403,98.3322445518276,2068.82010747947,1831,1635.38974717681,1947.5,1804,1768,1799.5,83.0915981666179
"2008/2009",2009,121,121,100,43.1811668218537,209.789423034791,64.9034365382677,52.502487546353,90.4401951672077,1974.99229615341,1793,1731.23571875712,1812,1837,1405,1799,85.6758273460982
"2009/2010",2010,120,120,100,57.683980573228,229.518098949563,67.2253140128188,64.6557983285761,93.4512858225722,2282.34022234326,2125,1997.80728839846,2124.5,2143.5,1730,2134.5,89.3164520297676
"2010/2011",2011,120,120,100,56.8867895442177,226.015948375103,69.0613492433225,64.5864371308744,93.4629468105864,2198.14105186034,2044,1933.26729606715,2065,2057,1705,2050.5,87.9478151955782
"2011/2012",2012,120,120,100,40.6554987180916,169.471473130429,77.7417578268294,55.0510161912701,95.0327904891885,1802.04683658545,1569,1431.16672556813,1663.5,1533,1356,1515.5,79.2488362246895
"2012/2013",2013,121,121,100,59.5579273837001,249.988736942867,70.2844003930947,67.4253319670823,95.4818875178211,2195.19650892624,2025,1882.26119672709,2056.5,2025.5,1741,2015.5,90.02020761124
"2013/2014",2014,120,120,100,33.3121417819438,141.545613306159,82.2264118691096,51.5573959593391,96.6410942949404,1585.48041977342,1330.5,1270.00990677412,1472,1318,1160,1307.5,76.9732284193244
"2014/2015",2015,120,120,100,47.3353631900388,192.807927797531,69.1682289419081,55.9676352497741,91.5639115939792,2025.13724143994,1882,1793.763712855,1896.5,1909.5,1545,1891.5,86.4795555292826
"2015/2016",2016,120,120,100,41.6960396177065,172.677471655307,71.6833243655027,55.6085662035493,93.9650371600409,1895.41583658139,1740,1637.62685714643,1799.5,1712.5,1451,1709,84.28563466778
"2016/2017",2017,121,121,100,38.8907194921484,185.186862587621,68.2246974452315,51.673176738203,92.1152885630906,1867.67901004641,1669.5,1576.86763891549,1710,1675.5,1369,1631,82.0558370790263
"2017/2018",2018,120,120,100,49.5182922225093,194.631544650663,77.6349903814618,61.5870487852574,94.9919695774701,1934.02679431639,1726,1571.98542448836,1803,1698.5,1529,1690,80.7171450028618
"2018/2019",2019,120,120,100,49.8254273500178,171.472521008585,73.5192012353507,59.9432774441585,94.2373297104158,2041.46182182971,1817,1750.88644796145,1874,1861,1486,1848.5,86.0122621495402
"2019/2020",2020,120,120,100,41.0738835585886,179.917550116064,63.3714391711199,49.2325850945737,88.8916681726131,1957.48233159371,1843.5,1804.44303675511,1800.5,1878.5,1343,1840.5,85.9801234895785
"2020/2021",2021,121,121,100,55.9262218375842,230.807670498569,76.6718233917088,69.856756198281,99.230354715975,1989.23323060542,1735.5,1556.78075409423,1869,1674,1658,1669.5,84.1600743644581
"2021/2022",2022,120,120,100,47.9623705470994,182.024311551668,72.4077159903349,60.0493155063308,93.1497072722798,1880.51461516847,1649,1477.00663376104,1705,1644.5,1485,1581,77.9840633911208
"2022/2023",2023,120,120,100,57.8444999765066,202.90283912597,68.7183631474798,67.1441841234592,94.4293866380481,2266.29090344073,2133.5,1975.1276777723,2139,2104.5,1828,2100.5,90.1717707608204
"2023/2024",2024,120,120,100,45.5691080264653,210.445727693665,60.7991686149945,51.9144692818876,87.9059625502538,2084.31979255271,1967.5,1894.39329728947,1923,2007.5,1475,1957,86.5150760565716
"2024/2025",2025,121,121,100,50.9528909454798,204.964699593325,71.8415627060399,63.9135438575279,95.472158633048,2141.74035024212,1934,1800.11894825541,1997.5,1892,1713,1883,86.5984987859056
"2025/2026",2026,120,120,100,35.0427693725253,168.722914623555,89.1902543761709,50.3309409287845,96.9050490124547,1580.26729804256,1305,1169.72728917291,1460,1258,1258,1253.5,74.8079162146155
