"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,38.4151337454215,155.777420258436,77.7032027685372,50.5685700931262,92.1050196581595,1797.71401096519,1574,1549.85726902799,1666,1593,1285,1577.5,80.1462731617402
"2002/2003",2003,120,120,100,47.6823467996063,175.193040564449,87.6332908665636,64.2414306825098,100.45805977176,1843.32510871075,1551.5,1381.63801623148,1720.5,1508,1603,1506.5,78.4870084576784
"2003/2004",2004,120,120,100,61.2340600990255,227.900439544704,75.0157625169827,73.5939190305281,98.9052306312633,2172.4918276409,1929.5,1744.75880617479,2030.5,1906,1760,1904.5,87.0167040365114
"2004/2005",2005,121,121,100,49.2838099309659,191.540146466324,69.8076961748991,62.1827910243235,95.2760588838613,2073.56797407549,1868,1766.61554435853,1925.5,1874,1526,1866,87.7274894777617
"2005/2006",2006,120,120,100,49.7712838381239,192.404839811545,80.2483149588165,60.8479321513373,94.5642317373698,1970.59514287505,1786.5,1641.15805294494,1863,1747.5,1604,1746,83.4948279947803
"2006/2007",2007,120,120,100,50.1234589240136,224.590252730677,75.9836657244472,62.9690264997122,97.2785390492451,1921.48759675182,1663.5,1538.99500379846,1792,1623,1512,1621.5,80.6449483583554
"2007/2008",2008,120,120,100,52.4342758161739,193.667967190424,88.9353312147445,68.8501690310067,100.829251647589,1932.06128978289,1624,1378.17211913456,1809,1544,1723,1544,75.2528807831296
"2008/2009",2009,121,121,100,50.0966693681545,213.361665504375,72.9274378025694,59.367360812886,94.3348276319849,2035.44019757249,1852.5,1721.48637263941,1884.5,1853.5,1573,1841,84.162654671587
"2009/2010",2010,120,120,100,64.4490191249628,230.102476474436,75.089576622582,76.1912759600555,98.7285181536886,2311.84425935184,2080,1836.51242125587,2171.5,2014,2015,2012.5,86.209647370825
"2010/2011",2011,120,120,100,59.401312894372,219.728690889618,77.4706042250503,70.204899008039,97.837827382404,2160.85477869667,1922,1757.63394001895,2004,1914.5,1760,1914.5,84.2831000709034
"2011/2012",2012,120,120,100,41.8306777493142,153.903876787697,87.3052456278708,55.1203132225867,96.5233211376204,1694.29225934361,1457,1297.89689354254,1574,1409.5,1360,1398.5,73.4794565802729
"2012/2013",2013,121,121,100,56.8834405929053,219.526926077001,79.0504664925404,71.6412623516292,99.7765221188302,2091.76437349527,1820.5,1645.70139118876,1963.5,1776.5,1788,1775,85.6217679076567
"2013/2014",2014,120,120,100,27.0306323632688,102.819556319241,93.0649261775019,42.4584067216734,95.5594787422534,1354.37913543924,1111,1062.52461259998,1241.5,1089,992,1081.5,71.130080814956
"2014/2015",2015,120,120,100,50.2011088991447,181.417474729245,77.8920859812761,62.4744513813504,95.1014819024387,1962.30945271081,1790,1579.23517832106,1855.5,1738,1616,1723,79.3013252544411
"2015/2016",2016,120,120,100,44.6467809795871,156.660349477527,80.4401093059511,57.2032577564088,96.2209114262725,1825.03734082986,1622,1458.77496861023,1745,1576,1471,1574.5,79.3034487039404
"2016/2017",2017,121,121,100,42.3499478868702,174.566693892469,76.6678064762942,55.8321365758639,95.2678385198789,1787.87295762612,1564.5,1429.89182833746,1661,1532,1403,1501,80.4640792781011
"2017/2018",2018,120,120,100,43.6622058432696,161.09325715345,87.5843784054876,61.2521577674779,97.4062319595613,1748.45336979657,1475,1296.6760518,1634,1414.5,1459,1406.5,74.6693711095527
