"Season","End_year","Season_days","Data_days","Interpolated_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"1973/1974",1974,120,120,0,100,84.7084640898267,2168.97794629072,482
"1974/1975",1975,120,120,1,99.1666666666667,89.8354311618092,3578.95264418551,285
"1975/1976",1976,120,120,0,100,81.4508989930156,1833.9441141448,703
"1976/1977",1977,121,121,0,100,83.5581550318925,1898.4406572947,731
"1977/1978",1978,120,120,0,100,78.6255277646235,2666.61194794514,826
"1978/1979",1979,120,120,0,100,66.8179818266592,1428.24566916696,1366
"1979/1980",1980,120,120,0,100,82.7014195812264,2357.38000154187,684
"1980/1981",1981,121,121,0,100,74.4592235959612,2089.23414015578,1078
"1981/1982",1982,120,120,0,100,74.5234258958492,1949.98754990834,1076
"1982/1983",1983,120,120,0,100,84.3052674534051,2914.19769264106,574
"1983/1984",1984,120,120,0,100,81.5262174357642,2105.75408457126,803
"1984/1985",1985,121,121,0,100,72.3758851255552,2020.42986462452,1094
"1985/1986",1986,120,120,0,100,68.352817376817,1795.78275313892,1294
"1986/1987",1987,120,120,0,100,73.298569346171,2487.51847960788,1028
"1987/1988",1988,120,120,0,100,87.4164218047135,2828.36029867141,309
"1988/1989",1989,121,121,0,100,90.3407265718001,2625.66435267334,371
"1989/1990",1990,120,120,0,100,83.4259424702782,4589.6771940887,422
"1990/1991",1991,120,120,0,100,78.0437161416803,1892.99817445362,936
"1991/1992",1992,120,120,0,100,83.5193296025545,2061.58284679987,688
"1992/1993",1993,121,121,0,100,86.2010645341147,2734.66511465935,592
"1993/1994",1994,120,120,0,100,82.6544663107397,1859.10219375882,631
"1994/1995",1995,120,120,0,100,85.8156322326122,5334.01669034502,350
"1995/1996",1996,120,120,0,100,72.1312471483352,1367.36020280584,1180
"1996/1997",1997,121,121,0,100,75.051033635084,2690.31085880077,895
"1997/1998",1998,120,120,0,100,86.0918563834675,3968.001170323,417
"1998/1999",1999,120,120,0,100,78.3883251842285,2024.12023227429,630
"1999/2000",2000,120,120,0,100,88.0642318825276,2362.48812300572,302
"2000/2001",2001,121,121,0,100,83.2653799876389,3718.99653072446,457
"2001/2002",2002,120,120,0,100,80.7369448057207,3347.73231840599,697
"2002/2003",2003,120,120,0,100,82.1930172967222,3159.11578989006,748
"2003/2004",2004,120,120,0,100,81.3169141612962,3748.74922695174,536
"2004/2005",2005,121,121,0,100,77.8007142024917,1796.86642157636,883
"2005/2006",2006,120,120,0,100,76.0559921670629,1945.37003591564,820
"2006/2007",2007,120,120,0,100,87.9421677765095,5706.69070038223,212
"2007/2008",2008,120,120,0,100,87.159649839401,3076.93841914111,415
"2008/2009",2009,121,121,0,100,77.6073402752991,1727.22383162868,839
"2009/2010",2010,120,120,0,100,71.1545422204426,3291.1079226709,958
"2010/2011",2011,120,120,0,100,68.6604392513173,2913.22753632069,997
"2011/2012",2012,120,120,0,100,81.0255597645828,3115.78343146946,488
"2012/2013",2013,121,121,0,100,77.1347771866122,2232.55187665671,834
"2013/2014",2014,120,120,0,100,91.5562065124886,3127.71189274592,138
"2014/2015",2015,120,120,0,100,83.9113979553813,2988.93128159223,353
"2015/2016",2016,120,120,0,100,81.4587538760234,6863.12386208074,270
"2016/2017",2017,121,121,0,100,84.9820755750561,2484.76876523579,608
"2017/2018",2018,120,120,0,100,83.9679145699311,2276.75652419915,441
"2018/2019",2019,120,120,0,100,84.2570397062182,4562.34860710427,332
