"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,82.4478016134925,5248.81760770037,473
"2002/2003",2003,120,120,100,82.5203616453277,2223.64084185023,780
"2003/2004",2004,120,120,100,87.329773872106,3451.66170336731,428
"2004/2005",2005,121,121,100,85.3584477882764,6195.80834257754,359
"2005/2006",2006,120,120,100,84.3319312474798,3909.64204857458,491
"2006/2007",2007,120,120,100,83.5098254156793,4015.53618911922,527
"2007/2008",2008,120,120,100,80.0994171500488,1898.47005230887,661
"2008/2009",2009,121,121,100,83.4015814366196,5628.83197768941,441
"2009/2010",2010,120,120,100,87.9250128812041,3578.59653199068,281
"2010/2011",2011,120,120,100,84.4214209877057,3403.39846750116,392
"2011/2012",2012,120,120,100,77.54342649561,3799.45792510279,808
"2012/2013",2013,121,121,100,86.2311325845526,3276.29607844539,487
"2013/2014",2014,120,120,100,74.5729233566606,3420.14160212618,1078
"2014/2015",2015,120,120,100,83.4951820722986,4488.74766283506,443
"2015/2016",2016,120,120,100,81.9416760407958,4297.97538895835,589
"2016/2017",2017,121,121,100,82.2334444633302,5290.74413535953,550
"2017/2018",2018,120,120,100,79.0720152144208,3426.84444921475,715
"2018/2019",2019,120,120,100,84.1512856195477,3551.80756403669,574
"2019/2020",2020,120,120,100,85.0466815261852,5742.10079931468,374
"2020/2021",2021,121,121,100,83.3211018108509,2614.82589731482,810
"2021/2022",2022,120,120,100,75.9249630667168,5299.65082033561,659
"2022/2023",2023,120,120,100,88.2253528659407,3524.64708844712,339
"2023/2024",2024,120,120,100,86.0148851301515,5878.91409127344,230
"2024/2025",2025,121,121,100,86.3336982542696,3393.51581917144,409
"2025/2026",2026,120,120,100,73.3340376352148,2203.1258735219,1168
"2026/2027",2027,120,120,100,87.6200479484169,4772.02521121269,372
"2027/2028",2028,120,120,100,81.2557065996111,1813.52046753163,760
"2028/2029",2029,121,121,100,82.5619824437335,4777.86786660459,545
"2029/2030",2030,120,120,100,83.0086067409156,3839.61025014636,636
"2030/2031",2031,120,120,100,83.7836545559758,3426.09875465045,564
"2031/2032",2032,120,120,100,87.2422096984019,4771.59508421947,423
"2032/2033",2033,121,121,100,81.2705654418023,2200.60719945095,811
"2033/2034",2034,120,120,100,77.4686228878554,3888.07091452577,748
"2034/2035",2035,120,120,100,76.4118901998536,4396.47658751882,671
"2035/2036",2036,120,120,100,83.1406645161233,3922.28149046656,562
"2036/2037",2037,121,121,100,81.6987692777666,2670.47307396354,785
"2037/2038",2038,120,120,100,82.185631425441,4569.47834442323,479
"2038/2039",2039,120,120,100,89.5868552415277,5609.47174420441,218
"2039/2040",2040,120,120,100,86.1387150804758,4213.2030526218,334
"2040/2041",2041,121,121,100,87.5177353298222,4032.02534228051,330
"2041/2042",2042,120,120,100,84.1454319678396,6150.9077977729,327
"2042/2043",2043,120,120,100,82.7024528277398,2115.93642888172,747
"2043/2044",2044,120,120,100,86.7051278276513,4044.5517115104,298
"2044/2045",2045,121,121,100,80.900191618045,2113.87507827813,814
"2045/2046",2046,120,120,100,78.6699174345868,4316.22989556752,639
"2046/2047",2047,120,120,100,81.2715664523012,3510.28839779831,681
"2047/2048",2048,120,120,100,86.1183134193516,2634.67275128234,498
