"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,80.2328094704037,5078.60388104569,575
"2002/2003",2003,120,120,100,80.0310856813972,2224.94126315774,836
"2003/2004",2004,120,120,100,88.4856660332237,3040.56509557925,461
"2004/2005",2005,121,121,100,87.9552371162763,5347.09791862435,334
"2005/2006",2006,120,120,100,82.5773113495031,3500.59159275581,521
"2006/2007",2007,120,120,100,81.573200962716,3720.90870307042,564
"2007/2008",2008,120,120,100,79.4669162306278,1778.0597959829,732
"2008/2009",2009,121,121,100,84.4437904314434,4988.48314772302,427
"2009/2010",2010,120,120,100,87.7973428012176,2977.73989118612,268
"2010/2011",2011,120,120,100,86.5479703254402,2936.84677809197,396
"2011/2012",2012,120,120,100,76.921039680072,3438.39338176104,848
"2012/2013",2013,121,121,100,87.1219393560696,2907.2005743921,502
"2013/2014",2014,120,120,100,73.4164833702207,3214.51036373083,1139
"2014/2015",2015,120,120,100,82.6615160437418,4213.83746980957,488
"2015/2016",2016,120,120,100,82.7105493322492,3794.5686544436,638
"2016/2017",2017,121,121,100,81.0985711214371,5161.22257310862,639
"2017/2018",2018,120,120,100,80.5307520660735,3058.69371928833,744
"2018/2019",2019,120,120,100,84.0875363601835,3269.50871915556,593
"2019/2020",2020,120,120,100,84.7226116914999,5233.60342368647,386
"2020/2021",2021,121,121,100,81.1438138494059,2315.08225345216,830
"2021/2022",2022,120,120,100,76.6820032641717,4871.23085200251,663
"2022/2023",2023,120,120,100,88.17133203392,3078.1621166619,324
"2023/2024",2024,120,120,100,85.2812915057089,5504.68223664281,260
"2024/2025",2025,121,121,100,85.0950634806245,3218.60232529533,474
"2025/2026",2026,120,120,100,72.9333653734852,2160.59806136531,1233
"2026/2027",2027,120,120,100,86.2097502442894,4509.6975392038,428
"2027/2028",2028,120,120,100,81.6578539881498,1325.67224125727,733
"2028/2029",2029,121,121,100,82.1256678253808,4222.13780445326,573
"2029/2030",2030,120,120,100,79.4781895350675,3948.28386228671,677
"2030/2031",2031,120,120,100,82.6098613818585,3402.01571623143,650
"2031/2032",2032,120,120,100,87.2255659066286,4204.82803821913,408
"2032/2033",2033,121,121,100,81.4552097813876,1995.14335848903,868
"2033/2034",2034,120,120,100,77.9027452235641,3442.80185541604,759
"2034/2035",2035,120,120,100,77.4608598415352,4267.58233128535,686
"2035/2036",2036,120,120,100,82.7668912620329,3687.98899259651,606
"2036/2037",2037,121,121,100,80.9385973624585,2256.76108123548,807
"2037/2038",2038,120,120,100,84.2911612875077,3876.4833284975,466
"2038/2039",2039,120,120,100,87.7886746635304,5411.61352603184,252
"2039/2040",2040,120,120,100,85.1458954513864,4073.24973399565,415
"2040/2041",2041,121,121,100,86.1878968627543,3766.85861083725,372
"2041/2042",2042,120,120,100,84.769940280853,5407.54828081047,329
"2042/2043",2043,120,120,100,80.9839018374332,1951.33407560084,783
"2043/2044",2044,120,120,100,87.6449528767007,3424.74465306615,337
"2044/2045",2045,121,121,100,79.4690662771054,1836.23322879756,887
"2045/2046",2046,120,120,100,78.5084776229432,3953.13605887908,687
"2046/2047",2047,120,120,100,81.7128204343144,3194.40209143516,702
"2047/2048",2048,120,120,100,85.0000661422264,2241.10828454513,510
"2048/2049",2049,121,121,100,81.8346067489138,2209.17582691461,737
"2049/2050",2050,120,120,100,81.0657399536531,1141.70731233899,816
"2050/2051",2051,120,120,100,79.1479188053981,4359.19816215057,596
"2051/2052",2052,120,120,100,80.8678960825528,5398.44748978317,459
"2052/2053",2053,121,121,100,82.6542536934676,4830.79973101849,418
"2053/2054",2054,120,120,100,87.1397112620389,4501.19577691052,330
"2054/2055",2055,120,120,100,83.7576376474781,3059.97101053782,521
"2055/2056",2056,120,120,100,75.9140962805295,5503.28891889472,506
"2056/2057",2057,121,121,100,78.9822006387822,2963.86859806627,730
"2057/2058",2058,120,120,100,88.0982785301849,3584.04939961247,311
"2058/2059",2059,120,120,100,79.5166657166865,2108.29436816229,791
"2059/2060",2060,120,120,100,83.3161805671843,4630.86766054248,556
