"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,82.1261999318931,6480.61246793661,454
"2002/2003",2003,120,120,100,82.7092979434056,2751.31940530559,717
"2003/2004",2004,120,120,100,88.4248106303277,4008.36664860079,309
"2004/2005",2005,121,121,100,86.3075918738169,6834.73723160665,269
"2005/2006",2006,120,120,100,84.0241471041146,4793.8842762959,438
"2006/2007",2007,120,120,100,83.7647632089069,4762.81915495498,441
"2007/2008",2008,120,120,100,82.6860615907981,2347.61790340609,553
"2008/2009",2009,121,121,100,84.2756301490501,6414.25239961571,378
"2009/2010",2010,120,120,100,88.5275398018825,4183.96918634023,212
"2010/2011",2011,120,120,100,84.9563623881363,4038.43852135923,345
"2011/2012",2012,120,120,100,75.1950676963795,4645.04789765214,725
"2012/2013",2013,121,121,100,86.0993641332598,3914.80624605413,406
"2013/2014",2014,120,120,100,73.6727013050452,4297.92679606541,1019
"2014/2015",2015,120,120,100,82.0930570186936,5391.20330598485,417
"2015/2016",2016,120,120,100,79.5819823143879,5178.75444423174,531
"2016/2017",2017,121,121,100,79.296990420019,6168.46896390407,473
"2017/2018",2018,120,120,100,78.8990575035373,4213.95092961309,637
"2018/2019",2019,120,120,100,83.6564127335732,4295.35313097085,471
"2019/2020",2020,120,120,100,84.1694125910044,6514.85641580052,299
"2020/2021",2021,121,121,100,82.4637028349107,3204.86611239007,715
"2021/2022",2022,120,120,100,76.8135033645999,6241.97715634084,616
"2022/2023",2023,120,120,100,87.4402450602111,4481.15207084152,297
"2023/2024",2024,120,120,100,86.4113900128368,6798.28835577378,170
"2024/2025",2025,121,121,100,86.8335476249363,3914.7358905552,327
"2025/2026",2026,120,120,100,73.8551456143323,2421.16431435593,1024
"2026/2027",2027,120,120,100,86.9480506381401,5636.26694963756,292
"2027/2028",2028,120,120,100,81.6141590658131,2228.33720486332,697
"2028/2029",2029,121,121,100,82.1828075533435,5698.62770908792,472
"2029/2030",2030,120,120,100,81.1632736711563,4639.4329208557,526
"2030/2031",2031,120,120,100,85.6825928001304,4183.33164338418,528
"2031/2032",2032,120,120,100,84.1148096271918,5573.69748653891,351
"2032/2033",2033,121,121,100,82.8840091947859,2658.41632723529,727
"2033/2034",2034,120,120,100,76.5527098160946,4635.83057081234,655
"2034/2035",2035,120,120,100,78.0881496832253,5327.70064620022,557
"2035/2036",2036,120,120,100,83.8730788851153,4683.02571109263,480
"2036/2037",2037,121,121,100,83.0883103506194,3154.44783195807,675
"2037/2038",2038,120,120,100,80.7148542952127,5510.64382635476,414
"2038/2039",2039,120,120,100,88.5192986602424,6670.36125919782,187
"2039/2040",2040,120,120,100,85.43043144682,5153.19796248386,289
"2040/2041",2041,121,121,100,88.2223667794724,4946.17469656561,277
"2041/2042",2042,120,120,100,84.6911729460771,7340.09497188451,318
"2042/2043",2043,120,120,100,84.5681408337396,2744.48849133728,659
"2043/2044",2044,120,120,100,87.2719167748219,4912.77569765644,280
"2044/2045",2045,121,121,100,79.8852346346202,2827.06058836728,755
"2045/2046",2046,120,120,100,79.8016660756075,5141.16765608126,604
"2046/2047",2047,120,120,100,79.5329925318929,4405.65422470402,646
"2047/2048",2048,120,120,100,86.5426124761034,3369.73413732974,413
"2048/2049",2049,121,121,100,83.9181275100864,3089.36272070883,660
"2049/2050",2050,120,120,100,82.914980181089,1678.29941010289,636
"2050/2051",2051,120,120,100,78.3099452744045,5310.23179703858,442
"2051/2052",2052,120,120,100,82.4090519690981,6534.03904092032,339
"2052/2053",2053,121,121,100,84.4982007863282,5766.09053634945,311
"2053/2054",2054,120,120,100,85.5490855889539,6100.57734541548,277
"2054/2055",2055,120,120,100,85.3449525948427,4226.18740544375,443
"2055/2056",2056,120,120,100,76.9671347516178,6496.02875252347,346
"2056/2057",2057,121,121,100,80.8290095837365,3773.07819537399,626
"2057/2058",2058,120,120,100,87.142324798293,4962.23884857353,253
"2058/2059",2059,120,120,100,80.3985194806855,3012.0641847495,690
"2059/2060",2060,120,120,100,77.7057734034925,6414.66409529047,535
"2060/2061",2061,121,121,100,78.0926614279379,7645.19286480919,393
"2061/2062",2062,120,120,100,80.7989750834713,2359.23146981932,687
"2062/2063",2063,120,120,100,83.786489342614,3065.46231522271,536
"2063/2064",2064,120,120,100,82.4161592566652,4622.49424717389,609
"2064/2065",2065,121,121,100,88.9040904019494,4131.90040835086,309
"2065/2066",2066,120,120,100,90.509100285688,4213.35939130187,240
"2066/2067",2067,120,120,100,78.663608376397,2717.77275055833,788
"2067/2068",2068,120,120,100,86.3057062237222,7281.59863198362,399
"2068/2069",2069,121,121,100,83.2321709155112,4396.83313134685,539
"2069/2070",2070,120,120,100,84.126591588989,4721.9089168245,500
"2070/2071",2071,120,120,100,83.4168921404853,4886.53898677696,328
"2071/2072",2072,120,120,100,79.0162913909171,4481.75097999629,672
"2072/2073",2073,121,121,100,84.7446637354642,7549.54349784274,290
"2073/2074",2074,120,120,100,73.2687912119618,6370.74931025039,689
"2074/2075",2075,120,120,100,82.9500659380919,6421.23819311429,436
"2075/2076",2076,120,120,100,84.8354843403758,6581.40931926109,179
"2076/2077",2077,121,121,100,83.9499433432247,2598.76614338532,599
"2077/2078",2078,120,120,100,84.6795506134877,2725.30085870437,562
"2078/2079",2079,120,120,100,84.7723521698772,4170.30819073599,413
"2079/2080",2080,120,120,100,87.6003263179882,5515.89109664876,215
"2080/2081",2081,121,121,100,79.2981240330828,5719.27499795053,622
"2081/2082",2082,120,120,100,81.4160452555843,5772.40760150459,369
"2082/2083",2083,120,120,100,83.7740742563637,5916.00261204876,425
"2083/2084",2084,120,120,100,85.0677616988996,3142.70955365337,498
"2084/2085",2085,121,121,100,81.6072004020316,3976.22457612399,574
"2085/2086",2086,120,120,100,80.9580747866657,4783.6227849545,594
"2086/2087",2087,120,120,100,83.4208341219583,3890.44410988688,554
"2087/2088",2088,120,120,100,78.5941545627538,4692.24434147775,626
"2088/2089",2089,121,121,100,85.0813357005354,4462.84331077244,542
"2089/2090",2090,120,120,100,83.9341585388975,2830.87722955551,566
"2090/2091",2091,120,120,100,80.1475725225791,4352.77093348373,714
"2091/2092",2092,120,120,100,85.2368775703799,2872.5496682087,550
"2092/2093",2093,121,121,100,83.1987267086006,5913.83895377722,449
"2093/2094",2094,120,120,100,77.3000781663704,5846.61697866768,787
"2094/2095",2095,120,120,100,87.7477155054712,3877.56469749007,413
"2095/2096",2096,120,120,100,81.0123850035052,6833.07781586982,253
"2096/2097",2097,121,121,100,72.6696943741917,8008.65351557359,499
"2097/2098",2098,120,120,100,79.7241276349323,4712.19437219109,720
"2098/2099",2099,120,120,100,84.2335439961007,4524.01954716817,468
"2099/2100",2100,120,120,100,86.2876559932356,4827.42880016845,224
"2100/2101",2101,120,120,100,83.9812732403443,5093.02098616771,478
