"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,82.8017690343123,5938.43780601607,440
"2002/2003",2003,120,120,100,82.5572531370379,2524.02153627956,730
"2003/2004",2004,120,120,100,88.7336725538197,3858.60931109538,356
"2004/2005",2005,121,121,100,85.2225098231731,6834.05995986841,325
"2005/2006",2006,120,120,100,82.4926109598356,4508.35540061002,465
"2006/2007",2007,120,120,100,84.1297760849586,4500.89166913606,465
"2007/2008",2008,120,120,100,82.4550537150445,2187.35461096332,586
"2008/2009",2009,121,121,100,83.1221352428042,6257.84986677376,415
"2009/2010",2010,120,120,100,87.396412959702,4095.99414050137,246
"2010/2011",2011,120,120,100,85.1511595848524,3881.75040389725,367
"2011/2012",2012,120,120,100,76.2247109543896,4318.25765347295,751
"2012/2013",2013,121,121,100,87.0297836335169,3742.32850157726,446
"2013/2014",2014,120,120,100,74.0609676843987,3942.66825699131,1026
"2014/2015",2015,120,120,100,83.2805535249227,5050.41139933723,403
"2015/2016",2016,120,120,100,79.7627651775015,4917.35028551368,545
"2016/2017",2017,121,121,100,80.5640240852726,5799.30276527628,483
"2017/2018",2018,120,120,100,79.5415182183356,3926.9399248797,655
"2018/2019",2019,120,120,100,85.2663826161765,4044.78530076961,517
"2019/2020",2020,120,120,100,83.0411473487848,6332.54285786115,316
"2020/2021",2021,121,121,100,82.9482343031841,3005.51235898561,763
"2021/2022",2022,120,120,100,75.6530563497336,5925.89549831371,638
"2022/2023",2023,120,120,100,87.9173462456206,4115.48103116872,313
"2023/2024",2024,120,120,100,86.752866817721,6475.05055510043,183
"2024/2025",2025,121,121,100,87.8808599975932,3761.95481741568,355
"2025/2026",2026,120,120,100,74.1083709543914,2361.0261382109,1049
"2026/2027",2027,120,120,100,87.7144052151079,5324.13281429838,325
"2027/2028",2028,120,120,100,82.0113565091578,2176.53454645071,725
"2028/2029",2029,121,121,100,80.5082066136988,5425.16179085034,500
"2029/2030",2030,120,120,100,83.5259043034926,4266.09089957923,547
"2030/2031",2031,120,120,100,84.6356189773242,3845.958037592,510
"2031/2032",2032,120,120,100,86.1706375107924,5383.88406947511,377
"2032/2033",2033,121,121,100,82.6406474571186,2528.49246489094,764
"2033/2034",2034,120,120,100,77.3536885532039,4380.03472895874,701
"2034/2035",2035,120,120,100,77.3426076564856,4958.15624517715,623
"2035/2036",2036,120,120,100,84.8507337791216,4414.05671784701,497
"2036/2037",2037,121,121,100,82.8914654949849,3057.54511824483,719
"2037/2038",2038,120,120,100,81.4650265456557,5229.80162122985,455
"2038/2039",2039,120,120,100,89.179490025097,6269.42614616454,190
"2039/2040",2040,120,120,100,85.1707171398921,4753.56855637953,289
"2040/2041",2041,121,121,100,89.2386723922236,4562.18472508434,290
"2041/2042",2042,120,120,100,83.8795328004853,7000.32468508696,305
"2042/2043",2043,120,120,100,83.6759434892201,2488.7782414644,673
"2043/2044",2044,120,120,100,87.0488074902623,4672.31844540127,288
"2044/2045",2045,121,121,100,79.8437223359551,2579.87828360032,757
"2045/2046",2046,120,120,100,79.6142519440646,4844.80816541146,593
"2046/2047",2047,120,120,100,79.6620746068802,4074.9240215933,661
"2047/2048",2048,120,120,100,87.0095177956464,3135.88245012751,444
"2048/2049",2049,121,121,100,83.7544132235653,2842.12779051624,683
"2049/2050",2050,120,120,100,83.094316159646,1585.27209178358,682
"2050/2051",2051,120,120,100,81.4765154199658,5013.73000291921,486
"2051/2052",2052,120,120,100,81.1562498007461,6092.2906682631,339
"2052/2053",2053,121,121,100,85.2437303484321,5450.03360348474,332
"2053/2054",2054,120,120,100,84.9980555347911,5769.97189352987,288
"2054/2055",2055,120,120,100,85.0437413141708,3867.59614171507,460
"2055/2056",2056,120,120,100,77.3177853353391,6140.10407831473,358
"2056/2057",2057,121,121,100,79.9809813807342,3622.57010846306,660
"2057/2058",2058,120,120,100,86.5613142445754,4668.93951159669,265
"2058/2059",2059,120,120,100,80.346482838766,2735.91094298288,726
"2059/2060",2060,120,120,100,79.438108159995,6103.26055454463,539
"2060/2061",2061,121,121,100,79.1078862484501,7348.21993590426,427
"2061/2062",2062,120,120,100,80.5349001069662,2254.60069430713,709
"2062/2063",2063,120,120,100,82.7037779223756,2774.94223018596,560
"2063/2064",2064,120,120,100,80.7605700425538,4440.26594248181,669
"2064/2065",2065,121,121,100,87.1170099870524,4092.5641476321,362
"2065/2066",2066,120,120,100,90.56950439498,3908.02757902676,245
"2066/2067",2067,120,120,100,77.8556741645425,2700.96700055245,834
"2067/2068",2068,120,120,100,84.5261419081598,7175.52565474808,423
"2068/2069",2069,121,121,100,83.456684963041,4200.23890433088,571
"2069/2070",2070,120,120,100,81.5187769705881,4562.27314176876,519
"2070/2071",2071,120,120,100,84.2807738328775,4528.51236716472,352
"2071/2072",2072,120,120,100,78.2748077178439,4148.02271187305,695
"2072/2073",2073,121,121,100,85.0723655434103,7340.43704744801,304
