"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,81.0415630795211,4259.16201483205,589
"2002/2003",2003,120,120,100,78.5963781981462,1708.80437614516,889
"2003/2004",2004,120,120,100,86.8323281522717,2573.40884613653,524
"2004/2005",2005,121,121,100,85.8540027512781,5014.16305703184,423
"2005/2006",2006,120,120,100,83.7742780036252,3078.4087303683,580
"2006/2007",2007,120,120,100,81.979107802598,3132.76353034785,642
"2007/2008",2008,120,120,100,78.5694751724375,1389.85372632719,756
"2008/2009",2009,121,121,100,84.321589208125,4581.56741590321,512
"2009/2010",2010,120,120,100,87.4101731345775,2722.31297697552,336
"2010/2011",2011,120,120,100,83.7334467927099,2549.44496555126,468
"2011/2012",2012,120,120,100,74.7306604905471,3080.32449972758,921
"2012/2013",2013,121,121,100,85.3189268832346,2468.83121398336,560
"2013/2014",2014,120,120,100,73.1122072248118,2741.09322775621,1166
"2014/2015",2015,120,120,100,82.6589236411128,3584.15337729594,520
"2015/2016",2016,120,120,100,81.6867697543607,3465.11775739735,703
"2016/2017",2017,121,121,100,82.0063159768397,4361.0252241987,659
"2017/2018",2018,120,120,100,77.787483019978,2705.61621600937,836
"2018/2019",2019,120,120,100,83.7086343052101,2753.78685459914,689
"2019/2020",2020,120,120,100,84.146381176718,4649.15474873292,441
"2020/2021",2021,121,121,100,80.413963337729,2006.94381385762,926
"2021/2022",2022,120,120,100,75.6383349158732,4452.31983203487,750
"2022/2023",2023,120,120,100,85.8102817857944,2712.29790592962,391
"2023/2024",2024,120,120,100,85.7285831666659,4746.78084142786,282
"2024/2025",2025,121,121,100,85.0710061243435,2611.23015254037,539
"2025/2026",2026,120,120,100,71.7144751801043,1713.59957197355,1323
"2026/2027",2027,120,120,100,87.0867197311732,3796.7029431439,456
"2027/2028",2028,120,120,100,78.2187382958627,1324.14850775106,887
"2028/2029",2029,121,121,100,83.0553347471296,3877.11887040897,649
"2029/2030",2030,120,120,100,80.5464333079108,3108.30833072215,755
"2030/2031",2031,120,120,100,83.1712200266666,2692.20383572159,668
"2031/2032",2032,120,120,100,86.2292952003636,3745.34804451698,483
"2032/2033",2033,121,121,100,78.5779732645324,1637.01701820106,923
"2033/2034",2034,120,120,100,75.8926946270749,3141.40783060738,841
"2034/2035",2035,120,120,100,78.488931613846,3639.63775590248,789
"2035/2036",2036,120,120,100,83.0560051143148,3042.16834536591,657
"2036/2037",2037,121,121,100,79.2961835230226,2035.89618168841,922
"2037/2038",2038,120,120,100,82.4275362004901,3628.71612384683,550
"2038/2039",2039,120,120,100,88.9902755292951,4482.29803054174,269
"2039/2040",2040,120,120,100,86.6086344248924,3355.40067639202,428
"2040/2041",2041,121,121,100,85.4921950538419,3180.6351867565,421
"2041/2042",2042,120,120,100,85.2827362465423,4922.17004533345,379
"2042/2043",2043,120,120,100,79.6197823978209,1627.54227028694,914
