"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,82.0074779703774,4312.72504303459,536
"2002/2003",2003,120,120,100,80.8273311230405,2014.80530215669,864
"2003/2004",2004,120,120,100,87.4153435292853,2741.44864126152,462
"2004/2005",2005,121,121,100,86.6614194019761,5053.63319959899,349
"2005/2006",2006,120,120,100,83.869399111851,3011.23736807145,542
"2006/2007",2007,120,120,100,81.9855512896852,3139.82831956306,553
"2007/2008",2008,120,120,100,77.2031685733737,1538.04519238608,790
"2008/2009",2009,121,121,100,85.6332562392311,4645.73634886695,474
"2009/2010",2010,120,120,100,87.5298856968791,2761.86140372389,315
"2010/2011",2011,120,120,100,84.7419062357303,2620.1803326942,378
"2011/2012",2012,120,120,100,76.6451802718525,3064.69458974386,876
"2012/2013",2013,121,121,100,86.7335600745123,2461.44823626638,499
"2013/2014",2014,120,120,100,73.5872388311132,2502.98787338391,1137
"2014/2015",2015,120,120,100,84.1327678059838,3593.40067118115,480
"2015/2016",2016,120,120,100,82.5781813736976,3243.32529813086,663
"2016/2017",2017,121,121,100,82.7602659111981,4553.18794596847,635
"2017/2018",2018,120,120,100,78.300453245316,2579.41632280755,755
"2018/2019",2019,120,120,100,84.9119177122438,2772.60807669361,606
"2019/2020",2020,120,120,100,84.4054652187542,4763.88067297311,379
"2020/2021",2021,121,121,100,82.1647639780281,1950.19683693815,829
"2021/2022",2022,120,120,100,79.4985734464321,4098.12456415454,646
"2022/2023",2023,120,120,100,87.0261266195444,2620.26336465916,324
"2023/2024",2024,120,120,100,87.0840089570179,4956.07598948409,247
"2024/2025",2025,121,121,100,84.7328758212452,2996.09078532807,514
"2025/2026",2026,120,120,100,70.149884731838,1890.07691584714,1281
"2026/2027",2027,120,120,100,87.7145942698849,3925.56367347692,433
"2027/2028",2028,120,120,100,79.2100870242857,1169.83800213784,771
"2028/2029",2029,121,121,100,83.1145554734803,3621.52677053027,575
"2029/2030",2030,120,120,100,79.662984015953,3387.06445324211,668
"2030/2031",2031,120,120,100,83.4063997632638,2952.61890742788,663
"2031/2032",2032,120,120,100,87.0165490286263,3675.05822217348,405
"2032/2033",2033,121,121,100,80.301866496995,1729.51090246812,904
"2033/2034",2034,120,120,100,78.1896492124533,2924.91543218796,740
"2034/2035",2035,120,120,100,79.5509357501714,3572.32593649859,662
"2035/2036",2036,120,120,100,83.5882536265199,3118.81181637687,585
"2036/2037",2037,121,121,100,80.633432884275,1884.3114718236,836
"2037/2038",2038,120,120,100,83.8865684952725,3404.49161599553,492
"2038/2039",2039,120,120,100,88.8584658586788,4847.04636295186,238
"2039/2040",2040,120,120,100,85.413955210619,3395.88442726899,402
"2040/2041",2041,121,121,100,86.4178973484677,3389.98714210652,382
"2041/2042",2042,120,120,100,86.9933994559942,4759.14829477621,318
"2042/2043",2043,120,120,100,79.7322171201313,1675.3682992449,817
"2043/2044",2044,120,120,100,88.1465333767364,2952.68503017817,335
"2044/2045",2045,121,121,100,78.1128227189411,1408.49098532414,891
"2045/2046",2046,120,120,100,79.2545491222618,3337.81646362925,671
"2046/2047",2047,120,120,100,80.3679289651473,2637.46347154723,711
"2047/2048",2048,120,120,100,86.3860052990512,1873.58757606382,512
"2048/2049",2049,121,121,100,82.5466091765402,1742.7604868398,713
"2049/2050",2050,120,120,100,81.4415728621434,904.286527722608,830
"2050/2051",2051,120,120,100,80.8142288460485,3676.2691187365,590
"2051/2052",2052,120,120,100,81.8016606413248,4688.9964119643,445
"2052/2053",2053,121,121,100,83.6782560703614,4300.55693168519,411
"2053/2054",2054,120,120,100,86.7812073435598,3979.55010891613,333
"2054/2055",2055,120,120,100,84.7749307102713,2464.38347679842,506
"2055/2056",2056,120,120,100,78.1992881789483,4774.4424456046,506
"2056/2057",2057,121,121,100,77.4022514818153,2739.11565160146,715
"2057/2058",2058,120,120,100,88.3467775928384,3128.65639095195,308
"2058/2059",2059,120,120,100,79.4550710083295,1691.86270428263,803
"2059/2060",2060,120,120,100,82.9389800681311,3918.62871635705,523
"2060/2061",2061,121,121,100,84.9392934142506,5128.24048191076,438
"2061/2062",2062,120,120,100,78.2763714069297,1432.11466347799,806
"2062/2063",2063,120,120,100,80.2218032604014,2292.90797386365,727
"2063/2064",2064,120,120,100,81.545162471466,2855.03127763234,727
"2064/2065",2065,121,121,100,84.9280802875601,3143.06104586972,504
"2065/2066",2066,120,120,100,89.4741895971747,2618.95686240122,292
"2066/2067",2067,120,120,100,77.7369382746801,1592.89075431973,947
"2067/2068",2068,120,120,100,86.7257588250341,5187.34878364485,424
"2068/2069",2069,121,121,100,84.0570668107921,2785.58184916293,677
"2069/2070",2070,120,120,100,83.6741113749504,2839.18053271621,541
"2070/2071",2071,120,120,100,81.9867256578382,3802.91931189084,546
"2071/2072",2072,120,120,100,78.9044610962465,3090.32588306721,733
"2072/2073",2073,121,121,100,88.179402053931,5401.62224473618,336
"2073/2074",2074,120,120,100,73.9519618457671,4423.11644876096,762
"2074/2075",2075,120,120,100,82.4840683314687,4903.51356928004,567
"2075/2076",2076,120,120,100,89.0717231795825,4548.19008741155,221
"2076/2077",2077,121,121,100,81.3100759500085,1758.88807921018,822
"2077/2078",2078,120,120,100,82.5452244745848,1601.42676180508,767
"2078/2079",2079,120,120,100,85.321313239876,2602.09993739612,494
"2079/2080",2080,120,120,100,84.5395135270792,4268.25272234716,341
"2080/2081",2081,121,121,100,84.8813431142498,3126.15788094699,619
"2081/2082",2082,120,120,100,84.8154554273951,3513.72412211169,388
"2082/2083",2083,120,120,100,84.4972934469351,3826.70286405459,465
"2083/2084",2084,120,120,100,81.6235021176835,2370.31803621538,685
"2084/2085",2085,121,121,100,79.6210042551793,2440.80260377843,647
"2085/2086",2086,120,120,100,84.7299871194973,2701.0730708316,622
"2086/2087",2087,120,120,100,83.5361846901451,2259.09830722678,622
"2087/2088",2088,120,120,100,82.4984651028171,2781.54459906276,696
"2088/2089",2089,121,121,100,84.2582859825106,2632.7383145364,571
"2089/2090",2090,120,120,100,82.7413753804594,1691.43730465416,674
"2090/2091",2091,120,120,100,80.6375288360432,2421.17443655338,784
"2091/2092",2092,120,120,100,83.3347465889728,1562.03334851284,644
"2092/2093",2093,121,121,100,85.4426720328283,4005.84194298927,550
"2093/2094",2094,120,120,100,79.0993254763598,3478.014098268,807
"2094/2095",2095,120,120,100,88.0837130528671,2224.8195538912,497
"2095/2096",2096,120,120,100,84.1400442683607,4450.36070088111,261
"2096/2097",2097,121,121,100,76.5312367635561,5987.53412839212,665
"2097/2098",2098,120,120,100,79.227876248442,2818.31327257771,787
"2098/2099",2099,120,120,100,85.9178683660502,2896.09351872187,523
"2099/2100",2100,120,120,100,89.2170378547362,2986.62141687423,255
"2100/2101",2101,120,120,100,85.7882279540881,3107.58637469169,544
