"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,82.4789436301102,6758.77216609792,350
"2002/2003",2003,120,120,100,84.100877826775,3227.00126624407,653
"2003/2004",2004,120,120,100,88.7884272829881,4451.00433742226,249
"2004/2005",2005,121,121,100,85.6099057651697,7558.92707477909,199
"2005/2006",2006,120,120,100,83.8464055356872,5087.31019117153,396
"2006/2007",2007,120,120,100,84.0975926011293,5017.69833171554,343
"2007/2008",2008,120,120,100,84.3075488411221,2587.72030646028,494
"2008/2009",2009,121,121,100,82.9390024639908,7063.82217609056,289
"2009/2010",2010,120,120,100,88.9587753031597,4708.24479032331,162
"2010/2011",2011,120,120,100,87.505321971521,4390.46396381338,236
"2011/2012",2012,120,120,100,78.5008770867719,4880.44456275634,649
"2012/2013",2013,121,121,100,89.3070816643328,4171.4004567602,328
"2013/2014",2014,120,120,100,77.0269089074718,4213.86386235012,910
"2014/2015",2015,120,120,100,85.5918047524779,5635.57280598453,332
"2015/2016",2016,120,120,100,83.2651957330168,5441.71818488277,455
"2016/2017",2017,121,121,100,81.6183773404646,6622.29142481368,392
"2017/2018",2018,120,120,100,81.302315041462,4269.03015076625,544
"2018/2019",2019,120,120,100,85.8205981633,4587.8563202729,401
"2019/2020",2020,120,120,100,85.6400990481529,7230.73425148125,246
"2020/2021",2021,121,121,100,84.4894248864084,3393.3288029558,603
"2021/2022",2022,120,120,100,77.2761400649451,6182.15845437627,462
"2022/2023",2023,120,120,100,88.7812890199834,4583.68556011072,192
"2023/2024",2024,120,120,100,86.5291917034592,7321.33690692275,102
"2024/2025",2025,121,121,100,87.1465415471816,4645.73091750825,258
"2025/2026",2026,120,120,100,75.5883700994841,2801.88203885034,964
"2026/2027",2027,120,120,100,87.9559350426453,6129.32067461754,236
"2027/2028",2028,120,120,100,84.8674907429481,2376.50229991367,539
"2028/2029",2029,121,121,100,82.5164766764906,5803.09783398802,372
"2029/2030",2030,120,120,100,82.768063186792,5095.01115865633,429
"2030/2031",2031,120,120,100,85.8725626359228,4590.24575272412,431
"2031/2032",2032,120,120,100,88.0121972697134,6009.6236515129,261
"2032/2033",2033,121,121,100,84.3285099152336,2995.94345935341,661
"2033/2034",2034,120,120,100,79.2848798453324,4596.22081669047,535
"2034/2035",2035,120,120,100,79.3200862838457,5450.02938852832,457
"2035/2036",2036,120,120,100,86.7269285189868,5027.39495073818,382
"2036/2037",2037,121,121,100,85.0138085477665,3272.14717024751,568
"2037/2038",2038,120,120,100,83.2729615216003,5666.97985228151,342
"2038/2039",2039,120,120,100,87.923048238883,7384.06376554118,145
"2039/2040",2040,120,120,100,86.8207068895308,5357.46097879065,192
"2040/2041",2041,121,121,100,89.0665472718783,5400.02551335888,221
"2041/2042",2042,120,120,100,86.2258099316732,7769.09349834686,244
"2042/2043",2043,120,120,100,84.6336669810489,2954.77742254874,481
"2043/2044",2044,120,120,100,89.0878510411203,5149.35075096181,206
"2044/2045",2045,121,121,100,82.7411589522562,2786.74305986241,673
"2045/2046",2046,120,120,100,80.6870221843683,5150.15231743455,452
"2046/2047",2047,120,120,100,80.0864645339798,4532.38127763756,587
"2047/2048",2048,120,120,100,88.2682468709372,3513.86734430119,312
"2048/2049",2049,121,121,100,86.5531142589161,3221.18367021391,500
"2049/2050",2050,120,120,100,85.1615914117738,1773.80000364268,476
"2050/2051",2051,120,120,100,83.5563435355452,5471.54848136986,328
"2051/2052",2052,120,120,100,82.5035100034729,6911.28697133204,286
"2052/2053",2053,121,121,100,84.438111646482,6440.23599865241,272
"2053/2054",2054,120,120,100,85.9921228913499,6471.94844314782,185
"2054/2055",2055,120,120,100,87.2970708513803,4318.71369555686,346
"2055/2056",2056,120,120,100,79.7628603814201,6620.4022645345,245
"2056/2057",2057,121,121,100,83.3617375144595,4150.43045350304,522
"2057/2058",2058,120,120,100,88.3771235474342,5294.5517459088,180
"2058/2059",2059,120,120,100,83.0285723884481,3022.98746727034,523
"2059/2060",2060,120,120,100,82.2658556814076,6451.03111107694,429
"2060/2061",2061,121,121,100,81.29090127973,7815.61074084276,241
"2061/2062",2062,120,120,100,81.8090802016031,2594.99521390721,580
"2062/2063",2063,120,120,100,84.3247538963205,3505.62526668701,467
"2063/2064",2064,120,120,100,82.3661174063509,4910.75831749337,539
"2064/2065",2065,121,121,100,86.6244694129837,4881.00046736374,277
"2065/2066",2066,120,120,100,90.9192243190446,4556.63035863731,130
"2066/2067",2067,120,120,100,80.845765058677,2847.47262518853,687
"2067/2068",2068,120,120,100,84.4263619307039,7937.88897588663,306
"2068/2069",2069,121,121,100,86.0198749224292,4590.3917130027,459
"2069/2070",2070,120,120,100,86.2210916493186,4957.85673644673,420
"2070/2071",2071,120,120,100,85.4388438679543,5434.48210859206,259
"2071/2072",2072,120,120,100,79.4712344710497,4896.97195174452,545
"2072/2073",2073,121,121,100,84.7738687078017,8148.11703527998,260
"2073/2074",2074,120,120,100,75.7898582186681,6382.97786558326,574
"2074/2075",2075,120,120,100,82.2906522682588,7079.85208010394,376
"2075/2076",2076,120,120,100,86.6873046438595,7212.94726176374,111
"2076/2077",2077,121,121,100,85.295501667948,2921.74152918998,493
"2077/2078",2078,120,120,100,85.9691945220875,2992.12087379675,486
"2078/2079",2079,120,120,100,86.9308033846282,4482.16815288737,333
"2079/2080",2080,120,120,100,85.4518127945121,6458.80458194669,187
"2080/2081",2081,121,121,100,84.2793418291822,5670.34078394808,512
"2081/2082",2082,120,120,100,83.8565714585202,5809.76820179168,258
"2082/2083",2083,120,120,100,84.6814768941531,6168.49008912407,315
"2083/2084",2084,120,120,100,85.2981049670943,3665.84622645099,407
"2084/2085",2085,121,121,100,84.6879618953608,4092.33539704513,422
"2085/2086",2086,120,120,100,84.3824142510275,4798.65299382526,457
"2086/2087",2087,120,120,100,85.0235485371013,3922.50820724573,393
"2087/2088",2088,120,120,100,81.416392202329,4751.28192839585,536
"2088/2089",2089,121,121,100,86.5375733689398,4581.37873183191,413
"2089/2090",2090,120,120,100,86.4506771406814,3023.77283640672,465
"2090/2091",2091,120,120,100,81.9879111433711,4337.78205470368,553
"2091/2092",2092,120,120,100,86.4365767788131,2984.76618203148,403
"2092/2093",2093,121,121,100,84.2538610343072,6252.2975043077,380
"2093/2094",2094,120,120,100,79.3190306789456,5813.9512100881,610
"2094/2095",2095,120,120,100,88.2777953683726,4112.60848882142,292
"2095/2096",2096,120,120,100,82.9055518199257,6980.13890160713,165
"2096/2097",2097,121,121,100,74.9217293451347,8184.35223052092,343
"2097/2098",2098,120,120,100,81.1383930874181,4735.68337446079,572
"2098/2099",2099,120,120,100,85.3966322872984,4821.87659374531,389
"2099/2100",2100,120,120,100,90.0805074165073,5001.8336269604,128
"2100/2101",2101,120,120,100,85.4411336638404,5357.89152028132,382
