"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,81.6352872498403,5332.15540440385,581
"2002/2003",2003,120,120,100,80.8900244921959,2065.32104600267,837
"2003/2004",2004,120,120,100,88.0023685758305,3073.2906402096,442
"2004/2005",2005,121,121,100,86.6520654518116,5545.02546264205,350
"2005/2006",2006,120,120,100,83.6547047109668,3788.38579514518,528
"2006/2007",2007,120,120,100,82.5914574667216,3800.20717245532,573
"2007/2008",2008,120,120,100,80.0050419886737,1746.5418366259,680
"2008/2009",2009,121,121,100,84.5047258560514,5216.84421812586,447
"2009/2010",2010,120,120,100,86.6262557825501,3140.59203988523,266
"2010/2011",2011,120,120,100,85.7102791709722,3051.20321462746,424
"2011/2012",2012,120,120,100,75.5149409786927,3781.93601395586,853
"2012/2013",2013,121,121,100,86.7900604103706,3021.1308899069,484
"2013/2014",2014,120,120,100,73.2074510475838,3545.88011467876,1127
"2014/2015",2015,120,120,100,80.7839485644517,4419.12816544028,477
"2015/2016",2016,120,120,100,81.1224595232461,4112.60769510083,622
"2016/2017",2017,121,121,100,79.8677985491172,5222.53995027218,607
"2017/2018",2018,120,120,100,77.4845699231164,3431.85366121866,781
"2018/2019",2019,120,120,100,83.2901987370565,3397.41529002902,591
"2019/2020",2020,120,120,100,86.3850687898303,5252.64799053036,375
"2020/2021",2021,121,121,100,81.4251128539095,2458.8589536075,847
"2021/2022",2022,120,120,100,73.9491101358958,5320.65287364996,720
"2022/2023",2023,120,120,100,86.3465167842241,3491.73940228159,371
"2023/2024",2024,120,120,100,87.0206090771921,5548.55037402874,246
"2024/2025",2025,121,121,100,85.8663643076497,3000.20957259927,441
"2025/2026",2026,120,120,100,73.2950796612827,1956.84640797344,1177
"2026/2027",2027,120,120,100,85.3166150133998,4542.8495822167,385
"2027/2028",2028,120,120,100,80.6525458580509,1592.05620008078,824
"2028/2029",2029,121,121,100,82.3013651265333,4701.64599312819,571
"2029/2030",2030,120,120,100,81.7512382661962,3795.36482387315,692
"2030/2031",2031,120,120,100,83.9286336452715,3316.23674594262,612
"2031/2032",2032,120,120,100,85.7995260766666,4385.54439276736,420
"2032/2033",2033,121,121,100,79.2102794916063,2060.18301104428,836
"2033/2034",2034,120,120,100,76.465629659172,3857.49397238041,782
"2034/2035",2035,120,120,100,75.5329206952665,4452.53045663238,735
"2035/2036",2036,120,120,100,84.2322219007083,3780.44953298755,589
"2036/2037",2037,121,121,100,80.8125501207187,2450.52872461826,814
"2037/2038",2038,120,120,100,81.7244704448394,4422.15730136726,492
"2038/2039",2039,120,120,100,88.1347622005724,5360.59572658595,247
"2039/2040",2040,120,120,100,85.6538962993118,4200.89759304468,382
"2040/2041",2041,121,121,100,86.6134220737513,3962.43521905132,362
"2041/2042",2042,120,120,100,85.8697625473351,5911.27902544104,371
"2042/2043",2043,120,120,100,80.8769117839074,2108.33303775266,839
"2043/2044",2044,120,120,100,86.885686199148,3832.9365819972,350
"2044/2045",2045,121,121,100,80.1183970486645,2170.33933508815,895
"2045/2046",2046,120,120,100,79.3605092275675,4272.11707863398,704
"2046/2047",2047,120,120,100,79.5004069155248,3489.54771773983,716
"2047/2048",2048,120,120,100,84.8816036251319,2511.79154576641,559
"2048/2049",2049,121,121,100,80.7240616710433,2359.12769159209,797
"2049/2050",2050,120,120,100,81.9968977936787,1212.43594580796,816
"2050/2051",2051,120,120,100,78.041073619288,4438.35304328986,597
"2051/2052",2052,120,120,100,81.0798632679662,5408.75200380664,411
"2052/2053",2053,121,121,100,84.1732807804519,4757.05299895816,375
"2053/2054",2054,120,120,100,85.1897523277503,4895.28942388669,366
"2054/2055",2055,120,120,100,84.3593046167844,3321.45018133009,560
"2055/2056",2056,120,120,100,75.9561552737086,5669.87859128788,475
"2056/2057",2057,121,121,100,77.8629850308798,2938.52260666434,746
"2057/2058",2058,120,120,100,86.3447690261928,3901.88846311485,354
"2058/2059",2059,120,120,100,78.4299628656008,2325.6200841195,842
"2059/2060",2060,120,120,100,79.6347079212137,5254.93033620249,610
"2060/2061",2061,121,121,100,78.903123822347,6370.95287547447,473
"2061/2062",2062,120,120,100,77.3106494314798,1793.11973994225,845
"2062/2063",2063,120,120,100,82.8456874723342,2415.50633815257,686
