"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,82.0634199082213,5669.67318585423,423
"2002/2003",2003,120,120,100,82.4319559765077,2434.91309974593,711
"2003/2004",2004,120,120,100,89.6689404978834,3662.08944401919,320
"2004/2005",2005,121,121,100,85.5840958005127,6603.62823324907,285
"2005/2006",2006,120,120,100,83.4117221195395,4224.33889732306,449
"2006/2007",2007,120,120,100,85.356248510804,4222.64843407652,429
"2007/2008",2008,120,120,100,81.7834387589826,2018.7142826413,598
"2008/2009",2009,121,121,100,83.5630107307102,6004.22373957548,389
"2009/2010",2010,120,120,100,88.6458282741071,3840.91582903569,219
"2010/2011",2011,120,120,100,86.2995696027776,3632.03657960822,341
"2011/2012",2012,120,120,100,78.201023089392,4072.51296860946,733
"2012/2013",2013,121,121,100,88.5071555493805,3465.24435530684,404
"2013/2014",2014,120,120,100,75.1876194161439,3664.0771081876,1012
"2014/2015",2015,120,120,100,84.3168216313591,4784.56437474932,376
"2015/2016",2016,120,120,100,82.6160751201851,4619.19703006558,519
"2016/2017",2017,121,121,100,82.597103067123,5656.08008270455,483
"2017/2018",2018,120,120,100,79.6577699262216,3648.46843563253,620
"2018/2019",2019,120,120,100,85.9370101353425,3835.63712512236,495
"2019/2020",2020,120,120,100,85.3553449283022,6142.50897920015,304
"2020/2021",2021,121,121,100,83.519805045431,2757.70964361355,713
"2021/2022",2022,120,120,100,76.0523536364062,5590.02739680069,596
"2022/2023",2023,120,120,100,88.1607786130708,3778.91002210812,275
"2023/2024",2024,120,120,100,84.907892482604,6246.82741625141,168
"2024/2025",2025,121,121,100,87.224572848324,3707.84324832191,329
"2025/2026",2026,120,120,100,73.6878352555564,2337.07985480037,1069
"2026/2027",2027,120,120,100,88.0101016434273,5129.26778878667,301
"2027/2028",2028,120,120,100,81.2265094361792,1943.00199911511,670
"2028/2029",2029,121,121,100,83.0394930818807,5041.1077085475,451
"2029/2030",2030,120,120,100,84.3320266503642,4156.41875355481,523
"2030/2031",2031,120,120,100,85.1158286590398,3661.05754155153,490
"2031/2032",2032,120,120,100,87.440351877186,5071.00574052078,335
