"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,81.2730261375295,6437.35033390114,409
"2002/2003",2003,120,120,100,84.159362423355,2753.98322368118,685
"2003/2004",2004,120,120,100,87.8904507772713,4235.89823768241,300
"2004/2005",2005,121,121,100,84.2205330997656,7123.36452553456,253
"2005/2006",2006,120,120,100,84.021706151847,4735.78211577772,429
"2006/2007",2007,120,120,100,83.5992168776086,4873.15844129073,414
"2007/2008",2008,120,120,100,83.633299681593,2431.7470407309,553
"2008/2009",2009,121,121,100,83.7862979007273,6499.24803064985,346
"2009/2010",2010,120,120,100,89.2601548243772,4252.1539322444,199
"2010/2011",2011,120,120,100,86.1752878927198,4182.86808693362,312
"2011/2012",2012,120,120,100,77.7674086892157,4569.55246397317,694
"2012/2013",2013,121,121,100,87.1622095687928,4017.83123308909,383
"2013/2014",2014,120,120,100,73.8894698412889,4261.32341827394,987
"2014/2015",2015,120,120,100,83.3305675291679,5493.03556681657,373
"2015/2016",2016,120,120,100,81.0475524562207,5085.29142459994,490
"2016/2017",2017,121,121,100,78.2430402505161,6331.44933886628,456
"2017/2018",2018,120,120,100,78.5510618484136,4222.83627599012,602
"2018/2019",2019,120,120,100,83.8535991989811,4402.35424100677,460
"2019/2020",2020,120,120,100,83.2048348245817,6674.19193974789,276
"2020/2021",2021,121,121,100,83.5149982911944,3181.27328133467,671
"2021/2022",2022,120,120,100,75.1361432966232,6232.61744947499,571
"2022/2023",2023,120,120,100,86.9822877566235,4435.55722731212,272
"2023/2024",2024,120,120,100,85.4947645185139,7012.46395964688,162
"2024/2025",2025,121,121,100,86.8742314823744,4095.70512294816,300
"2025/2026",2026,120,120,100,74.7896752583715,2626.97339701653,1008
"2026/2027",2027,120,120,100,86.9578052673314,5740.63936719275,273
"2027/2028",2028,120,120,100,83.0025016156105,2190.64117883984,636
"2028/2029",2029,121,121,100,82.2307910945183,5672.24817149877,437
"2029/2030",2030,120,120,100,83.0733928935406,4685.63018282689,483
"2030/2031",2031,120,120,100,84.7811387517868,4194.09649022552,471
"2031/2032",2032,120,120,100,87.0490030623505,5646.68357100012,311
"2032/2033",2033,121,121,100,83.0588865894333,2751.81358731422,709
"2033/2034",2034,120,120,100,77.8261072735768,4687.1271587112,628
"2034/2035",2035,120,120,100,78.9654723098829,5313.4805917209,538
"2035/2036",2036,120,120,100,84.6807329248668,4852.51575295394,457
"2036/2037",2037,121,121,100,83.7785100470892,3227.5884667174,631
"2037/2038",2038,120,120,100,82.9005534664966,5497.92920407187,414
"2038/2039",2039,120,120,100,88.3332385420863,6815.37026600027,173
"2039/2040",2040,120,120,100,84.8135292555871,5220.62664877437,254
"2040/2041",2041,121,121,100,87.806609431339,4960.75773638347,244
"2041/2042",2042,120,120,100,83.3384845270266,7393.95828803303,279
"2042/2043",2043,120,120,100,84.9934297884456,2629.17884073313,576
"2043/2044",2044,120,120,100,87.9505309070964,4898.62008418841,241
"2044/2045",2045,121,121,100,80.363524963831,2751.48223329987,724
"2045/2046",2046,120,120,100,79.717370171903,5183.50990415877,546
"2046/2047",2047,120,120,100,79.8797553641489,4321.00650570402,615
"2047/2048",2048,120,120,100,88.4400752772854,3333.18875179393,370
"2048/2049",2049,121,121,100,84.1557060708901,3001.90377832856,564
"2049/2050",2050,120,120,100,83.7917999593501,1739.43685827032,570
"2050/2051",2051,120,120,100,78.6662131082803,5478.29750512913,419
"2051/2052",2052,120,120,100,81.0395260357573,6704.20640247967,323
"2052/2053",2053,121,121,100,83.5708317575327,5943.69016781077,295
"2053/2054",2054,120,120,100,84.9115014627278,6046.71159202326,241
"2054/2055",2055,120,120,100,86.4900009596813,4199.15441592317,415
"2055/2056",2056,120,120,100,77.8958602790208,6620.02312249504,306
"2056/2057",2057,121,121,100,79.1286916785266,4006.16659948789,598
"2057/2058",2058,120,120,100,88.5905081792425,4917.92486852128,214
"2058/2059",2059,120,120,100,81.9143734982263,2974.25448163878,663
"2059/2060",2060,120,120,100,79.0125083623934,6383.27656763745,488
"2060/2061",2061,121,121,100,78.9088980374581,7714.56972019188,366
"2061/2062",2062,120,120,100,81.1559186261075,2324.50998915173,618
"2062/2063",2063,120,120,100,85.1569890581395,3031.63660722924,482
"2063/2064",2064,120,120,100,82.8572836155217,4500.96070156991,571
"2064/2065",2065,121,121,100,87.1077784393674,4361.35833943123,294
"2065/2066",2066,120,120,100,91.4739140876027,4236.94814899424,197
"2066/2067",2067,120,120,100,79.8631944585286,2825.7314219838,757
"2067/2068",2068,120,120,100,84.3642963172242,7574.16434760857,375
"2068/2069",2069,121,121,100,83.8348452468763,4546.08827000856,545
"2069/2070",2070,120,120,100,84.7169251377018,4706.06053465232,462
"2070/2071",2071,120,120,100,84.8096899424309,5051.79109481722,318
"2071/2072",2072,120,120,100,80.7098694891192,4372.93884054199,631
"2072/2073",2073,121,121,100,84.7841121342408,7799.92341053113,275
"2073/2074",2074,120,120,100,72.8671518284264,6471.37746910658,661
"2074/2075",2075,120,120,100,82.6478520779383,6574.33378429525,418
"2075/2076",2076,120,120,100,86.4536930896284,6688.93686736282,156
"2076/2077",2077,121,121,100,84.6246949673787,2577.13247499615,558
"2077/2078",2078,120,120,100,84.5817517175128,2745.97948077694,552
"2078/2079",2079,120,120,100,85.3998228934688,4230.77417492494,399
"2079/2080",2080,120,120,100,87.806827914741,5664.01087150536,187
"2080/2081",2081,121,121,100,82.6804320320116,5557.46394304279,578
"2081/2082",2082,120,120,100,82.0102001527466,5683.6586316321,322
"2082/2083",2083,120,120,100,85.0300517221713,5913.84124733694,384
"2083/2084",2084,120,120,100,84.6989790878852,3299.93783928454,481
"2084/2085",2085,121,121,100,82.2086961922887,4127.32433311734,520
