"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,81.8420908261803,6327.00569588139,388
"2002/2003",2003,120,120,100,83.8365709483208,2724.86370748088,695
"2003/2004",2004,120,120,100,87.6981254244089,4177.12969467437,309
"2004/2005",2005,121,121,100,85.3360105312444,7298.67544612466,293
"2005/2006",2006,120,120,100,82.0376020685137,4904.00998260849,445
"2006/2007",2007,120,120,100,84.4522342444138,4748.27149862651,404
"2007/2008",2008,120,120,100,83.6071407290146,2360.33009849547,540
"2008/2009",2009,121,121,100,83.0996133996687,6721.7724690169,396
"2009/2010",2010,120,120,100,86.7741964189931,4469.28819159907,222
"2010/2011",2011,120,120,100,84.8484892104741,4238.11536245735,346
"2011/2012",2012,120,120,100,75.1761253519987,4670.34412977379,706
"2012/2013",2013,121,121,100,86.1010868690191,4045.81588172133,403
"2013/2014",2014,120,120,100,75.4102192215532,4190.83900424221,985
"2014/2015",2015,120,120,100,81.9974828766171,5391.24091262673,379
"2015/2016",2016,120,120,100,79.702665864409,5256.76943386672,508
"2016/2017",2017,121,121,100,80.4722791579752,6104.40152885963,445
"2017/2018",2018,120,120,100,78.2401680716957,4254.33915282367,611
"2018/2019",2019,120,120,100,84.3071300889715,4327.89750143513,468
"2019/2020",2020,120,120,100,82.9772597637461,6701.17145932303,291
"2020/2021",2021,121,121,100,82.4404033056753,3232.63685383042,713
"2021/2022",2022,120,120,100,76.0184862315273,6248.64744909457,599
"2022/2023",2023,120,120,100,87.7147082274796,4512.52384040365,298
"2023/2024",2024,120,120,100,85.9819102931933,6842.49110738258,149
"2024/2025",2025,121,121,100,87.4020989974642,4035.75142458896,313
"2025/2026",2026,120,120,100,76.2561932869148,2428.45518990047,966
"2026/2027",2027,120,120,100,85.5257282639946,5655.2579138563,288
"2027/2028",2028,120,120,100,82.3473594305674,2440.24644742021,694
"2028/2029",2029,121,121,100,80.8789085702283,5810.44751769351,451
"2029/2030",2030,120,120,100,84.5262718566546,4481.06326547894,483
"2030/2031",2031,120,120,100,85.2910552240292,4107.91172591411,482
"2031/2032",2032,120,120,100,85.4091068626021,5747.41407894925,342
"2032/2033",2033,121,121,100,82.0304705819844,2765.39952607895,732
"2033/2034",2034,120,120,100,77.7542125587097,4687.18582102424,654
"2034/2035",2035,120,120,100,78.2157800201931,5236.64861442195,575
"2035/2036",2036,120,120,100,84.7231127881232,4700.36652408587,456
"2036/2037",2037,121,121,100,83.4012741822162,3305.66997149494,661
"2037/2038",2038,120,120,100,79.8679247004748,5669.90021793731,442
"2038/2039",2039,120,120,100,88.137378774928,6697.71047859872,173
"2039/2040",2040,120,120,100,85.0837965409437,5062.54706298746,255
"2040/2041",2041,121,121,100,87.5127755630474,4972.33777332352,262
"2041/2042",2042,120,120,100,84.5324881947026,7557.2203824399,296
"2042/2043",2043,120,120,100,82.7951464108919,2732.37633452937,596
"2043/2044",2044,120,120,100,86.7338249480781,5089.79329825891,265
"2044/2045",2045,121,121,100,80.1046084278851,2875.81531522935,727
"2045/2046",2046,120,120,100,80.7258312657214,5155.37631172733,553
"2046/2047",2047,120,120,100,78.6926617689023,4405.02842515614,635
"2047/2048",2048,120,120,100,85.7220163483271,3474.80979608698,403
"2048/2049",2049,121,121,100,83.6834204556908,3091.87061031209,627
"2049/2050",2050,120,120,100,82.514473847019,1760.88395860186,618
"2050/2051",2051,120,120,100,80.5386566023517,5238.17159992456,412
"2051/2052",2052,120,120,100,81.5178980915462,6431.21072410047,308
"2052/2053",2053,121,121,100,84.7593469613912,5772.43743041297,302
"2053/2054",2054,120,120,100,84.1431872544472,6189.70371726761,255
"2054/2055",2055,120,120,100,85.8824752849459,4175.08751141792,413
"2055/2056",2056,120,120,100,78.0344749737305,6392.22520249104,320
"2056/2057",2057,121,121,100,80.2599402920641,3902.92658829084,620
"2057/2058",2058,120,120,100,86.0493405035941,5053.75805340474,233
"2058/2059",2059,120,120,100,80.5654426055135,2973.8528814693,657
"2059/2060",2060,120,120,100,77.9689277891903,6564.69850667519,520
"2060/2061",2061,121,121,100,78.2457143884112,7801.90137696173,394
"2061/2062",2062,120,120,100,79.2617373807207,2519.16829147842,671
"2062/2063",2063,120,120,100,84.6046242575685,2961.47868470894,497
"2063/2064",2064,120,120,100,79.8373410304757,4866.32849235227,620
"2064/2065",2065,121,121,100,88.0296307934696,4379.52990294574,311
"2065/2066",2066,120,120,100,90.6666516322512,4275.26639770996,212
"2066/2067",2067,120,120,100,79.0954604266408,2933.14567429665,798
"2067/2068",2068,120,120,100,84.5468616054004,7635.65190271987,393
"2068/2069",2069,121,121,100,83.3101022934807,4567.66051362921,544
"2069/2070",2070,120,120,100,83.6476185973879,4997.92885505594,508
"2070/2071",2071,120,120,100,86.4556086739358,4739.3973411005,316
"2071/2072",2072,120,120,100,80.9641157293627,4482.15781027265,654
"2072/2073",2073,121,121,100,84.8964447536509,7815.60496649332,289
"2073/2074",2074,120,120,100,73.6158020497223,6360.06087604165,653
"2074/2075",2075,120,120,100,82.3249079034122,6337.5190931242,413
"2075/2076",2076,120,120,100,87.623369342944,6821.44431468099,177
"2076/2077",2077,121,121,100,83.9614560054742,2593.17732841428,576
"2077/2078",2078,120,120,100,84.3771517433488,2914.18878383934,561
"2078/2079",2079,120,120,100,84.1092106647138,4366.58829622902,401
"2079/2080",2080,120,120,100,88.04722882852,5754.07964865118,234
"2080/2081",2081,121,121,100,80.227649414659,5986.32868826203,635
"2081/2082",2082,120,120,100,81.4895503023545,5823.58830667194,344
"2082/2083",2083,120,120,100,82.2331719404629,5933.76513907313,382
"2083/2084",2084,120,120,100,84.7860189019448,3189.16132246982,472
"2084/2085",2085,121,121,100,81.6094322947138,4023.97980132326,528
"2085/2086",2086,120,120,100,81.0075241268114,4868.98856135271,584
"2086/2087",2087,120,120,100,82.375471035446,3933.40274937078,519
"2087/2088",2088,120,120,100,78.6433612545534,4789.05753915198,641
"2088/2089",2089,121,121,100,84.5573353294785,4514.04507540818,517
"2089/2090",2090,120,120,100,83.1071414737144,2981.62925609481,564
"2090/2091",2091,120,120,100,80.7667604677536,4414.96754476707,695
"2091/2092",2092,120,120,100,84.5443766218286,2979.11806557141,521
"2092/2093",2093,121,121,100,83.9092288455049,5990.43506849278,437
"2093/2094",2094,120,120,100,77.6159574759931,5842.07717017736,742
"2094/2095",2095,120,120,100,85.8786662700368,3986.30076608155,389
"2095/2096",2096,120,120,100,81.0270594056092,6753.93860528618,232
"2096/2097",2097,121,121,100,71.0069213210609,7810.47980909236,446
"2097/2098",2098,120,120,100,78.6146797892416,4700.58368495572,698
"2098/2099",2099,120,120,100,84.1994903933119,4548.95600971486,461
"2099/2100",2100,120,120,100,87.1591510502294,4912.82871534862,206
"2100/2101",2101,120,120,100,82.3200871431745,5379.01558455545,485
