"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,76.444692387993,9557.75174770473,249
"2002/2003",2003,120,120,100,86.4091014198592,4657.67848166323,465
"2003/2004",2004,120,120,100,86.5512582688165,6992.72797996443,163
"2004/2005",2005,121,121,100,80.2495407548593,10466.5209328933,132
"2005/2006",2006,120,120,100,79.3651562590777,7444.3047905151,350
"2006/2007",2007,120,120,100,82.1896163950479,7607.42397921451,230
"2007/2008",2008,120,120,100,87.9088055380033,4278.53480292467,382
"2008/2009",2009,121,121,100,80.9578515575229,9498.98900314071,192
"2009/2010",2010,120,120,100,89.4018641118905,6910.13557899219,91
"2010/2011",2011,120,120,100,85.8935734324182,6933.0170772085,200
"2011/2012",2012,120,120,100,76.2230940081004,6774.6940002999,459
"2012/2013",2013,121,121,100,87.6517656937749,6645.36911633331,267
"2013/2014",2014,120,120,100,73.2725759072296,6478.15006799309,724
"2014/2015",2015,120,120,100,80.9098639932824,8342.6163405776,261
"2015/2016",2016,120,120,100,80.7804269627979,7713.67928782152,351
"2016/2017",2017,121,121,100,77.7800564469824,9184.46217869828,281
"2017/2018",2018,120,120,100,80.9949372298652,6474.91714865412,415
"2018/2019",2019,120,120,100,83.4011986925107,7024.35458649835,265
"2019/2020",2020,120,120,100,81.5664637229675,9969.48442403064,166
"2020/2021",2021,121,121,100,83.7115931424219,5189.19309416553,413
"2021/2022",2022,120,120,100,71.1644652701661,8802.31559830136,371
"2022/2023",2023,120,120,100,87.0323211376249,7145.61721176747,159
"2023/2024",2024,120,120,100,80.2999526386402,10467.8213474541,56
"2024/2025",2025,121,121,100,86.9980567244847,6681.84648250439,159
"2025/2026",2026,120,120,100,77.4892385354469,4268.3831666715,753
"2026/2027",2027,120,120,100,83.3862140822011,8876.8946216167,170
"2027/2028",2028,120,120,100,86.9430561760582,3883.61381566292,374
"2028/2029",2029,121,121,100,79.5436202916576,8331.86299830838,279
"2029/2030",2030,120,120,100,79.1705205192375,7239.09024850931,298
"2030/2031",2031,120,120,100,83.2229530666937,6664.10753143905,332
"2031/2032",2032,120,120,100,83.8830167465862,8756.20114682475,186
"2032/2033",2033,121,121,100,86.3702376719507,4666.54559030244,459
"2033/2034",2034,120,120,100,78.5038541021859,6983.1747759711,424
"2034/2035",2035,120,120,100,75.801116749647,7869.56996385474,362
"2035/2036",2036,120,120,100,81.0834814839545,7697.01970259566,304
"2036/2037",2037,121,121,100,85.4369710705132,5281.93620248511,422
"2037/2038",2038,120,120,100,78.9017258216745,8332.0819793921,300
"2038/2039",2039,120,120,100,82.980724170352,10402.3282347787,77
"2039/2040",2040,120,120,100,81.7078440554933,8049.71220127633,117
"2040/2041",2041,121,121,100,88.3107883808152,7678.38186543202,144
"2041/2042",2042,120,120,100,74.9589509407788,11020.9064328093,213
"2042/2043",2043,120,120,100,88.0286437255036,4309.60822109925,290
"2043/2044",2044,120,120,100,85.8300696458255,7811.04368510796,164
"2044/2045",2045,121,121,100,82.3298653650218,4654.01867710752,564
"2045/2046",2046,120,120,100,78.66162338916,7645.24334945483,346
"2046/2047",2047,120,120,100,78.0079300383031,6785.46686113952,513
"2047/2048",2048,120,120,100,88.934760003589,5639.27819761308,207
"2048/2049",2049,121,121,100,86.4177795094147,5072.18376676552,318
"2049/2050",2050,120,120,100,88.4586114542053,3261.55508674774,343
"2050/2051",2051,120,120,100,77.7677835808709,8063.35121700447,241
"2051/2052",2052,120,120,100,77.2586916238261,9899.85472316714,221
"2052/2053",2053,121,121,100,79.3716433138407,9040.37199164275,217
"2053/2054",2054,120,120,100,83.0942963740836,9113.21321751783,122
"2054/2055",2055,120,120,100,85.588387038797,6785.5200547576,265
"2055/2056",2056,120,120,100,76.616234655743,9134.71557505988,174
"2056/2057",2057,121,121,100,80.7979406492423,6384.91682053218,389
"2057/2058",2058,120,120,100,84.3994765521156,7711.14148699492,128
"2058/2059",2059,120,120,100,83.3258171557318,4919.95450595487,407
"2059/2060",2060,120,120,100,77.655626960458,9451.4526088424,344
"2060/2061",2061,121,121,100,77.0185437432265,10994.6823507594,196
"2061/2062",2062,120,120,100,86.4298419995039,3890.03637872264,386
"2062/2063",2063,120,120,100,86.3473799030035,4882.92120780423,255
"2063/2064",2064,120,120,100,81.4088994447093,6770.47659287788,392
"2064/2065",2065,121,121,100,86.2857646508492,6915.84387419373,165
"2065/2066",2066,120,120,100,89.3353318615409,7065.82579072658,61
"2066/2067",2067,120,120,100,81.6153207842217,4779.51348729525,599
"2067/2068",2068,120,120,100,75.6244637367399,11228.4520030394,248
"2068/2069",2069,121,121,100,82.5627344492077,7073.27316986676,364
"2069/2070",2070,120,120,100,82.531480856489,7485.71311480924,355
"2070/2071",2071,120,120,100,83.3152488014857,7680.72332958132,177
"2071/2072",2072,120,120,100,81.8108196187659,6717.03103290498,339
"2072/2073",2073,121,121,100,78.5041510382143,11470.3940155553,225
"2073/2074",2074,120,120,100,73.6471082144581,9025.30303444806,488
"2074/2075",2075,120,120,100,79.7050228080261,9711.19301954284,233
"2075/2076",2076,120,120,100,81.0487161353285,10107.961534204,57
"2076/2077",2077,121,121,100,89.289196032707,4329.64600700513,310
"2077/2078",2078,120,120,100,87.2196178379472,4718.22675839625,365
"2078/2079",2079,120,120,100,85.3597718580822,6820.0734398393,265
"2079/2080",2080,120,120,100,83.9609924747983,8683.40262235887,66
"2080/2081",2081,121,121,100,80.0052571643009,8397.75600876007,434
"2081/2082",2082,120,120,100,78.9349618585111,8556.19332456216,209
"2082/2083",2083,120,120,100,80.8813402485557,8969.8461419493,247
"2083/2084",2084,120,120,100,85.4427436492242,5521.12624076474,292
"2084/2085",2085,121,121,100,80.2136349737975,6724.09886159562,356
"2085/2086",2086,120,120,100,79.3316895075695,7147.02399950661,339
"2086/2087",2087,120,120,100,84.7848193947993,6078.117706744,273
"2087/2088",2088,120,120,100,78.7272182268371,7038.95642849337,401
"2088/2089",2089,121,121,100,84.026821642301,6827.27383332141,287
"2089/2090",2090,120,120,100,86.8597854967738,4895.40153510962,335
"2090/2091",2091,120,120,100,81.6321589667332,6440.72221260983,412
"2091/2092",2092,120,120,100,87.9763638827844,4744.59670534823,241
"2092/2093",2093,121,121,100,79.0232709986576,9281.43170750234,336
"2093/2094",2094,120,120,100,76.1788971870192,8353.12018738966,464
"2094/2095",2095,120,120,100,87.1920495174163,6158.17606812902,179
"2095/2096",2096,120,120,100,79.1429506657605,9833.45445628464,125
"2096/2097",2097,121,121,100,71.4164606723662,10879.409998104,253
"2097/2098",2098,120,120,100,77.1654340339392,7056.03522815183,427
"2098/2099",2099,120,120,100,84.1620984057809,7160.05941674113,300
"2099/2100",2100,120,120,100,85.9674820809578,7777.08098872378,81
"2100/2101",2101,120,120,100,82.5816786824635,7789.65302634891,320
