"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,82.6884166653844,6207.64201952064,428
"2002/2003",2003,120,120,100,83.2581209786746,2747.47255337267,714
"2003/2004",2004,120,120,100,88.9147996473957,4004.01282835618,329
"2004/2005",2005,121,121,100,85.5892722369649,6925.342123993,284
"2005/2006",2006,120,120,100,84.4996746730862,4646.73809503793,443
"2006/2007",2007,120,120,100,85.263101360026,4661.6084232048,434
"2007/2008",2008,120,120,100,83.0960071159578,2294.55600831815,568
"2008/2009",2009,121,121,100,82.9480483842769,6413.0457204007,380
"2009/2010",2010,120,120,100,87.6487215320806,4163.44013515348,215
"2010/2011",2011,120,120,100,86.3945068659339,3960.33490347851,329
"2011/2012",2012,120,120,100,77.5033970737572,4437.01614480419,729
"2012/2013",2013,121,121,100,87.3218643688381,3855.39654732484,411
"2013/2014",2014,120,120,100,74.7531910621137,4041.11515350861,1010
"2014/2015",2015,120,120,100,84.5983085447838,5213.87336719153,385
"2015/2016",2016,120,120,100,80.6352216835144,4987.12185583799,517
"2016/2017",2017,121,121,100,79.4085817326077,6096.70901850704,479
"2017/2018",2018,120,120,100,80.504439601837,3996.68318437366,624
"2018/2019",2019,120,120,100,85.6875373950315,4182.8810133771,482
"2019/2020",2020,120,120,100,83.0890397875764,6532.35764958337,296
"2020/2021",2021,121,121,100,84.4160140904023,3088.75525894039,714
"2021/2022",2022,120,120,100,76.8062989114678,5959.17785672517,590
"2022/2023",2023,120,120,100,87.916973288498,4174.42955773789,264
"2023/2024",2024,120,120,100,86.0356017677286,6702.65753586148,176
"2024/2025",2025,121,121,100,87.6416081032826,4023.20253812312,326
"2025/2026",2026,120,120,100,73.8302711815295,2551.44478095951,1050
"2026/2027",2027,120,120,100,86.5898380620392,5591.21201744908,306
"2027/2028",2028,120,120,100,82.7821894865779,2141.00428783521,656
"2028/2029",2029,121,121,100,80.8807683498635,5477.37938456051,458
"2029/2030",2030,120,120,100,82.3347983248195,4608.47361188498,520
"2030/2031",2031,120,120,100,83.1837820534024,4128.83726694831,508
"2031/2032",2032,120,120,100,86.5861530092443,5496.83488617395,347
"2032/2033",2033,121,121,100,84.0386361802957,2678.07789200475,743
"2033/2034",2034,120,120,100,78.4460839762905,4416.36411215877,654
"2034/2035",2035,120,120,100,76.9933228702685,5138.5899537839,565
"2035/2036",2036,120,120,100,85.177702003135,4634.48456634907,480
"2036/2037",2037,121,121,100,82.9141244389639,3072.44614191027,666
"2037/2038",2038,120,120,100,82.5108398000048,5250.48874349706,406
"2038/2039",2039,120,120,100,88.3283176050045,6611.8357980079,185
"2039/2040",2040,120,120,100,86.7483400228675,4953.42878299439,273
"2040/2041",2041,121,121,100,88.9585438754766,4798.11713595362,272
"2041/2042",2042,120,120,100,84.2756318093734,7102.98601596057,289
"2042/2043",2043,120,120,100,83.6830727778943,2626.58338315878,630
"2043/2044",2044,120,120,100,87.4823412339401,4741.31556944223,255
"2044/2045",2045,121,121,100,80.2445205003369,2619.88048805436,742
"2045/2046",2046,120,120,100,80.6732683453192,4904.7515934906,569
"2046/2047",2047,120,120,100,79.6511803419253,4177.0499020475,632
"2047/2048",2048,120,120,100,87.8469650068573,3169.05167174852,409
"2048/2049",2049,121,121,100,84.8503238818821,2960.74022084661,630
"2049/2050",2050,120,120,100,82.646737534923,1627.50078647118,621
"2050/2051",2051,120,120,100,82.0007594991785,5170.69932837225,433
"2051/2052",2052,120,120,100,81.2824911890457,6354.03350220388,337
"2052/2053",2053,121,121,100,84.0495136196605,5816.36617324874,316
"2053/2054",2054,120,120,100,85.1394204844664,5891.74583600601,253
"2054/2055",2055,120,120,100,85.7325591864192,3987.55756423809,429
"2055/2056",2056,120,120,100,78.1537860239841,6288.7166560865,334
"2056/2057",2057,121,121,100,81.5925986309549,3730.49824939109,614
"2057/2058",2058,120,120,100,86.8001097537935,4788.78842343204,241
"2058/2059",2059,120,120,100,80.9865010679268,2798.76413950277,666
"2059/2060",2060,120,120,100,80.2108570252703,6107.89670376526,503
"2060/2061",2061,121,121,100,79.8799034387494,7377.90450883284,382
"2061/2062",2062,120,120,100,81.7814474226561,2324.07580813393,667
"2062/2063",2063,120,120,100,84.694664591485,3036.37810153933,531
"2063/2064",2064,120,120,100,81.971890308334,4437.90859720018,611
"2064/2065",2065,121,121,100,87.3618898618479,4299.50131124491,341
"2065/2066",2066,120,120,100,90.6848903991886,4076.31154148281,218
"2066/2067",2067,120,120,100,78.8743289626527,2684.06124116573,788
"2067/2068",2068,120,120,100,84.8286825418927,7254.07756801788,386
"2068/2069",2069,121,121,100,84.6901617258591,4272.39979184885,547
"2069/2070",2070,120,120,100,82.75476801478,4545.74801826384,489
"2070/2071",2071,120,120,100,84.7633121616309,4905.66112943832,338
"2071/2072",2072,120,120,100,80.6269068715337,4391.79398174398,666
"2072/2073",2073,121,121,100,84.2800820111388,7502.41985730827,292
"2073/2074",2074,120,120,100,74.5638660645873,6145.55204522423,668
"2074/2075",2075,120,120,100,81.217534471476,6396.38255514484,451
"2075/2076",2076,120,120,100,86.4743438232672,6547.27316246275,182
"2076/2077",2077,121,121,100,83.6620789330209,2590.78834054526,598
"2077/2078",2078,120,120,100,83.4187569229471,2685.35265825037,581
"2078/2079",2079,120,120,100,86.8068635892741,4020.65423718654,399
"2079/2080",2080,120,120,100,86.9733434117879,5643.89214883558,237
"2080/2081",2081,121,121,100,82.1516675538096,5340.71243443992,591
"2081/2082",2082,120,120,100,82.992133263142,5442.38076266274,343
"2082/2083",2083,120,120,100,84.3056350489678,5658.38178445585,406
"2083/2084",2084,120,120,100,84.8994813529862,3197.31244176999,498
"2084/2085",2085,121,121,100,82.5829660140207,3803.11105965544,537
"2085/2086",2086,120,120,100,82.7470960570172,4462.27966036368,574
"2086/2087",2087,120,120,100,84.6442712666721,3663.13536449894,521
"2087/2088",2088,120,120,100,79.4850136880195,4415.68450304307,624
"2088/2089",2089,121,121,100,85.2377056310961,4227.18276377767,509
"2089/2090",2090,120,120,100,84.7642852478457,2764.64833474625,552
"2090/2091",2091,120,120,100,81.5665512404139,4033.37146209739,665
"2091/2092",2092,120,120,100,84.9425263509038,2721.30494368356,529
"2092/2093",2093,121,121,100,84.9038816458124,5791.22485596314,450
"2093/2094",2094,120,120,100,78.8252826168537,5477.32968665659,743
"2094/2095",2095,120,120,100,86.6812719805603,3689.4331120709,390
"2095/2096",2096,120,120,100,81.6861168647592,6533.23974464927,230
"2096/2097",2097,121,121,100,72.5670610318048,7724.50127353054,463
"2097/2098",2098,120,120,100,80.5478953252095,4458.53873514477,702
"2098/2099",2099,120,120,100,85.4503401543352,4350.67437119037,462
"2099/2100",2100,120,120,100,87.9234669109646,4625.0201876536,201
"2100/2101",2101,120,120,100,84.3881841591428,4928.18494794331,467
