"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,75.2575598467432,11570.9335443739,180
"2002/2003",2003,120,120,100,85.4608361334599,6176.06950810464,341
"2003/2004",2004,120,120,100,86.3444018008718,8916.65676708889,64
"2004/2005",2005,121,121,100,72.3568819391858,12900.2991349733,43
"2005/2006",2006,120,120,100,77.9796817561056,9431.6641920486,291
"2006/2007",2007,120,120,100,80.4429677134821,9275.6468466511,112
"2007/2008",2008,120,120,100,87.4965519580588,5611.2789403029,295
"2008/2009",2009,121,121,100,75.9800502191217,11867.2574052151,129
"2009/2010",2010,120,120,100,87.0247403856781,9091.25326260063,28
"2010/2011",2011,120,120,100,84.8531161799478,8895.5881866283,127
"2011/2012",2012,120,120,100,75.7104313825059,8422.58228653553,315
"2012/2013",2013,121,121,100,86.3457040753303,8382.32234675961,181
"2013/2014",2014,120,120,100,73.6338049132476,7613.9312770192,506
"2014/2015",2015,120,120,100,78.2919084405537,10233.3622740107,166
"2015/2016",2016,120,120,100,77.9547540743806,9583.18683049385,244
"2016/2017",2017,121,121,100,77.0752596143329,11064.5858829471,170
"2017/2018",2018,120,120,100,79.4738584586239,7960.13395755296,287
"2018/2019",2019,120,120,100,80.2719641241642,8759.73380544549,150
"2019/2020",2020,120,120,100,76.9663426891161,12380.4398766311,99
"2020/2021",2021,121,121,100,84.5436684894753,6564.05239626789,285
"2021/2022",2022,120,120,100,72.6529097153098,10357.0597263183,258
"2022/2023",2023,120,120,100,84.9189519389524,9089.16771552712,90
"2023/2024",2024,120,120,100,74.7442085989119,12759.6874926549,8
"2024/2025",2025,121,121,100,84.8183764650516,8679.93786102929,87
"2025/2026",2026,120,120,100,79.2775448428142,5283.82897098316,573
"2026/2027",2027,120,120,100,80.9734479528424,10969.3156943435,100
"2027/2028",2028,120,120,100,87.8582013189443,5244.56769163767,200
"2028/2029",2029,121,121,100,78.7822991269982,10059.8690712233,192
"2029/2030",2030,120,120,100,80.3165726405132,8927.32203848008,169
"2030/2031",2031,120,120,100,82.0835806004975,8381.18999043806,227
"2031/2032",2032,120,120,100,79.3904749800363,10900.7363464911,97
"2032/2033",2033,121,121,100,84.782812882589,6080.67493643286,327
"2033/2034",2034,120,120,100,78.6256172278863,8345.50189585984,303
"2034/2035",2035,120,120,100,75.6295908248794,9400.51042762212,223
"2035/2036",2036,120,120,100,79.7835590443674,9459.25112459855,201
"2036/2037",2037,121,121,100,85.5200628365483,6651.24832409201,276
"2037/2038",2038,120,120,100,76.4044638475298,10321.8349208129,198
"2038/2039",2039,120,120,100,76.3385297941595,12945.9533712845,22
"2039/2040",2040,120,120,100,80.9822278349493,9869.56855587754,67
"2040/2041",2041,121,121,100,83.1326719715471,9846.19064107956,67
"2041/2042",2042,120,120,100,71.5351474027984,13596.4381490285,169
"2042/2043",2043,120,120,100,87.2235021429697,5661.0511555518,173
"2043/2044",2044,120,120,100,83.8818056608243,9885.94032003591,105
"2044/2045",2045,121,121,100,84.3389821860428,5924.44555508345,443
"2045/2046",2046,120,120,100,77.7663257593858,9179.06863855477,200
"2046/2047",2047,120,120,100,77.075548259696,8479.65435402887,422
"2047/2048",2048,120,120,100,87.3617394215144,7333.4499093201,111
"2048/2049",2049,121,121,100,88.6232631649718,6494.14719004184,183
"2049/2050",2050,120,120,100,89.5768001362067,4313.11385695124,237
"2050/2051",2051,120,120,100,76.4508500539432,9495.70549386134,131
"2051/2052",2052,120,120,100,75.2114465854183,11953.066099694,179
"2052/2053",2053,121,121,100,75.8104148135899,11243.8640299011,163
"2053/2054",2054,120,120,100,79.4170949621284,11386.4229710368,59
"2054/2055",2055,120,120,100,84.7622837241488,8461.76157334493,155
"2055/2056",2056,120,120,100,77.7943531367882,10728.4055028502,68
"2056/2057",2057,121,121,100,80.6133740076175,8038.6060412135,260
"2057/2058",2058,120,120,100,80.9659694808224,9787.47255610209,58
"2058/2059",2059,120,120,100,84.7498154071227,6148.0932333488,276
"2059/2060",2060,120,120,100,73.4239993792598,11412.1289539076,237
"2060/2061",2061,121,121,100,73.6275637610806,13145.5230209613,104
"2061/2062",2062,120,120,100,87.0185853927969,5287.96176289394,288
"2062/2063",2063,120,120,100,86.2518620147366,6410.17739879433,175
"2063/2064",2064,120,120,100,78.5960213353674,8705.59830029123,306
"2064/2065",2065,121,121,100,84.5881942502301,8972.61633217242,81
"2065/2066",2066,120,120,100,87.3115810067857,9137.54284671228,18
"2066/2067",2067,120,120,100,83.540436702282,6075.36982202064,463
"2067/2068",2068,120,120,100,70.3480171296887,13707.3107867446,129
"2068/2069",2069,121,121,100,79.5063369542331,8756.38657729421,227
"2069/2070",2070,120,120,100,79.763229782091,9536.09426205605,294
"2070/2071",2071,120,120,100,80.393601596259,9441.70567080006,86
"2071/2072",2072,120,120,100,80.9550737869413,8460.15071535762,195
"2072/2073",2073,121,121,100,72.4826286223051,14006.7257436914,192
"2073/2074",2074,120,120,100,75.0406837046576,10524.2469301019,381
"2074/2075",2075,120,120,100,74.5484403362843,11799.9246335709,124
"2075/2076",2076,120,120,100,76.7117681483087,12603.8253262816,18
"2076/2077",2077,121,121,100,88.776237726448,5713.64176253974,176
"2077/2078",2078,120,120,100,86.625085828111,6243.87629660778,288
"2078/2079",2079,120,120,100,81.9902117865076,8775.96212315094,151
"2079/2080",2080,120,120,100,76.6148230101862,11213.6603860762,31
"2080/2081",2081,121,121,100,77.300874735638,10384.7422372727,286
"2081/2082",2082,120,120,100,78.1497495429576,10493.0982023152,130
"2082/2083",2083,120,120,100,79.3365611998888,11019.291449273,205
"2083/2084",2084,120,120,100,84.4505781294793,7129.19851722755,171
"2084/2085",2085,121,121,100,81.5183098555026,8340.6368756853,198
"2085/2086",2086,120,120,100,78.5575529612524,8888.73867293727,206
"2086/2087",2087,120,120,100,84.4749286826864,7588.96228958666,161
"2087/2088",2088,120,120,100,77.7456020275204,8729.94274146575,324
"2088/2089",2089,121,121,100,83.1266091498292,8579.72332080174,189
"2089/2090",2090,120,120,100,86.3440878287092,6372.07706459425,247
"2090/2091",2091,120,120,100,78.4205062566125,7988.80498716421,260
"2091/2092",2092,120,120,100,86.33338324537,6215.35260822158,122
"2092/2093",2093,121,121,100,75.8583011273004,11240.6148101268,242
"2093/2094",2094,120,120,100,72.8028330239376,9997.05832852889,290
"2094/2095",2095,120,120,100,85.1134114851175,7997.93918829318,78
"2095/2096",2096,120,120,100,77.1623117546769,11873.3598097423,92
"2096/2097",2097,121,121,100,73.1227750969701,12555.065157067,107
"2097/2098",2098,120,120,100,78.0378712111778,8540.30753490143,288
"2098/2099",2099,120,120,100,82.0696019707048,9045.55711914692,214
"2099/2100",2100,120,120,100,85.8701956296063,9779.27447516937,28
"2100/2101",2101,120,120,100,78.1582501265748,9843.39364532288,237
