"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,75.3773512476304,9895.28395780193,264
"2002/2003",2003,120,120,100,86.7345105657347,4902.96608589872,488
"2003/2004",2004,120,120,100,86.9869697068203,7278.89754900112,151
"2004/2005",2005,121,121,100,76.3351631473122,11257.0233960479,191
"2005/2006",2006,120,120,100,77.2707951255447,8291.52355558058,393
"2006/2007",2007,120,120,100,81.6565770774789,7789.70650124259,207
"2007/2008",2008,120,120,100,87.3422915337151,4431.30947267707,367
"2008/2009",2009,121,121,100,74.8935029478735,10413.539523861,277
"2009/2010",2010,120,120,100,83.8567022149743,7811.33043327252,150
"2010/2011",2011,120,120,100,84.4018786687955,7477.72766409686,253
"2011/2012",2012,120,120,100,74.9858637210596,7447.66058287711,517
"2012/2013",2013,121,121,100,87.2322834651268,7170.67866467754,328
"2013/2014",2014,120,120,100,70.4902441626032,6818.65019840992,726
"2014/2015",2015,120,120,100,79.3503974893226,8675.54408093134,277
"2015/2016",2016,120,120,100,73.5582004169589,8575.21772175259,362
"2016/2017",2017,121,121,100,77.6228281347874,9155.35107386485,284
"2017/2018",2018,120,120,100,77.8545830306471,7009.96990384348,449
"2018/2019",2019,120,120,100,82.3491008464107,7349.9973518122,278
"2019/2020",2020,120,120,100,78.1960219380539,10503.6045971902,180
"2020/2021",2021,121,121,100,82.2719857552343,5812.20249899034,539
"2021/2022",2022,120,120,100,70.0004047373964,9423.09510716982,465
"2022/2023",2023,120,120,100,84.3384976854354,7888.09042405523,248
"2023/2024",2024,120,120,100,79.0381517415308,10605.8597011077,66
"2024/2025",2025,121,121,100,86.7760789772319,6876.10626797052,181
"2025/2026",2026,120,120,100,78.5694689599591,3960.56285275659,739
"2026/2027",2027,120,120,100,81.0491002311792,9149.04057423398,190
"2027/2028",2028,120,120,100,81.7305486084038,4848.00384434266,519
"2028/2029",2029,121,121,100,76.2948044240002,9137.41088919179,345
"2029/2030",2030,120,120,100,81.8102169425511,7171.62079002568,316
"2030/2031",2031,120,120,100,84.7782237580827,6942.74465432623,339
"2031/2032",2032,120,120,100,79.4513575175515,9501.62325259345,240
"2032/2033",2033,121,121,100,83.7416173813226,4995.52492026612,485
"2033/2034",2034,120,120,100,74.5641790204586,7374.32197308028,459
"2034/2035",2035,120,120,100,76.8931100067134,8183.85343273636,426
"2035/2036",2036,120,120,100,80.3523844173678,7843.60774585744,349
"2036/2037",2037,121,121,100,81.7039173906942,5885.91416877275,465
"2037/2038",2038,120,120,100,74.918900448587,9252.39613487571,359
"2038/2039",2039,120,120,100,82.5104581716032,10615.1490458157,103
"2039/2040",2040,120,120,100,83.0676799560888,8170.37298463006,145
"2040/2041",2041,121,121,100,83.7694293566783,8164.08346197475,160
"2041/2042",2042,120,120,100,73.8549135317135,11982.4386997051,243
"2042/2043",2043,120,120,100,82.7779551915874,4918.42040933203,346
"2043/2044",2044,120,120,100,83.9858795146765,8736.2082469007,213
"2044/2045",2045,121,121,100,79.1706702092943,5357.36962104077,588
"2045/2046",2046,120,120,100,77.9743559830522,8079.89496809058,390
"2046/2047",2047,120,120,100,75.4131038903079,7495.01422857353,561
"2047/2048",2048,120,120,100,85.4283240673776,6363.03788989317,261
"2048/2049",2049,121,121,100,85.0279139389722,5842.3542538695,437
"2049/2050",2050,120,120,100,87.4375318000966,3608.36799363606,424
"2050/2051",2051,120,120,100,79.3010869225618,8005.89485007944,225
"2051/2052",2052,120,120,100,77.5382873684794,9864.72159939911,219
"2052/2053",2053,121,121,100,83.1065526808243,9101.5475832941,214
"2053/2054",2054,120,120,100,78.0952044616615,9956.14423806965,154
