"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,81.1746509659402,3917.14239613627,641
"2002/2003",2003,120,120,100,78.2870342425791,1536.80187317825,933
"2003/2004",2004,120,120,100,86.6245931761859,2197.62556771422,520
"2004/2005",2005,121,121,100,87.3295639803066,4299.4190618275,393
"2005/2006",2006,120,120,100,82.7502476638746,2596.1477765622,594
"2006/2007",2007,120,120,100,80.6885205757362,2728.16546774394,640
"2007/2008",2008,120,120,100,76.2838087780467,1201.57492045604,835
"2008/2009",2009,121,121,100,83.3523859724723,3922.70552455721,491
"2009/2010",2010,120,120,100,87.4114788135405,2172.94228916138,324
"2010/2011",2011,120,120,100,83.814403615964,2131.78244169825,472
"2011/2012",2012,120,120,100,75.5891834154404,2690.8261733515,927
"2012/2013",2013,121,121,100,85.1213080117727,2062.75168163632,548
"2013/2014",2014,120,120,100,71.8990781841612,2465.84764294443,1226
"2014/2015",2015,120,120,100,81.5053686446727,3251.30152148369,534
"2015/2016",2016,120,120,100,80.9214411512085,2931.08172561426,722
"2016/2017",2017,121,121,100,80.6584859252775,4100.56753257825,699
"2017/2018",2018,120,120,100,76.0884921149222,2367.19959104015,819
"2018/2019",2019,120,120,100,83.5970363975603,2451.56561479927,660
"2019/2020",2020,120,120,100,85.857067782546,4090.7382614098,443
"2020/2021",2021,121,121,100,81.0106952067849,1651.22833123989,936
"2021/2022",2022,120,120,100,76.1400893525256,4045.39936329285,756
"2022/2023",2023,120,120,100,86.3190057734155,2298.47077427572,415
"2023/2024",2024,120,120,100,85.7663718595163,4319.68498694338,288
"2024/2025",2025,121,121,100,84.7480434722879,2339.72369572707,593
"2025/2026",2026,120,120,100,69.3810897159515,1568.29777107923,1324
"2026/2027",2027,120,120,100,84.9258346763577,3395.85322701093,475
"2027/2028",2028,120,120,100,77.9498797386532,930.129407913424,877
"2028/2029",2029,121,121,100,82.3614407152509,3317.18749917927,637
"2029/2030",2030,120,120,100,80.4837466760064,2929.86602032394,765
"2030/2031",2031,120,120,100,83.3542105799224,2463.07789039705,696
"2031/2032",2032,120,120,100,86.8498820729465,3152.61081723683,460
