"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,40.5177735553478,168.889772680835,68.9063441408004,48.1729245598884,88.9888803042736,1904.65618797013,1744,1697.6609110701,1742,1758.5,1311,1731.5,82.8580491614486
"2002/2003",2003,120,120,100,48.4296333558309,192.797417031528,78.7763125714789,63.4306525894703,98.1711574881585,1926.89499470688,1702,1531.97443579718,1778,1669,1547,1657,82.4966351399244
"2003/2004",2004,120,120,100,59.2760114803533,242.787228430395,67.2483954080076,66.1226828764978,93.9763137006861,2175.68013396215,1950,1893.95434842891,2005,1998,1642,1988,88.940437176776
"2004/2005",2005,121,121,100,49.8620288090686,208.833584699696,62.489429309762,57.1893921624229,89.6412378190183,1998.13125814391,1861,1784.54532864679,1853,1874.5,1414,1830,85.7495003972451
"2005/2006",2006,120,120,100,48.6711603849431,200.781950039096,71.2076348844658,56.4701910037696,91.8263721226063,2004.99123332493,1880,1782.8960993951,1895,1882,1527,1875,84.0535492396563
"2006/2007",2007,120,120,100,47.7543338172845,246.002785063997,67.8626547096396,57.8943661268831,93.5892392363429,2022.70461703945,1839.5,1733.77333097268,1898,1819.5,1536,1812.5,84.5120270073909
"2007/2008",2008,120,120,100,53.2963903854689,210.13155574269,79.9479792181896,66.7957756245827,98.4757867485414,2066.22849764898,1821,1619.97836492043,1940,1787,1776,1783,83.1498576017206
"2008/2009",2009,121,121,100,43.7130400491038,210.935072595547,65.0135301964836,53.0369041927085,90.5690447044808,1973.72133393597,1790.5,1722.44761592926,1813,1832,1411,1792.5,84.5806677390515
"2009/2010",2010,120,120,100,58.3258691221403,230.113398193745,67.383958996815,65.3878169791344,93.6089454013769,2278.25840477641,2119,1983.14897946073,2121.5,2133,1732,2124,89.6147093397872
"2010/2011",2011,120,120,100,57.4209603566148,226.725636727463,69.3413978300562,65.1051776325246,93.6906899456473,2198.49530331634,2041.5,1924.26095421381,2070,2041.5,1724,2035,87.678331140344
"2011/2012",2012,120,120,100,40.5588843667936,169.507572387648,77.8884425731631,55.2151722012711,95.1668952294485,1796.09525967135,1557,1424.8546818231,1665.5,1530,1365,1512.5,79.45649823544
"2012/2013",2013,121,121,100,60.0088490699856,250.996848872044,70.4802167358053,67.9770243762872,95.6546780843254,2187.14001165263,2003,1865.89891552935,2044,2010,1736,1998,88.6850262981991
"2013/2014",2014,120,120,100,33.424386685335,141.630015987818,82.4043530569915,51.6174069389141,96.685302470854,1582.9725991166,1331.5,1267.80979809498,1464,1316.5,1158,1308,76.1765725821167
"2014/2015",2015,120,120,100,48.0359742900351,193.584013816739,69.2001095936,56.6979068791429,91.7963788206351,2031.30239334145,1892,1786.80865065573,1897.5,1912,1549,1893.5,84.8416738983587
"2015/2016",2016,120,120,100,42.1900614795308,174.719238321564,71.8564742682921,56.0924287460231,94.1252233421421,1893.35501206276,1726,1626.17656966477,1797.5,1696.5,1466,1692,84.2446104460209
"2016/2017",2017,121,121,100,39.4726761887939,187.554523411159,68.4417824617969,52.277496800842,92.3387538751689,1870.9944502606,1673.5,1568.49482061309,1718.5,1682.5,1384,1637,82.1093434707755
"2017/2018",2018,120,120,100,49.8156513949443,195.375862734732,77.7962703570579,61.886689553701,95.1164809343037,1930.59917168004,1717,1564.46141208822,1797,1685,1533,1676.5,80.9793658275598
"2018/2019",2019,120,120,100,50.0484264632823,171.770477044387,73.643069160242,60.3991329407244,94.3665531161494,2043.83454418986,1818.5,1743.87867275027,1872.5,1854,1491,1839,86.4789363345749
