"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,26.6262927638573,115.001216490006,58.0111893171541,31.4467824774442,78.7606050716644,1554.34305010097,1523,1458.15780680889,1446.5,1554.5,942,1439,74.5097057588144
"2002/2003",2003,120,120,100,41.1567447139456,177.135008069752,66.1622604392828,50.4826385844863,89.6661139583622,1882.5703522991,1706.5,1691.52690049721,1724,1760,1258,1723,84.766533400653
"2003/2004",2004,120,120,100,35.4135016482678,186.448619983048,56.1812837295387,38.6664907535046,82.6797615458332,1913.25691658473,1879.5,1908.71276526217,1786,1927,1166,1884.5,85.4127214786435
"2004/2005",2005,121,121,100,32.6150432528542,161.718445304495,52.232057236633,34.1377467011004,77.3286378737607,1660.046903403,1638.5,1566.35758828965,1507,1680,977,1535.5,73.3563880538568
"2005/2006",2006,120,120,100,30.3494643271173,135.723580254099,59.7121840283307,34.0794867197087,81.68049694135,1707.47303874207,1671.5,1674.65994548389,1579.5,1722,1019,1675,79.8423672674165
"2006/2007",2007,120,120,100,33.2803824331788,190.763393266586,56.7734227831085,39.2791517528864,83.2442898119526,1840.15517104302,1794.5,1707.12715170822,1726,1797,1246,1742.5,81.9971358405223
"2007/2008",2008,120,120,100,42.7711076177685,172.076455524118,66.9985518652307,51.1419435140175,89.8409227373033,2053.59109055809,1954.5,1894.52889940291,1916.5,1986,1486,1964,88.2122482745556
"2008/2009",2009,121,121,100,29.5027106957366,150.995822252879,54.615802308683,33.5682450625871,78.932771092445,1649.26986692431,1604.5,1533.23570430396,1481.5,1671,979,1525.5,75.1865232356652
"2009/2010",2010,120,120,100,34.1054121494429,162.162420014237,56.4579101191041,36.9907864380162,81.6503409194227,1924.53382938975,1926,1962.12861893284,1812.5,1974,1203,1931.5,88.3928177335597
"2010/2011",2011,120,120,100,33.6724283937273,154.017250785921,58.1531192623114,37.2349996503496,82.5193214925325,1900.91919104126,1882.5,1922.09296955555,1784.5,1951,1146,1922,87.2719652660121
"2011/2012",2012,120,120,100,35.411884890542,146.180161539107,65.604663966562,44.9819029510926,86.4427008510873,1737.95166754007,1577,1459.58381354522,1576.5,1580.5,1224,1486,76.6399795085431
"2012/2013",2013,121,121,100,37.7761919954907,193.274430385863,58.9992686095576,40.2212257501586,84.4859314247694,1907.43070906187,1854,1895.43264257598,1760,1925,1157,1888,86.2070541253449
"2013/2014",2014,120,120,100,37.2014468276922,159.230767560178,69.3248508391364,50.6464735885554,90.1799373926315,1616.14132774506,1446,1297.89253813464,1524.5,1381,1201,1329.5,75.3756480405386
"2014/2015",2015,120,120,100,29.7239311741705,133.679081149931,58.1856494856009,34.5577418112941,80.8690659696177,1737.53906916282,1653,1669.44393315641,1556.5,1741.5,1021,1650,80.6886816140452
"2015/2016",2016,120,120,100,34.2333719951314,148.099814227614,60.2579103568793,44.2165701862362,84.696589641517,1707.55174431654,1627,1537.17978034793,1573.5,1644,1110,1570,78.4197693189917
"2016/2017",2017,121,121,100,33.1754559380349,154.283162225249,57.3975529273024,40.6268830293917,82.081826296854,1689.12988556839,1556,1468.85608717426,1484.5,1646,1076,1493,75.6958962642884
"2017/2018",2018,120,120,100,41.3509525901609,174.288759660112,65.4385708023257,48.6238074343304,85.9632516482396,1823.14634501423,1703,1630.26904427905,1678.5,1740,1267,1672,78.4389990137424
"2018/2019",2019,120,120,100,37.313692513719,146.444220730702,61.7590693521434,43.1899137783343,84.4311627746227,1829.68356624791,1778,1745.07021571898,1722.5,1800,1168,1748.5,81.1029786472213
"2019/2020",2020,120,120,100,28.2657187603329,129.512012118994,53.0793489591042,32.5556002411132,77.8455753623845,1581.33523449535,1528.5,1538.71741477922,1417,1614,862,1490.5,77.1033354996125
"2020/2021",2021,121,121,100,47.1320295506132,218.803485644134,64.529096596113,52.8694020668723,89.5474076196362,1922.30739639349,1796.5,1720.90839305559,1785,1809,1364,1773.5,83.3075920890278
"2021/2022",2022,120,120,100,39.5782634020624,161.227268075743,60.9616942488085,47.7354885813752,83.5571450818081,1777.18821246436,1594,1469.12984525578,1522,1700.5,1236,1532,74.4083216343106
"2022/2023",2023,120,120,100,40.5692366878981,146.078869545894,57.878762791199,42.5470047839638,82.4513598394141,1940.2546830244,1896,1933.90711763611,1772.5,1986,1160,1939.5,85.5045716554855
"2023/2024",2024,120,120,100,27.8815296515726,135.920487584962,50.9815057752784,28.9478608287288,75.535843906231,1692.64846809591,1653.5,1658.52300169102,1486.5,1770,922,1623,75.8609736818466
"2024/2025",2025,121,121,100,39.7408146610111,155.934898789226,59.9727944937203,43.8272138203958,84.3396172205739,1931.17373814921,1882.5,1857.32786115997,1811.5,1940.5,1258,1897,86.6584896883728
"2025/2026",2026,120,120,100,39.0202516896571,168.599220741345,74.5447523091631,53.4776078604035,93.0768428840668,1783.95431971169,1577.5,1423.02705261921,1664,1555.5,1367,1517.5,79.2187332432381
"2026/2027",2027,120,120,100,34.3770538037055,167.652330379853,54.0765909718665,37.3360836316636,79.8253104333172,1709.91362006386,1695.5,1673.73026362144,1593,1741.5,1018,1652.5,79.8304071397633
"2027/2028",2028,120,120,100,52.7156465018886,182.813116077204,68.6487787636511,59.0674049220357,91.0647901474965,2134.07403628988,2004,1921.94038069689,1988.5,2014,1604,2002,87.4837364879627
"2028/2029",2029,121,121,100,38.3434404986442,188.471272342103,57.9532736292308,43.3804479788431,83.457849483973,1786.08247878066,1704.5,1587.8167770367,1625.5,1749.5,1205,1634.5,78.0909216322593
"2029/2030",2030,120,120,100,38.8770280707606,153.395660004859,61.6868718186607,44.3433399490522,83.9522110091936,1814.96842313567,1710,1618.75825683384,1663.5,1739,1230,1655.5,79.0707113029375
"2030/2031",2031,120,120,100,37.971058775466,201.559867270433,58.7659418492789,41.9966333173329,83.8631783062374,1810.28973623744,1705,1700.80839067041,1626.5,1802.5,1111,1728.5,82.044778569636
