"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,34.546053803925,165.689940442881,66.6259839478206,43.230140437076,86.8490725211674,1742.65267128942,1564.5,1530.21383896976,1586.5,1586.5,1143,1537.5,78.0741934164266
"2002/2003",2003,120,120,100,45.8586040006428,211.705335278461,75.5418292977962,60.2301435173151,96.9095692456558,1907.5044527069,1692.5,1561.57803443851,1769.5,1665.5,1530,1652.5,83.9254569537247
"2003/2004",2004,120,120,100,55.4460996028374,259.455515120593,64.1756556206696,62.410371544395,92.4553927212587,2115.24235644841,1911.5,1869.06054207163,1954.5,1956.5,1552,1945.5,89.2010355771685
"2004/2005",2005,121,121,100,46.0505216112564,219.198660353357,59.6577757937447,52.9982326321118,87.9996392411343,1931.56128629358,1792,1735.98645548876,1768,1829,1317,1776.5,85.4817697960923
"2005/2006",2006,120,120,100,43.4878952257926,199.915169886632,68.6056264910238,50.1557637225117,89.3165273402303,1893.78884636247,1806,1704.47809834462,1792.5,1775.5,1424,1761,82.596642778765
"2006/2007",2007,120,120,100,44.791272531247,257.447548737548,64.9115842738857,55.808672202892,92.4967730376642,1919.31081082916,1753,1612.36394838805,1819.5,1695.5,1455,1677,84.0234061603967
"2007/2008",2008,120,120,100,52.438163134083,228.703256363398,76.872148045501,64.8611908057128,97.3601624303511,2060.76504274692,1858,1632.92098551808,1951,1785.5,1754,1780.5,83.9578975360375
"2008/2009",2009,121,121,100,38.9305646807814,219.923881827071,62.5271283972695,47.0146014455607,88.1075561501356,1894.73911864577,1734.5,1668.47214201028,1727.5,1787,1309,1725.5,84.4599613964926
"2009/2010",2010,120,120,100,53.9055090079842,243.131141128306,64.6617367978598,60.7125637413867,91.8719427213722,2217.89673874676,2093,1963.89148803633,2064.5,2117,1626,2108,88.8108442913867
"2010/2011",2011,120,120,100,50.9177185054761,232.820178884445,66.6618469024564,58.1412314294578,91.8100636359548,2100.97619579209,1958.5,1883.60814003502,1976.5,1968.5,1596,1961.5,86.5209472264664
"2011/2012",2012,120,120,100,39.2017818746953,176.619712255535,75.4062065765906,51.4422111678263,92.7333714221273,1725.27245995554,1500,1380.25828271633,1579,1489,1297,1447.5,76.9032895573655
"2012/2013",2013,121,121,100,54.7323246976272,253.044134840699,67.6361032326327,62.6145766689801,93.7769119853333,2074.51899896028,1917,1807.94278249776,1915,1920.5,1543,1903,87.441219505338
"2013/2014",2014,120,120,100,29.8698968700438,142.007230440757,79.8145905124276,47.7355188205691,94.4647610708492,1458.91598325415,1264,1172.83738995299,1360.5,1228,1053,1207.5,73.8046899764486
"2014/2015",2015,120,120,100,45.5524452467164,197.595192942409,66.7921604327562,52.8145263586226,89.3923206426172,1934.02538206891,1808.5,1687.30989980909,1784.5,1822.5,1424,1777,84.1633358885258
"2015/2016",2016,120,120,100,39.4712174242156,180.62558207416,69.0620592528446,52.7915381970988,92.1861726626615,1809.05481097639,1696.5,1541.24389651778,1727.5,1643,1398,1624,79.8139837846386
"2016/2017",2017,121,121,100,38.5876028765316,202.654411223364,65.6195923992249,50.4914265648758,90.6707722086465,1807.68185649169,1599.5,1478.03197701064,1629,1608,1336,1531,78.4106907476112
"2017/2018",2018,120,120,100,47.961597324369,201.07629038538,75.1697781435634,60.3478333915971,93.5081286197235,1824.40894667199,1605.5,1467.0730494355,1688.5,1575,1418,1547,79.8891218639601
"2018/2019",2019,120,120,100,48.4795218411861,186.684950906648,70.9099895007245,58.7729745902191,93.050802920087,1958.39268438152,1740,1666.19117272536,1814,1742,1468,1720.5,83.5726151614499
"2019/2020",2020,120,120,100,39.9163310432015,190.226847944096,60.6406315125966,48.8462630774534,87.7529473922969,1917.26163918857,1790,1735.51183748247,1740.5,1822.5,1312,1765.5,83.265942059576
"2020/2021",2021,121,121,100,53.7199842985466,236.601768974596,73.8469472607552,66.941089346525,97.4833125369119,1886.86548870441,1654,1517.33626315455,1751.5,1615,1498,1607.5,84.2199703370493
"2021/2022",2022,120,120,100,42.7488045667677,182.352581758121,70.3608527269223,55.7629805362821,91.234172536155,1744.43696833622,1498,1318.61198707334,1561.5,1522,1370,1416,75.6857768297868
"2022/2023",2023,120,120,100,52.1296701406588,195.177971756189,66.4977756118124,61.6164285313459,92.6767663812297,2124.52744475998,1990.5,1856.24834040793,1981,1983.5,1625,1972,86.9769488916272
"2023/2024",2024,120,120,100,44.0746690578124,224.315366877661,58.3285730530968,49.5329753547594,86.4524081422825,2002.42967209095,1876.5,1787.06112946355,1849,1922.5,1414,1853.5,85.9700645954404
"2024/2025",2025,121,121,100,51.7430219381124,226.819648185706,68.505905992319,61.1148489780836,93.8903906441148,2127.43514610782,1937,1836.88219844532,1978.5,1930.5,1623,1923,87.0525686984106
"2025/2026",2026,120,120,100,39.1848283196513,187.674267176841,85.0962111988359,55.2278889182092,97.3458105087026,1628.07273530234,1347.5,1181.42205911591,1498.5,1282,1365,1269.5,75.9543251411051
"2026/2027",2027,120,120,100,45.6903126178237,228.823793784043,61.8424549576095,54.8297550952469,89.9582332670974,1955.69026894514,1820.5,1747.98383647319,1814.5,1829.5,1401,1797,86.0019109735704
"2027/2028",2028,120,120,100,54.6640704255717,204.240027883383,78.8512443492259,70.0290956114791,98.7856958136591,2044.77872026396,1782,1593.77563891281,1907.5,1741,1683,1739.5,84.6694998901999
"2028/2029",2029,121,121,100,46.2715297852151,235.404650191545,66.5053154630056,56.9717146325185,92.0587291956926,1856.99640286976,1679,1504.82047130956,1716.5,1648.5,1435,1597,82.3888747557103
"2029/2030",2030,120,120,100,43.6261992139669,201.956963284303,70.5748126438659,55.2063806517932,92.8060784762228,1863.49477763815,1618,1527.56780275577,1701,1627.5,1423,1592,81.7238845826114
"2030/2031",2031,120,120,100,51.6291185665213,252.978311740776,67.1389985501129,60.6162427863084,92.5446257753906,1918.7747780489,1735.5,1644.30314511769,1774.5,1745.5,1450,1718,84.7770762041137
"2031/2032",2032,120,120,100,46.3827496782623,234.664235117753,61.5697703552518,53.1952764339224,89.3219621553203,1951.72012636217,1828,1770.30349429027,1808.5,1842.5,1371,1821,85.9058370852135
"2032/2033",2033,121,121,100,49.662245593744,209.509876983434,77.250100376619,63.9380220364938,98.2782246753661,1926.7857092421,1697.5,1554.90481591365,1789,1667.5,1502,1667.5,83.6035865709246
"2033/2034",2034,120,120,100,45.2275815881512,218.037492700849,73.5191276533,58.3315273098881,93.5266284888851,1788.19954784444,1556.5,1379.50222173743,1646,1528.5,1438,1477,77.6096383472768
"2034/2035",2035,120,120,100,42.4093561931472,181.565211985289,72.2224098031497,54.6605588485397,91.9403233477285,1791.71428918712,1570,1413.54075305561,1636.5,1547.5,1425,1483.5,78.8632237605407
