"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,26.9205730482775,108.196447457319,58.423135119145,31.8257137238472,78.575678287025,1545.88871041329,1536.5,1468.7240475828,1460,1546,935,1441,75.2575598467432
"2002/2003",2003,120,120,100,42.4674010533019,166.750328649961,66.4590824747122,51.1012288266108,89.5288447090683,1920.06624436029,1752.5,1759.16616374931,1766,1803.5,1262,1780,85.4608361334599
"2003/2004",2004,120,120,100,34.4254429905972,164.820355622511,56.8448216653942,37.8660612757007,82.3006625034557,1882.78645149151,1858.5,1895.33046958612,1754.5,1919,1099,1876.5,86.3444018008718
"2004/2005",2005,121,121,100,31.6352480485393,143.75476910666,53.0373021660272,33.7524317425509,76.9317526440439,1619.27379136524,1600,1517.83102340156,1465.5,1626.5,954,1474,72.3568819391858
"2005/2006",2006,120,120,100,28.7992209605683,119.100259065321,60.6503917849593,32.5887614237125,80.8940405490915,1653.32075659986,1640,1666.22949899668,1545,1663,943,1619,77.9796817561056
"2006/2007",2007,120,120,100,33.9739045935865,173.995435796337,57.4482106955806,40.1294421160814,82.9419636867335,1828.01597871677,1803.5,1705.23564324345,1731,1776.5,1225,1722.5,80.4429677134821
"2007/2008",2008,120,120,100,40.5616980791262,146.579950702314,67.6558821824388,48.4628808874174,89.1679282306645,2025.17434473655,1931,1916.88487262005,1861,1975,1367,1960,87.4965519580588
"2008/2009",2009,121,121,100,28.0017320132087,134.518052101542,55.3032098551546,32.033068222963,78.542958111406,1637.83944701739,1600,1547.69267855086,1480,1663,950,1518,75.9800502191217
"2009/2010",2010,120,120,100,33.4364680606456,138.883350864627,57.1192687124488,36.2358292013339,81.2119809605463,1905.68128267501,1923,1967.35613471918,1794,1961,1170,1920,87.0247403856781
"2010/2011",2011,120,120,100,30.7867637924329,131.668267754492,58.931007339213,34.3852158905373,81.7870620771001,1836.64401755559,1836.5,1885.28817785635,1733.5,1877.5,1063,1848.5,84.8531161799478
"2011/2012",2012,120,120,100,36.365978568578,136.225657974082,65.957898569976,45.6553146484781,86.3170192829704,1752.82568859154,1608.5,1492.58349373564,1612.5,1618,1220,1529.5,75.7104313825059
"2012/2013",2013,121,121,100,36.5012632583049,171.118162389981,59.8998346645499,39.1507138142816,83.7722830012679,1863.23235401798,1824.5,1879.04960254537,1725.5,1885.5,1104,1852.5,86.3457040753303
"2013/2014",2014,120,120,100,39.0433717189621,156.863823469277,70.1494997507386,50.6956269659807,89.3899602960482,1611.60567626338,1464,1283.25422039715,1524.5,1377.5,1214,1322,73.6338049132476
"2014/2015",2015,120,120,100,31.36117391763,123.031491697286,58.6435822552656,36.0535182194867,80.6704654489941,1728.19187293477,1650.5,1659.13043389709,1551,1726.5,1021,1630,78.2919084405537
"2015/2016",2016,120,120,100,34.0688510538941,137.186985283164,60.9639435313491,43.7446037640999,84.1065711148123,1711.33745317417,1630,1538.77932912747,1574.5,1644,1134,1563.5,77.9547540743806
"2016/2017",2017,121,121,100,33.5322906891957,146.134423009876,57.9133802507111,40.378448384926,81.7490270631496,1693.15324681649,1567.5,1486.35679150922,1488,1649,1076,1505,77.0752596143329
"2017/2018",2018,120,120,100,40.3153728256368,160.348901817152,66.1348857830598,47.4710836989925,85.4264817699516,1805.92211646136,1697,1622.20225981532,1668,1729,1248,1660,79.4738584586239
