"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,31.0357535673696,147.300566439522,60.3218911520269,36.7289789437435,82.3851472901156,1713.25079919219,1620,1579.84698097599,1559.5,1668,1085,1589,78.8516803159963
"2002/2003",2003,120,120,100,46.4318732986968,208.234698281559,68.7401824280324,57.119019239023,93.1161732274557,1966.70828473511,1758.5,1708.87564616876,1782.5,1801.5,1408,1780.5,86.333611047796
"2003/2004",2004,120,120,100,42.6552046722875,213.502045262007,58.7741467651426,47.1320658710636,86.2095694707417,1984.39036342526,1888.5,1884.32786183213,1842.5,1918.5,1304,1884.5,86.7297490934663
"2004/2005",2005,121,121,100,37.9069184690896,184.356945031675,54.8427668753851,41.7095212474457,81.1789474991898,1709.02579950257,1620.5,1552.88214767425,1564.5,1690,1085,1567,76.0198616628654
"2005/2006",2006,120,120,100,33.6324722998926,159.288561086613,62.6091906482959,38.3792679496405,84.0202189188119,1781.40760598776,1741,1728.39628019212,1658,1787.5,1111,1754,83.2467342039141
"2006/2007",2007,120,120,100,38.8087694660664,229.816618575511,59.2311557891062,46.7361402446922,86.8817653313608,1899.05482115146,1807.5,1689.74531180431,1804.5,1792.5,1390,1752.5,83.789343830647
"2007/2008",2008,120,120,100,45.7927557601409,201.14597816523,70.0181829236506,54.4840561662585,92.2537839441006,2068.81494088352,1939.5,1843.81884712382,1937.5,1962,1586,1949.5,88.2381163714007
"2008/2009",2009,121,121,100,32.9247143871561,186.901889658945,57.1282024070445,38.6984241703117,82.4252333991088,1752.83730753657,1637,1586.45113555496,1562.5,1705,1132,1579.5,79.8176624006269
"2009/2010",2010,120,120,100,41.141871750022,200.919892051029,59.1031302189808,45.5973978071188,85.3931898597542,2029.02251787725,1966.5,1954.76781244698,1918.5,2013,1380,1979,87.7534019543302
"2010/2011",2011,120,120,100,37.786092697754,180.833490326307,61.1218086524496,42.1870271114617,85.4221406442332,1951.48709718779,1898.5,1905.85561530782,1829,1947,1266,1925.5,86.3227443998514
"2011/2012",2012,120,120,100,39.3287072092969,167.100648251453,68.3279572103883,50.4048625927468,89.6936690862768,1789.08999108842,1583,1475.1088455272,1631.5,1594.5,1299,1521,77.5883753481453
"2012/2013",2013,121,121,100,44.1762082430737,218.815686605259,61.9087185824449,47.633875831502,87.4401535673978,1950.84342551672,1845,1862.79067782093,1803.5,1916,1279,1887,87.1443603519213
"2013/2014",2014,120,120,100,39.6326135445239,170.158133968853,72.740917649135,53.2749016605974,91.8111166631255,1599.2768666306,1421,1284.90428173055,1511.5,1362.5,1219,1323.5,76.2147179081851
"2014/2015",2015,120,120,100,38.0404029439029,167.370713587879,60.6598299979017,43.7581234032733,84.6821463179758,1862.26742837759,1753,1712.01642959276,1683,1832.5,1219,1750.5,81.881712956234
"2015/2016",2016,120,120,100,36.7076726564105,166.426627494868,63.0732936963268,47.3027885538989,87.5878860162239,1779.61460400555,1711,1577.01887114379,1668.5,1697.5,1249,1645,80.1641488630419
