"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,44.8587337794669,213.894472603958,74.5328850719885,56.4192016111168,93.5180052902488,1876.60016249818,1645.5,1565.86839707545,1751,1640.5,1449,1627,80.943847757829
"2002/2003",2003,120,120,100,49.1923728220671,208.244279481838,85.0141881423075,66.9592069202328,101.207839729257,1783.99160511889,1495.5,1289.63576671637,1678.5,1430,1586,1426,77.8594666518261
"2003/2004",2004,120,120,100,62.379764268334,268.149194568504,72.5369613680636,76.0309608140039,99.635970284564,2107.56750140065,1857.5,1662.33095483907,1964,1814.5,1739,1812.5,86.365696957057
"2004/2005",2005,121,121,100,49.911165543686,228.606627817653,67.5904361415485,62.9038766917039,95.4731128476149,1996.38285239639,1790,1659.30940449051,1844,1806.5,1512,1781,86.4198038832844
"2005/2006",2006,120,120,100,53.0072248039782,230.457199106331,77.2065157719411,63.9428322127178,95.3725249636578,1966.18535651453,1754.5,1593.79184043712,1856,1727.5,1603,1724.5,82.5318389179068
"2006/2007",2007,120,120,100,54.2478891535078,270.404933950772,73.2037363186975,66.7139305678035,98.3618396085875,1905.01629363368,1630.5,1480.82619358499,1775.5,1589,1501,1585.5,81.5209023391515
"2007/2008",2008,120,120,100,56.5906416488255,233.327355355334,86.554279726851,72.4099747363587,101.611077824471,1892.33919693415,1558.5,1299.91864239346,1762.5,1467.5,1721,1467,76.4709008226641
"2008/2009",2009,121,121,100,50.0468849217087,251.535962326159,70.4071047925972,60.814150703914,95.1186874041527,1962.57190906378,1765,1595.34978785246,1813,1732,1546,1712.5,84.2904431051466
"2009/2010",2010,120,120,100,65.0077065196558,268.275213811393,72.9840897632512,77.0012965795465,99.1032027168642,2203.73799695125,1922,1707.27305693589,2047.5,1849,1904,1844.5,86.9062476950551
"2010/2011",2011,120,120,100,63.0537184077015,261.920836045823,75.2208160305418,73.7226766782985,98.6274001045737,2124.00140509217,1860,1673.49949498085,1962.5,1816.5,1761,1815,82.7517297388324
"2011/2012",2012,120,120,100,41.7203314805818,184.970887603981,84.4489856841942,56.341701540391,97.7360594265985,1669.08464793526,1397.5,1260.23527283908,1540,1356,1353,1347.5,75.127089379368
"2012/2013",2013,121,121,100,61.6213024477667,260.677161909483,76.3247854221173,75.9970597801282,100.59620154342,2061.14900512745,1789,1595.74775225451,1916.5,1740.5,1736,1733.5,84.620422497823
"2013/2014",2014,120,120,100,30.6889777129378,135.586012588664,89.6126252865267,47.2939801494754,97.3245204813891,1445.88545281805,1194.5,1118.25311827376,1305,1179,1080,1174.5,71.9650716649585
"2014/2015",2015,120,120,100,52.339611083108,228.956810085178,74.9110197198977,65.424161250074,96.3719483588137,1988.42185727913,1784,1581.55311905935,1872,1721,1656,1709.5,82.7398503537738
"2015/2016",2016,120,120,100,44.946709359875,188.651584328026,77.8074861745007,58.222257058672,96.8834761401511,1804.91759984744,1561,1430.11873405521,1706,1506.5,1446,1506.5,80.7434546030063
"2016/2017",2017,121,121,100,44.6372769929278,217.901229203003,73.8988590447395,58.9788428276165,96.3021612478506,1815.12986133146,1580,1425.02851732666,1693.5,1544.5,1450,1520.5,81.4159810503247
"2017/2018",2018,120,120,100,47.5634860599247,203.59773576535,84.349641333708,64.9450690295279,98.3863192912941,1774.37019759304,1511.5,1318.48988574966,1666,1431,1491,1427,77.0430336212858
"2018/2019",2019,120,120,100,49.2942767816311,188.882823954905,79.7756038797625,65.0522608674273,98.7899133021966,1934.05901151083,1650.5,1507.44920574213,1775,1634,1538,1626,83.7586123822712
"2019/2020",2020,120,120,100,47.6499438522882,224.961334421336,68.5883253931347,59.5525547097698,94.1279045297998,1987.44005426223,1827.5,1678.44145317386,1869,1804.5,1548,1780,85.1834002968058
"2020/2021",2021,121,121,100,48.7067756206836,214.996316929613,82.9573757266431,69.8025388609889,103.092611590633,1762.56989520926,1448.5,1262.62906409803,1644,1391.5,1505,1391.5,79.9396877049699
"2021/2022",2022,120,120,100,44.7154917931053,186.25754573551,79.0701656988986,59.9384859809996,95.9766443900634,1718.24305611663,1453.5,1246.53601337718,1577.5,1408.5,1416,1361,76.8831953726508
"2022/2023",2023,120,120,100,57.2758126008046,225.642975641275,74.7185270294354,73.7691832994784,99.8282331016243,2173.78832043805,1951,1701.09391425169,2062,1875.5,1891,1875,86.3038037102165
"2023/2024",2024,120,120,100,53.943855986975,260.876039845901,65.7947560148943,65.194244591072,94.2458650945624,2106.26120704295,1917,1737.37356611687,1967.5,1887,1688,1860,85.1435465866962
"2024/2025",2025,121,121,100,53.9407219067282,236.927590348848,77.4067569263073,70.6567260117996,100.435450600657,2046.96558640221,1741.5,1570.63487970602,1934.5,1691,1732,1688.5,84.4008849995575
"2025/2026",2026,120,120,100,33.7151941086664,176.171689326122,96.3975079730133,50.1678900472336,98.3138574865664,1382.28042217949,1082,940.181964844389,1267.5,1021,1164,1020,70.2367564334108
