"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,38.7670831039778,181.894713644464,72.5396738555088,49.6234776628128,90.7315650877577,1840.42601321236,1635,1599.77719281335,1689.5,1636.5,1296,1619,82.4450123726385
"2002/2003",2003,120,120,100,48.8089091553334,203.861489307518,82.4196660650819,64.2358030253292,99.310520396031,1858.71209286789,1597.5,1434.17424106632,1744,1567,1602,1561.5,80.8481891865205
"2003/2004",2004,120,120,100,61.8504550233031,259.602128000644,69.9783575500838,72.5017571796657,97.3352727640822,2176.68676238048,1928,1794.67751253282,2030.5,1935,1734,1932,88.0173828999144
"2004/2005",2005,121,121,100,48.6999873726194,215.509660555105,65.3756000301241,59.5661321376797,92.7642920976655,1988.49644343937,1828,1716.65639455747,1850,1823,1444,1799,87.5983978161114
"2005/2006",2006,120,120,100,48.1505695594428,206.27162770048,75.1434093181613,57.141778116357,92.528963198138,1939.44373940971,1788,1662.8588362408,1841.5,1756,1543,1750.5,83.562859923047
"2006/2007",2007,120,120,100,50.9347576500626,257.215303248555,70.7363875768701,64.6390277028348,96.8531956683501,1955.10228738284,1702,1566.35486276221,1841.5,1661,1519,1655.5,83.1484018449343
"2007/2008",2008,120,120,100,56.1871962452885,228.606648115681,83.6668228860537,71.6970775752015,100.561866089981,2008.9569987147,1700,1458.22849762721,1884,1612,1808,1610.5,80.4611318572385
"2008/2009",2009,121,121,100,45.934029166266,224.734114503794,68.5413504553593,54.2135052470563,91.8972990200308,1936.49378729615,1763,1652.93975180517,1789,1770,1437,1737,82.0471805364132
"2009/2010",2010,120,120,100,59.9010884294663,244.760230278467,70.6838028098935,69.9720427181104,96.2987080233049,2219.18673330918,2014.5,1818.36838061089,2070.5,1977,1811,1973,87.8497270044477
"2010/2011",2011,120,120,100,59.2743728739344,242.263873054595,72.8606436360708,67.6147350524264,95.8972297392657,2153.52355115391,1948,1799.89139464669,2005.5,1952,1693,1945.5,85.5378997988728
"2011/2012",2012,120,120,100,39.9822912209828,173.225330890139,82.1361751776094,53.6840628825797,95.4431967112726,1693.19535228141,1446.5,1324.27500992665,1566,1409,1328,1393,76.6952567432581
"2012/2013",2013,121,121,100,60.6404757213376,249.727684746497,73.9247847763524,71.5087591968543,97.8987828376557,2110.47486735316,1884.5,1728.3479489521,1960.5,1882.5,1723,1875,86.9294618392428
