"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,38.0037903479482,155.293031525414,68.2189888528107,45.9454055782241,87.7268110629581,1826.84090588772,1674.5,1630.74277896807,1671,1689,1195,1655,82.5586988123959
"2002/2003",2003,120,120,100,47.4241442411129,192.69014927104,77.5677500280711,62.8725616921309,97.6819933522668,1957.97798154741,1728,1585.76802292722,1821,1716,1576,1706,84.5058628124885
"2003/2004",2004,120,120,100,55.4773996491088,232.802233713071,66.2964339902485,63.0594415027297,92.6780694578814,2154.58150022985,1949.5,1916.83234788458,1964.5,2000,1573,1992.5,89.4449765784839
"2004/2005",2005,121,121,100,46.4056793581555,194.721442727323,61.7122487887063,54.1954351870172,88.3176080692034,1953.28861588856,1828.5,1771.7204479265,1805.5,1843,1337,1792.5,85.7614917911434
"2005/2006",2006,120,120,100,45.3190622535864,181.137046157155,70.4980222958192,51.9562834259893,90.1237266399028,1961.22042822475,1876.5,1794.26661550806,1856.5,1881,1443,1874,84.4235521382138
"2006/2007",2007,120,120,100,45.565029077318,233.596740666836,67.0642829351215,55.8093699009434,92.5780498110091,1966.888676,1807,1693.93497781965,1859.5,1778.5,1479,1769,83.8291195157883
"2007/2008",2008,120,120,100,52.1974452798072,202.090276533606,78.9291106713439,64.3095242140694,97.4479061828653,2085.33928223931,1873.5,1675.80216315456,1964.5,1833.5,1763,1830.5,84.0134388509849
"2008/2009",2009,121,121,100,41.9632652736965,201.574530313778,64.3403188169417,50.0441050887966,88.95342522407,1955.5821196078,1799.5,1742.46982547917,1796.5,1846.5,1367,1801,85.8753579665092
"2009/2010",2010,120,120,100,55.2736293268788,219.798259374607,66.514282479315,62.0259586201756,92.3627524662218,2270.97259034393,2128,2026.39801436384,2113.5,2178.5,1677,2169.5,89.8178017669964
"2010/2011",2011,120,120,100,52.8207285545606,209.258483672577,68.5992432978336,59.9284382018391,92.1225374123731,2153.18711474181,2016.5,1944.32819763042,2020.5,2039.5,1627,2034.5,87.3242446646557
"2011/2012",2012,120,120,100,40.4845606983817,161.646066248406,76.9122992774146,54.0508682384107,93.9727206801018,1789.59600014074,1556,1442.80391913793,1646,1544.5,1346,1520.5,78.4082900462556
"2012/2013",2013,121,121,100,55.2319198530858,230.342228218681,69.7283233530114,63.5748865443615,94.1793674175049,2137.1782420807,1988.5,1872.01459803244,1987.5,1994.5,1615,1982.5,89.133374675655
"2013/2014",2014,120,120,100,32.3613810272754,137.199990638896,81.7797626858422,50.2589025829668,95.2070985029379,1515.3703407576,1295,1207.68299901821,1424.5,1248.5,1121,1232.5,73.9584462781911
"2014/2015",2015,120,120,100,46.2627107179183,178.808086500363,68.4774554263409,54.8237901999901,90.5091074855454,1981.21978035332,1848.5,1740.81083466799,1838.5,1865,1483,1833,84.4830096411099
