"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,40.0249655195774,189.15411168442,70.996290692654,50.5870542206204,90.5061764149257,1819.91644635604,1611.5,1555.84881601281,1674,1615.5,1325,1588,81.6391783823053
"2002/2003",2003,120,120,100,49.012579722937,214.049485941462,80.5130033389451,66.130282114419,99.8018093532332,1879.98461974799,1616.5,1450.70563141395,1758,1579,1593,1573.5,80.8533092224916
"2003/2004",2004,120,120,100,56.8526357545363,254.754336519223,68.8534507056743,67.8040648201106,96.1047419670418,2106.29419426053,1863.5,1765.98471640277,1948,1886.5,1620,1882,88.3396301858038
"2004/2005",2005,121,121,100,44.7327999318827,209.084345916483,64.2999278345343,55.5292316199823,91.5076009011746,1918.18675204942,1751,1671.10580437952,1773,1755.5,1360,1716.5,85.9564747918868
"2005/2006",2006,120,120,100,47.6275393517107,212.837968147007,73.805197627979,55.5967611593016,91.692492719137,1935.13881415338,1791.5,1677.37385307391,1823,1771.5,1526,1763,83.4573535443635
"2006/2007",2007,120,120,100,47.9710734885691,254.551783628279,69.5215000908772,61.4134516667209,95.8271491998979,1895.00849237674,1665,1525.02798143924,1789,1606.5,1481,1597.5,81.5730194396393
"2007/2008",2008,120,120,100,55.5223422942985,229.906028327378,82.2345900338923,69.4091070893414,99.4797431558413,1995.0033328054,1726.5,1489.12105890642,1876.5,1657,1770,1656.5,81.1418325939089
"2008/2009",2009,121,121,100,46.9887393426769,235.89388653092,67.1512822062139,54.7733884324259,91.2960397687666,1930.006832991,1758.5,1639.44024890443,1776.5,1775,1425,1732,84.8342981870455
"2009/2010",2010,120,120,100,58.3552653290847,249.784855214655,69.3950410984208,68.0020524276229,95.4741140161741,2207.48801198896,1994,1829.86020409694,2035.5,1987.5,1732,1981,87.1639247030471
"2010/2011",2011,120,120,100,56.0413955961658,243.037771831956,71.7752072779589,64.1597018104412,94.495833838338,2102.66909337776,1930,1796.32456118231,1966.5,1917.5,1641,1912,83.130300153133
"2011/2012",2012,120,120,100,40.9301568381869,176.590934728221,80.3768690202845,54.9703615538101,95.545098129206,1706.68637207409,1465.5,1325.658820364,1578,1438,1334,1413,74.8532183173741
"2012/2013",2013,121,121,100,54.9486174659575,249.708057225871,72.7785980951083,66.4080169071682,96.7780236261368,2060.45717725236,1870,1714.86332618367,1923.5,1847.5,1643,1838,84.8745509397793
"2013/2014",2014,120,120,100,30.3526399032881,136.85061849432,85.7228417753232,48.1342652025733,95.6688563934106,1428.92955999287,1206.5,1127.52775363883,1325,1169.5,1052,1154.5,72.7696286179385
"2014/2015",2015,120,120,100,49.7760818059603,208.600416859995,71.3317672652953,59.6727830660184,93.3104315913765,1956.12878272084,1776,1609.47932510665,1823,1755.5,1558,1725,81.5751528115632
"2015/2016",2016,120,120,100,42.7342393383175,182.1204299497,74.1060340588186,55.6240040403917,94.2654818835709,1803.56452836876,1622,1466.10060051377,1714,1568,1438,1558,80.8784792274018
"2016/2017",2017,121,121,100,44.5186118985437,214.002865514098,70.1076223274301,57.4558134800171,93.9542530520548,1822.46618987561,1602,1450.4268528406,1686.5,1568,1429,1510.5,78.8752603255793
"2017/2018",2018,120,120,100,46.2393883182411,195.559788744203,80.5793477635441,61.953370917332,95.8781444172963,1781.10923045906,1526.5,1378.06720471154,1654.5,1497.5,1428,1483.5,77.9508408317979
"2018/2019",2019,120,120,100,45.8706981853195,179.942894736385,75.8113490552074,60.7462881513702,96.2609978264376,1912.57264660011,1634.5,1555.54144755714,1769,1626,1494,1613,82.2481538037532
"2019/2020",2020,120,120,100,44.0205298461767,202.261902747728,65.067330175234,54.6691932673548,91.226771913004,1949.48664258418,1791.5,1694.6984842944,1814,1810,1470,1768.5,84.0263623370961
"2020/2021",2021,121,121,100,49.8837727232376,215.356039355015,78.9252459918986,67.7172506394808,100.719879710037,1811.31320318618,1530,1372.93127305551,1677,1473.5,1475,1470,80.4922324594495
"2021/2022",2022,120,120,100,42.4667789375422,172.953095952077,75.7028910126277,54.4836992276289,92.3826337002324,1684.90360713698,1457,1264.8095615574,1510,1455.5,1321,1375.5,74.3027417068961
