"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,39.5019163769441,187.617733382083,67.6492088056405,48.0307159868547,88.7560196796808,1851.70748600238,1682,1606.6032085429,1689.5,1685.5,1285,1645.5,82.4096396007153
"2002/2003",2003,120,120,100,49.7568899540209,219.826116970205,76.9564689816763,65.2636728305369,98.522016119341,1924.90554218901,1691,1529.03603056451,1793.5,1660.5,1582,1654,84.6891477648957
"2003/2004",2004,120,120,100,55.628176038135,256.063564227176,65.7398370925598,64.5927550585233,93.7146693206962,2110.1465589465,1895.5,1831.29863841502,1943.5,1918.5,1579,1908.5,87.8053161348101
"2004/2005",2005,121,121,100,45.0461432194935,213.186145945516,61.2960265262479,54.4005806977928,89.1226497243848,1891.37907551428,1748.5,1671.37932398021,1740,1757.5,1313,1702,84.9788237770167
"2005/2006",2006,120,120,100,45.8607292178595,209.959452769266,70.1516817091819,52.0081465529162,90.316877152945,1933.88396008192,1816.5,1728.56302871115,1820,1823,1459,1811.5,83.3721990358971
"2006/2007",2007,120,120,100,47.3353248403436,263.640711161924,66.3096948828957,58.925106536086,93.7754572576712,1935.43087035624,1739.5,1602.09056796823,1828.5,1691.5,1491,1677,84.2157601052096
"2007/2008",2008,120,120,100,54.9864253933307,233.612662757053,78.4144001916647,66.3544612615916,97.9946607608664,2045.21428164799,1832.5,1598.78095026257,1949,1763,1764,1761,84.036994156652
"2008/2009",2009,121,121,100,43.5478026399924,231.196829455836,63.9059315177333,51.2166420154165,89.4892480488596,1909.00731133483,1746,1644.96834364676,1753.5,1773.5,1341,1712.5,83.9623293444554
"2009/2010",2010,120,120,100,56.0191094809277,249.443469214603,66.1350333946977,63.5967552933041,93.2077313268558,2200.15942869597,2020.5,1898.72744455153,2047,2052.5,1673,2041,88.6618837285162
"2010/2011",2011,120,120,100,53.1669177831531,238.804390327626,68.3853454362748,60.3151030288669,92.50021372638,2106.15836452346,1966.5,1858.74991735892,1987.5,1969,1593,1962,85.5090394968656
"2011/2012",2012,120,120,100,41.1402030614944,183.09708720991,76.5855180755115,54.7948713871503,94.592263711581,1755.87516958472,1506.5,1386.63572824986,1616.5,1495,1348,1464.5,79.1126695283047
"2012/2013",2013,121,121,100,54.8577533498584,254.676406955498,69.2975961285817,64.0331554265759,94.6874394019265,2076.3225057457,1905.5,1786.05168703781,1936.5,1914.5,1614,1901.5,85.9296998397654
"2013/2014",2014,120,120,100,33.587928807892,150.873988465969,81.6125790128882,50.9888997049702,95.3925600925657,1508.91118697449,1292,1192.23145220687,1422.5,1249.5,1122,1232,74.261751238432
"2014/2015",2015,120,120,100,47.650070898945,210.19825714652,67.983640825973,56.7011706886726,91.4567336400858,1980.59021099583,1827.5,1685.66932814994,1841.5,1828,1537,1789.5,83.6227586117789
"2015/2016",2016,120,120,100,41.4475527684329,187.00374797628,70.6424614836614,54.222013014818,93.1011041168977,1831.76870871757,1692.5,1533.69951068667,1742.5,1632,1440,1615.5,80.8358336372962
"2016/2017",2017,121,121,100,42.5545935099369,212.169914484899,66.9251593457013,54.3721586760428,92.1532092709716,1849.13374966384,1642.5,1506.76849520298,1688,1630,1413,1561.5,79.2275287798616
"2017/2018",2018,120,120,100,48.8957358606336,206.343802937161,76.7148856422751,61.8315843483231,94.5375765373398,1849.9533667452,1627.5,1477.73347993605,1714.5,1597.5,1477,1578,79.5066720737464
"2018/2019",2019,120,120,100,47.2064377215347,183.205296889675,72.3185213095673,59.6154784364399,94.4726702029041,1955.74386262005,1722.5,1640.15198357458,1796,1707,1452,1688.5,84.378283408244
"2019/2020",2020,120,120,100,41.4226157836933,195.831100358671,62.0538258840736,50.1284670589333,88.8847156725159,1917.05449185432,1782.5,1714.46386524976,1763.5,1815.5,1377,1763.5,83.6491033008615
"2020/2021",2021,121,121,100,53.5440973489543,234.67615910505,75.1986773665344,69.0600434363414,99.3349327672292,1882.94579415326,1625,1464.06080043027,1756,1575.5,1519,1569,82.6744989403146
"2021/2022",2022,120,120,100,43.0122245531325,183.256401967161,71.9108745980816,54.7334503538716,91.5609291364545,1752.76753486233,1520.5,1348.20227889225,1573,1545.5,1370,1453.5,76.8582567640851
"2022/2023",2023,120,120,100,53.7007320226839,203.616676208994,67.8559591786567,63.3800465872444,93.7459091759107,2172.51133274447,2038.5,1895.54804883286,2039,2040,1699,2033,88.4611476009109
"2023/2024",2024,120,120,100,46.6439366139804,232.202807777251,59.5543318162221,52.7484734504702,87.9537750318087,2029.14976402564,1907.5,1795.77661172357,1882,1929,1473,1870.5,86.2544755390909
"2024/2025",2025,121,121,100,53.949399051671,230.764280183466,70.0575778271097,64.3134228432508,95.3830436698431,2123.30030386821,1932,1787.88827378274,1980,1877.5,1670,1870.5,86.8063457546618
"2025/2026",2026,120,120,100,36.9102024259444,182.866384392222,87.1735782307169,52.7443450641505,97.4218823567463,1570.75998472188,1285.5,1124.31486438392,1452.5,1218.5,1317,1208.5,75.8427929207392
"2026/2027",2027,120,120,100,45.6583238888666,227.236038958517,63.1800370293886,56.486483442002,91.3379017540318,1974.10000633007,1819,1754.3830774435,1833.5,1818.5,1418,1797.5,87.0001989830816
"2027/2028",2028,120,120,100,53.9195711371299,201.751566819698,80.6961005933843,70.1589920300351,99.4269299826637,2000.99956169626,1720,1524.69829978641,1861.5,1652,1689,1651.5,82.7234975556735
"2028/2029",2029,121,121,100,47.4967247378824,243.171679047107,67.8123273864521,59.8902403182676,93.7623897344202,1871.68388248772,1673.5,1498.2520152941,1742,1625,1485,1587.5,81.3133964373483
