"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,35.3093939491185,170.811855126841,66.3295113368721,43.9407399029119,87.0605279263808,1754.19943441373,1574.5,1540.95391172648,1594,1587.5,1150,1541,77.9008479177166
"2002/2003",2003,120,120,100,46.8793149541982,215.720703086411,75.3024058993248,61.3456672293137,97.1710499794174,1914.63196968707,1698.5,1564.19264324638,1783,1669,1547,1657,83.9063400467776
"2003/2004",2004,120,120,100,54.8746802000481,260.218227873536,64.0723011521325,62.5419679184009,92.4957197566655,2105.67500582595,1898.5,1857.68410077545,1941.5,1939.5,1543,1928,88.6876080807326
"2004/2005",2005,121,121,100,45.0767613288258,215.970073093051,59.7078558645664,52.6604340495861,87.965258828115,1910.59898800411,1763.5,1706.89784251146,1742,1805,1295,1747.5,84.4157301815973
"2005/2006",2006,120,120,100,43.3828105870294,201.1631683213,68.5782468311928,49.5593195466972,89.1067530624267,1889.00123945004,1805.5,1707.6878213249,1787,1783,1408,1769,82.68314720159
"2006/2007",2007,120,120,100,45.361568975606,260.183334561235,64.7389653056749,56.4144779364296,92.5946260046197,1911.91752590802,1749,1603.3940202236,1814.5,1696.5,1452,1679,83.1088102350109
"2007/2008",2008,120,120,100,53.1229774824029,230.418608977024,76.7348522600242,65.0168444478141,97.305018070471,2062.72800607017,1856,1639.51255139346,1956,1795,1754,1791.5,83.5578052447588
"2008/2009",2009,121,121,100,39.2763903114523,222.190465374986,62.4607890110482,47.1921514726068,88.0424523754435,1891.95977527434,1734.5,1661.49001293121,1727,1787,1313,1722.5,83.2958333386136
"2009/2010",2010,120,120,100,53.8128633185933,243.273153118164,64.6543018977372,60.6884223733351,91.8893239938538,2207.89240486781,2063.5,1951.66563627461,2052.5,2100,1617,2087,88.4991416453738
"2010/2011",2011,120,120,100,50.7061035109128,235.262215674861,66.6336215119156,57.5981870573993,91.6336040464732,2089.10941898122,1946.5,1870.31357917973,1971.5,1964.5,1580,1955.5,86.1440087678009
"2011/2012",2012,120,120,100,39.5390977651364,177.431196988484,75.1927017416831,51.89986207314,92.9117914846722,1730.66545794038,1507.5,1389.76392422003,1596,1494.5,1313,1456,77.266463446465
"2012/2013",2013,121,121,100,53.9394630853662,252.518145274291,67.596951657649,62.2266171824589,93.6350086423828,2057.7059959465,1902.5,1798.12962181336,1902.5,1905.5,1530,1887.5,87.0466304194197
"2013/2014",2014,120,120,100,30.9475925531899,146.147098233435,79.6884240179324,48.5456069102944,94.4023994850254,1456.51269539427,1270,1172.96761711833,1368,1222.5,1047,1202,73.9235547104984
"2014/2015",2015,120,120,100,45.7365769028748,200.248583518936,66.5731083009654,53.368654531429,89.6197565196698,1934.6565281357,1803.5,1682.80586819938,1787,1817,1433,1772.5,82.2720936406311
"2015/2016",2016,120,120,100,39.7713493633332,182.579688000261,68.9889898674624,52.5828888195998,92.0712836970903,1804.35497864708,1677,1530.03622902536,1722,1640.5,1388,1619,79.602050114702
"2016/2017",2017,121,121,100,39.7035929611331,207.198103572289,65.40364177761,51.2682276096572,90.7757784943518,1811.13477487856,1610.5,1481.8664361936,1636.5,1622,1352,1545,78.4729883981768
"2017/2018",2018,120,120,100,48.1550487047565,203.112154914044,74.9868679053236,60.5688059573482,93.5159444449478,1820.97043599952,1604,1469.54357493204,1680.5,1578,1410,1553,79.5981789971406
"2018/2019",2019,120,120,100,47.6832869754131,186.690403538868,70.7831798488026,58.7053578216415,93.2177827518174,1947.53414112911,1737.5,1652.51003476342,1798,1719,1455,1698.5,84.018153254076
"2019/2020",2020,120,120,100,39.8948862116727,192.176346930932,60.5997531074032,48.6290091927809,87.7129147290021,1902.81898610816,1776.5,1712.05436947027,1725.5,1802,1309,1743.5,82.7059569074331
"2020/2021",2021,121,121,100,53.5714291563434,236.243735866589,73.6457553422044,67.3360803422944,97.7316871485968,1878.65242989751,1631,1500.80219586696,1746,1608.5,1475,1599.5,82.9719766211865
"2021/2022",2022,120,120,100,42.0744017193092,183.266323658052,70.3558624373044,54.6610711179611,90.9281195991059,1725.82540510666,1487,1313.99865702427,1550,1513.5,1355,1406.5,75.3520120928247
"2022/2023",2023,120,120,100,52.2396954945396,196.80376020054,66.3716428790769,61.3804707199259,92.6121577242134,2124.02487168321,1995,1866.70604721087,1987.5,1993.5,1611,1982.5,87.6521637948058
"2023/2024",2024,120,120,100,44.6016307089189,226.941342164508,58.1931516630946,49.9451756967025,86.4893021024641,1992.04066526359,1875,1780.9578877681,1843,1911.5,1409,1846.5,86.0243027165629
"2024/2025",2025,121,121,100,52.1129514422439,229.369908342201,68.4399296232389,61.158338252142,93.9260126190677,2122.19285723938,1939,1829.56687776597,1978,1924,1624,1914.5,87.1590665852254
"2025/2026",2026,120,120,100,38.9468378985163,187.442820958371,84.916858102041,54.7993450957329,97.2877948470328,1613.92032216185,1328.5,1168.74409072748,1491.5,1270.5,1363,1259.5,74.0933327657599
"2026/2027",2027,120,120,100,45.3444461157138,230.705114070292,61.7312050177475,54.5759495520699,89.9809566694873,1944.06222050927,1809.5,1735.1344097635,1813,1814.5,1408,1784.5,86.088232478281
"2027/2028",2028,120,120,100,54.0093744113121,203.916103595507,78.8487140216277,69.18762244881,98.5881405764252,2029.1627063101,1764.5,1582.64415353383,1885.5,1722.5,1671,1720.5,84.2441600016109
"2028/2029",2029,121,121,100,46.1508302071992,235.994901373956,66.3490456799355,57.2109604344265,92.1581780199408,1849.16681981736,1671.5,1501.53933794985,1705,1640.5,1433,1589,82.3823391040414
"2029/2030",2030,120,120,100,43.8396491888713,205.427299238819,70.3745353162362,55.4631941777411,92.9530313040797,1862.56656731344,1614.5,1528.05475360974,1700,1628.5,1412,1594.5,81.8558990015135
"2030/2031",2031,120,120,100,52.1970624144495,257.196939537979,66.9187715272045,60.9084888734964,92.596096252596,1921.40825488688,1746,1653.09052386975,1778,1750.5,1455,1727,85.1584240622719
"2031/2032",2032,120,120,100,46.207009854408,234.889460227503,61.4402312210306,53.3325027129682,89.3517851656361,1934.83408749969,1813,1750.14508568717,1791.5,1831.5,1359,1811.5,85.0151309882431
"2032/2033",2033,121,121,100,49.8735848576865,210.984466173563,77.1624490338883,63.8694807201385,98.2197151988091,1925.13382415698,1695.5,1554.17001422984,1782,1655.5,1510,1655.5,84.1814059341214
"2033/2034",2034,120,120,100,44.8325701972964,218.478244358975,73.4176925267492,57.7852109765656,93.514366168707,1777.81014531563,1550,1374.99748200631,1644.5,1524.5,1416,1475.5,77.7417912523697
"2034/2035",2035,120,120,100,42.2048339156913,181.591595430826,72.0356265962049,54.5309474103577,92.013469654674,1781.76032420376,1558,1406.13198926698,1622.5,1539,1401,1474,78.4071794344973
"2035/2036",2036,120,120,100,43.4931362158186,197.563599025692,69.7906613285218,53.0510083988746,90.7614760725435,1873.7905440441,1693.5,1648.2798192201,1735,1704.5,1340,1685.5,84.5277695023105
"2036/2037",2037,121,121,100,48.9875621369819,215.976976686421,75.1770839774677,64.8018003404854,97.893219189424,1925.68818332283,1667.5,1516.35027968352,1786.5,1620.5,1581,1601,82.7611035047175
"2037/2038",2038,120,120,100,43.6941124566493,193.226530489676,67.7563046273125,52.430657394782,90.1702440107237,1878.02655903985,1769,1644.69859262583,1759.5,1731.5,1385,1706,80.9161643152602
"2038/2039",2039,120,120,100,34.7108071575837,179.828046792512,59.4712478172204,41.6946017556051,85.7581823018828,1939.57247718706,1885,1863.87814603451,1831.5,1914.5,1285,1888,87.3808342091133
"2039/2040",2040,120,120,100,55.2649683186085,232.951994514135,63.9862600472611,61.9889172961194,91.2073631585759,2054.52952037848,1873.5,1739.62076407174,1882,1903.5,1522,1860.5,86.1727141366127
"2040/2041",2041,121,121,100,50.4256840104619,227.944795137838,64.8649818699094,58.5542177812121,91.8647548664493,2094.28086496852,1953,1843.08893659218,1950,1963.5,1571,1946.5,88.7482581304685
"2041/2042",2042,120,120,100,31.2187865447297,124.724191358639,66.4913570935237,36.5912456467749,82.9345330474817,1769.82286903777,1685.5,1745.17489567457,1630.5,1786,1025,1740,80.6318593428514
"2042/2043",2043,120,120,100,53.7156510576218,239.625703667974,74.0936256189837,69.1994709079569,99.1680305179746,1990.0148921388,1688,1503.84101402632,1856,1625.5,1668,1617,83.8220085241019
"2043/2044",2044,120,120,100,47.5956746248812,226.376360202644,63.8957807348212,54.318961226215,90.3115363807529,2065.12557157606,1943,1866.17520039538,1911.5,1958.5,1495,1936,88.4233058715899
"2044/2045",2045,121,121,100,48.0727726803007,209.172982784499,79.9769977989999,59.937971851394,96.1496591821122,1854.22626207405,1624.5,1523.70372950608,1708.5,1608,1473,1601,80.4240089671412
"2045/2046",2046,120,120,100,43.715099952521,214.635616141118,68.7362052550287,55.996402321608,92.3738414509827,1835.49204252611,1611.5,1463.2176317548,1669.5,1628,1415,1561,80.6414869506789
"2046/2047",2047,120,120,100,39.6745883417371,182.213090390008,77.2472247675251,47.4996396664908,89.5135144229916,1778.31261346085,1659.5,1577.66201774924,1646.5,1688.5,1298,1659.5,80.3334816229844
"2047/2048",2048,120,120,100,54.2239894203544,223.311020956665,70.0680003287063,65.0761344660435,95.611961894967,2120.24296415501,1894.5,1781.28042041187,1964,1883.5,1675,1881,88.496423976977
"2048/2049",2049,121,121,100,51.8396691820781,246.82891639789,71.5005594144508,66.1111489561528,98.2924731699631,1980.11112138542,1722,1609.88090763516,1841.5,1702.5,1559,1695.5,85.0902482846832
"2049/2050",2050,120,120,100,64.1572136498974,267.850879904535,76.1750566694151,78.3755490508832,100.625957620053,2076.66315473267,1770.5,1553.79041289502,1939,1701.5,1810,1700,85.2542619982341
"2050/2051",2051,120,120,100,51.6872090090485,229.391931571327,68.1610649858776,62.6468178398392,93.2114129027526,1870.66949268695,1630.5,1416.99982770304,1738.5,1579.5,1510,1529,78.7990168377482
"2051/2052",2052,120,120,100,41.3077655894336,202.59552314321,66.5289717081394,47.0974517839803,85.6241032586381,1862.1010998323,1736,1635.56714562797,1705,1774.5,1320,1706.5,81.1508213664019
